tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_uT	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
su100301g	100	580	40	-	1.01	55.9	17.00	8.00	1.00	0.94	0.98	0.15	0.02	1.55	2.71	2.76	-1.00
su100301g	150	500	40	-	1.01	57.4	11.00	6.00	0.93	0.87	0.87	0.17	0.04	3.07	1.44	3.34	-1.00
su100301g	150	515	40	-	1.01	55.8	12.00	7.00	0.96	0.90	0.90	0.16	0.04	2.48	0.06	3.16	-1.00
su100301g	150	530	40	-	1.01	55.2	13.00	7.00	0.98	0.92	0.93	0.16	0.03	2.10	0.06	2.99	-1.00
su100301g	150	545	40	-	1.01	55.0	14.00	8.00	0.99	0.92	0.94	0.16	0.03	1.85	2.68	2.86	-1.00
su100301g	150	560	40	-	1.01	55.0	15.00	8.00	1.00	0.93	0.95	0.16	0.03	1.64	2.67	2.77	-1.00
su100301g	150	580	40	-	1.01	55.1	16.00	8.00	0.99	0.92	0.95	0.16	0.02	1.51	2.71	2.68	-1.00
su100301g	200	500	40	-	1.01	56.6	10.00	6.00	0.89	0.83	0.84	0.18	0.05	2.83	1.44	3.11	-1.00
su100301g	200	515	40	-	1.01	55.0	11.00	7.00	0.92	0.86	0.87	0.17	0.04	2.29	0.06	2.93	-1.00
su100301g	200	530	40	-	1.01	54.4	12.00	7.00	0.95	0.88	0.90	0.16	0.04	1.94	0.06	2.77	-1.00
su100301g	200	545	40	-	1.01	54.3	13.00	8.00	0.95	0.88	0.91	0.16	0.03	1.72	2.68	2.65	-1.00
su100301g	200	560	40	-	1.01	54.3	14.00	8.00	0.96	0.89	0.92	0.16	0.03	1.52	2.67	2.56	-1.00
su100301g	200	580	40	-	1.01	54.5	15.00	8.00	0.95	0.88	0.92	0.16	0.03	1.40	2.71	2.48	-1.00
su100301g	250	500	40	-	1.01	54.9	9.00	6.00	0.86	0.79	0.79	0.19	0.05	2.55	1.44	2.92	-1.00
su100301g	250	515	40	-	1.00	53.4	10.00	7.00	0.89	0.82	0.82	0.18	0.04	2.07	0.06	2.73	-1.00
su100301g	250	530	40	-	1.00	53.0	11.00	7.00	0.92	0.84	0.85	0.17	0.04	1.76	0.06	2.57	-1.00
su100301g	250	545	40	-	1.00	53.0	12.00	8.00	0.92	0.84	0.86	0.17	0.03	1.58	2.68	2.45	-1.00
su100301g	250	560	40	-	1.00	53.1	13.00	8.00	0.93	0.85	0.87	0.17	0.03	1.39	2.67	2.37	-1.00
su100301g	250	580	40	-	1.00	53.3	14.00	8.00	0.92	0.84	0.88	0.17	0.03	1.29	2.71	2.29	-1.00
su100301g	300	530	40	-	1.00	51.8	10.00	7.00	0.86	0.78	0.80	0.19	0.04	1.45	0.06	1.78	-1.00
su100301g	300	545	40	-	1.00	51.9	11.00	8.00	0.87	0.78	0.81	0.18	0.04	1.33	2.68	1.70	-1.00
su100301g	300	560	40	-	1.00	52.0	12.00	8.00	0.87	0.79	0.82	0.18	0.03	1.18	2.67	1.66	-1.00
su100301g	300	580	40	-	1.00	52.3	13.00	8.00	0.87	0.78	0.82	0.18	0.03	1.09	2.71	1.62	-1.00
su100301h	0	480	40	-	1.03	78.8	12.00	6.00	0.84	0.81	0.81	0.15	0.03	3.65	0.65	2.15	-1.00
su100301h	0	500	40	-	1.03	76.4	13.00	6.00	0.92	0.88	0.89	0.14	0.03	3.05	0.59	2.25	-1.00
su100301h	0	515	40	-	1.02	72.8	14.00	7.00	0.97	0.92	0.91	0.13	0.04	2.70	4.71	2.21	-1.00
su100301h	0	530	40	-	1.02	71.5	15.00	7.00	0.99	0.94	0.95	0.13	0.03	2.32	4.66	2.24	-1.00
su100301h	0	545	40	-	1.02	71.0	16.00	8.00	1.00	0.95	0.97	0.12	0.03	2.04	8.44	2.24	-1.00
su100301h	100	500	40	-	1.03	75.8	12.00	6.00	0.89	0.86	0.86	0.14	0.04	3.01	0.59	2.23	-1.00
su100301h	100	515	40	-	1.02	72.0	13.00	7.00	0.94	0.89	0.88	0.14	0.04	2.67	4.71	2.19	-1.00
