tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
su109702	su109702c	67.30	100	530	40	-	-	14.00	7.00	0.85	0.84	0.88	0.13	0.02	2.91	16.45	4.30	-1.00
su109702	su109702f	58.26	250	560	40	-	-	13.00	8.00	0.78	0.82	0.83	0.12	0.03	2.36	11.13	4.32	-1.00
su109702	su109702g	67.42	250	560	40	-	-	13.00	8.00	0.85	0.80	0.81	0.14	0.03	4.31	3.34	3.66	-1.00
su109702	su109702d	62.12	200	580	40	-	1.01	15.00	8.00	0.94	0.88	0.88	0.11	0.02	1.08	2.83	1.53	-1.00
su109702	su109702e	56.68	0	515	40	-	-	14.00	7.00	0.81	0.78	0.81	0.12	0.02	4.89	12.93	3.87	-1.00
su109801	su109801f	56.48	100	480	40	-	-	11.00	6.00	0.82	0.76	0.80	0.13	0.04	4.24	6.07	4.37	-1.00
su109801	su109801e	62.79	250	580	40	-	-	14.00	8.00	0.89	0.83	0.85	0.15	0.02	2.34	4.33	2.41	-1.00
su109801	su109801a	59.40	100	530	40	-	-	13.00	7.00	0.87	0.84	0.88	0.13	0.04	11.40	2.67	4.34	-1.00
su110801	su110801h	60.56	150	480	40	-	-	10.00	6.00	0.86	0.81	0.85	0.26	0.01	5.69	1.25	4.13	-1.00
su110801	su110801d	59.55	100	450	40	-	1.01	10.00	5.00	0.87	0.81	0.85	0.36	0.02	6.81	0.00	2.97	-1.00
su110801	su110801f	65.83	300	560	40	-	-	12.00	8.00	0.88	0.80	0.82	0.22	0.00	3.39	4.77	4.58	-1.00
su110801	su110801g	63.12	150	580	40	-	1.00	16.00	8.00	0.99	0.96	0.99	0.24	0.01	2.37	3.19	2.82	-1.00
su110801	su110801a	63.18	0	560	40	-	1.00	16.00	8.00	1.02	0.95	1.00	0.14	0.03	1.83	3.46	2.92	-1.00
su110801	su110801b	61.98	360	580	40	-	1.01	11.00	8.00	0.85	0.83	0.84	0.29	0.01	3.03	2.65	3.53	-1.00
su110801	su110801c	67.65	330	500	40	-	1.01	7.00	6.00	0.87	0.85	0.86	0.29	0.01	3.64	1.91	3.21	-1.00
