model_lat	er_citation_names	compilation_names	average_inc	er_site_names	average_int	average_age_low	average_int_sigma_perc	average_alpha95	magic_method_codes	vadm	average_r	average_int_nn	model_lon	average_age	result_description	er_location_names	average_int_sigma	vadm_n	compilation_ids	data_type	average_dec	vdm_n	vgp_lat	average_nn	average_lat	average_age_unit	average_age_sigma	average_k	average_lon	vgp_dm	average_n	vgp_dp	pmag_result_name	tilt_correction	average_age_high	vgp_lon	vdm
				8	4.25E-05		3.29		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					1.40E-06																8				8.10E+22
				12	5.95E-05		3.7		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.20E-06																12				1.19E+23
				13	4.24E-05		3.77		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.60E-06																13				1.08E+23
				20	4.31E-05		10.7		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			2					4.60E-06																20				1.02E+23
				23	2.18E-05		6.42		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.40E-06																23				5.40E+22
				24	2.18E-05		6.42		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.40E-06																24				5.40E+22
				25	2.93E-05		7.17		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					2.10E-06																25				7.30E+22
				27	3.75E-05		2.13		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			6					8.00E-07																27				9.10E+22
				29	4.12E-05		5.58		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.30E-06																29				8.30E+22
				30	4.44E-05		0.45		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					2.00E-07																30				1.01E+23
				34	4.81E-05		4.16		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.00E-06																34				1.14E+23
				35	3.11E-05		0.965		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.00E-07																35				7.40E+22
				36	5.04E-05		2.78		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			10					1.40E-06																36				1.18E+23
				38	4.81E-05		7.28		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.50E-06																38				1.13E+23
				41	3.58E-05		9.78		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.50E-06																41				9.00E+22
	This study:Johnson et al. 2007	TAFI:20D	32.08	Ninole57				2.63	LP-DIR					3550	VGP calculated using present lat/lon	Hawaii				i	356.99		86.6	7	19.2	ka		527	204.667				TAFI-PMCORR: Ninole57	0		83	
18.1747	This study:Johnson et al. 2007	TAFI:20D	32.08	Ninole57				2.63	LP-DIR:IE-MLAT-PR				206.441	3550	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	356.99		87	7	19.2	ka		527	204.667				TAFI: Ninole57	0		101.8	
	This study:Johnson et al. 2007	TAFI:20D	27.56	Ninole56				4.11	LP-DIR					3550	VGP calculated using present lat/lon	Hawaii				i	359.65		85.4	7	19.2	ka		216	204.667				TAFI-PMCORR: Ninole56	0		28.9	
18.1747	This study:Johnson et al. 2007	TAFI:20D	27.56	Ninole56				4.11	LP-DIR:IE-MLAT-PR				206.441	3550	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	359.65		86.4	7	19.2	ka		216	204.667				TAFI: Ninole56	0		31.9	
	This study:Johnson et al. 2007	TAFI:20D	29.42	Ninole55				1.82	LP-DIR					3550	VGP calculated using present lat/lon	Hawaii				i	353.23		82.7	11	19.2	ka		628	204.667				TAFI-PMCORR: Ninole55	0		87.6	
18.1747	This study:Johnson et al. 2007	TAFI:20D	29.42	Ninole55				1.82	LP-DIR:IE-MLAT-PR				206.441	3550	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	353.23		83.1	11	19.2	ka		628	204.667				TAFI: Ninole55	0		96.9	
	This study:Johnson et al. 2007	TAFI:20D	24.92	Ninole54				10.22	LP-DIR					3550	VGP calculated using present lat/lon	Hawaii				i	349.5		78.2	4	19.2	ka		82	204.667				TAFI-PMCORR: Ninole54	0		85	
18.1747	This study:Johnson et al. 2007	TAFI:20D	24.92	Ninole54				10.22	LP-DIR:IE-MLAT-PR				206.441	3550	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	349.5		78.7	4	19.2	ka		82	204.667				TAFI: Ninole54	0		91.2	
	This study:Johnson et al. 2007	TAFI:20D	30.61	Ninole53				5.57	LP-DIR					3550	VGP calculated using present lat/lon	Hawaii				i	347.37		77.7	5	19.2	ka		190	204.667				TAFI-PMCORR: Ninole53	0		103.9	
18.1747	This study:Johnson et al. 2007	TAFI:20D	30.61	Ninole53				5.57	LP-DIR:IE-MLAT-PR				206.441	3550	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	347.37		77.8	5	19.2	ka		190	204.667				TAFI: Ninole53	0		110.4	
	This study:Johnson et al. 2007	TAFI:20D	30.44	Ninole52				3.18	LP-DIR					3550	VGP calculated using present lat/lon	Hawaii				i	347.87		78.1	6	19.2	ka		445	204.667				TAFI-PMCORR: Ninole52	0		102.8	
18.1747	This study:Johnson et al. 2007	TAFI:20D	30.44	Ninole52				3.18	LP-DIR:IE-MLAT-PR				206.441	3550	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	347.87		78.3	6	19.2	ka		445	204.667				TAFI: Ninole52	0		109.4	
	This study:Johnson et al. 2007	TAFI:20D	26.49	Ninole51				8.98	LP-DIR					3550	VGP calculated using present lat/lon	Hawaii				i	353.68		82	9	19.2	ka		34	204.667				TAFI-PMCORR: Ninole51	0		74.9	
18.1747	This study:Johnson et al. 2007	TAFI:20D	26.49	Ninole51				8.98	LP-DIR:IE-MLAT-PR				206.441	3550	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	353.68		82.6	9	19.2	ka		34	204.667				TAFI: Ninole51	0		82.8	
	This study:Johnson et al. 2007	TAFI:20D	37.01	Kahuku130				4.55	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	353.26		83.4	7	18.9	ka		177	204.6				TAFI-PMCORR: Kahuku130	0		131.2	
18.5389	This study:Johnson et al. 2007	TAFI:20D	37.01	Kahuku130				4.55	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	353.26		83.3	7	18.9	ka		177	204.6				TAFI: Kahuku130	0		134.7	
	This study:Johnson et al. 2007	TAFI:20D	24.34	Kahuku129				6.14	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	350		78.6	5	18.9	ka		156	204.6				TAFI-PMCORR: Kahuku129	0		83.4	
18.5389	This study:Johnson et al. 2007	TAFI:20D	24.34	Kahuku129				6.14	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	350		78.8	5	18.9	ka		156	204.6				TAFI: Kahuku129	0		85.6	
	This study:Johnson et al. 2007	TAFI:20D	5.1	Kahuku128				6.39	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	6.83		72.3	5	18.9	ka		145	204.6				TAFI-PMCORR: Kahuku128	0		1.5	
18.5389	This study:Johnson et al. 2007	TAFI:20D	5.1	Kahuku128				6.39	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	6.83		72.7	5	18.9	ka		145	204.6				TAFI: Kahuku128	0		1.7	
	This study:Johnson et al. 2007	TAFI:20D	17.87	Kahuku127				2.47	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	347.28		74.3	5	18.9	ka		959	204.6				TAFI-PMCORR: Kahuku127	0		78	
18.5389	This study:Johnson et al. 2007	TAFI:20D	17.87	Kahuku127				2.47	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	347.28		74.5	5	18.9	ka		959	204.6				TAFI: Kahuku127	0		79.7	
	This study:Johnson et al. 2007	TAFI:20D	19.19	Kahuku126				3.09	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	348.5		75.7	5	18.9	ka		614	204.6				TAFI-PMCORR: Kahuku126	0		77.1	
18.5389	This study:Johnson et al. 2007	TAFI:20D	19.19	Kahuku126				3.09	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	348.5		75.9	5	18.9	ka		614	204.6				TAFI: Kahuku126	0		78.9	
	This study:Johnson et al. 2007	TAFI:20D	13.97	Kahuku125				3.4	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	9.82		74.8	5	18.9	ka		608	204.6				TAFI-PMCORR: Kahuku125	0		344.4	
18.5389	This study:Johnson et al. 2007	TAFI:20D	13.97	Kahuku125				3.4	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	9.82		75.1	5	18.9	ka		608	204.6				TAFI: Kahuku125	0		344.1	
	This study:Johnson et al. 2007	TAFI:20D	14.58	Kahuku124				4.16	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	11.91		73.7	5	18.9	ka		340	204.6				TAFI-PMCORR: Kahuku124	0		337.8	
18.5389	This study:Johnson et al. 2007	TAFI:20D	14.58	Kahuku124				4.16	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	11.91		73.9	5	18.9	ka		340	204.6				TAFI: Kahuku124	0		337.5	
	This study:Johnson et al. 2007	TAFI:20D	8.39	Kahuku123				6.28	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	8.52		73.1	5	18.9	ka		149	204.6				TAFI-PMCORR: Kahuku123	0		354	
18.5389	This study:Johnson et al. 2007	TAFI:20D	8.39	Kahuku123				6.28	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	8.52		73.4	5	18.9	ka		149	204.6				TAFI: Kahuku123	0		354	
	This study:Johnson et al. 2007	TAFI:20D	17.83	Kahuku122				2.8	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	9.43		76.6	8	18.9	ka		394	204.6				TAFI-PMCORR: Kahuku122	0		340.2	
18.5389	This study:Johnson et al. 2007	TAFI:20D	17.83	Kahuku122				2.8	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	9.43		76.9	8	18.9	ka		394	204.6				TAFI: Kahuku122	0		339.8	
	This study:Johnson et al. 2007	TAFI:20D	4.49	Kahuku121				4.58	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	345.41		68.1	5	18.9	ka		280	204.6				TAFI-PMCORR: Kahuku121	0		67	
18.5389	This study:Johnson et al. 2007	TAFI:20D	4.49	Kahuku121				4.58	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	345.41		68.3	5	18.9	ka		280	204.6				TAFI: Kahuku121	0		68.2	
	This study:Johnson et al. 2007	TAFI:20D	1	Kahuku120				4.52	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	343.54		65.5	5	18.9	ka		287	204.6				TAFI-PMCORR: Kahuku120	0		67.7	
18.5389	This study:Johnson et al. 2007	TAFI:20D	1	Kahuku120				4.52	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	343.54		65.8	5	18.9	ka		287	204.6				TAFI: Kahuku120	0		68.9	
	This study:Johnson et al. 2007	TAFI:20D	25.35	Kahuku119				10.06	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	16.7		73	5	18.9	ka		59	204.6				TAFI-PMCORR: Kahuku119	0		311.3	
18.5389	This study:Johnson et al. 2007	TAFI:20D	25.35	Kahuku119				10.06	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	16.7		73.1	5	18.9	ka		59	204.6				TAFI: Kahuku119	0		310.8	
	This study:Johnson et al. 2007	TAFI:20D	19.54	Kahuku118				8.68	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	20.36		68.4	5	18.9	ka		79	204.6				TAFI-PMCORR: Kahuku118	0		315.9	
18.5389	This study:Johnson et al. 2007	TAFI:20D	19.54	Kahuku118				8.68	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	20.36		68.6	5	18.9	ka		79	204.6				TAFI: Kahuku118	0		315.7	
	This study:Johnson et al. 2007	TAFI:20D	20.99	Kahuku117				5.01	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	18.8		70.2	7	18.9	ka		146	204.6				TAFI-PMCORR: Kahuku117	0		315.8	
18.5389	This study:Johnson et al. 2007	TAFI:20D	20.99	Kahuku117				5.01	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	18.8		70.3	7	18.9	ka		146	204.6				TAFI: Kahuku117	0		315.5	
	This study:Johnson et al. 2007	TAFI:20D	15.91	Kahuku116				5.09	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	14.47		72.3	5	18.9	ka		227	204.6				TAFI-PMCORR: Kahuku116	0		330.2	
18.5389	This study:Johnson et al. 2007	TAFI:20D	15.91	Kahuku116				5.09	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	14.47		72.5	5	18.9	ka		227	204.6				TAFI: Kahuku116	0		329.9	
	This study:Johnson et al. 2007	TAFI:20D	15.63	Kahuku115				5.84	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	19.91		67.8	5	18.9	ka		173	204.6				TAFI-PMCORR: Kahuku115	0		321.4	
18.5389	This study:Johnson et al. 2007	TAFI:20D	15.63	Kahuku115				5.84	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	19.91		68	5	18.9	ka		173	204.6				TAFI: Kahuku115	0		321.3	
	This study:Johnson et al. 2007	TAFI:20D	25.71	Kahuku114				3.55	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	16.38		73.4	7	18.9	ka		291	204.6				TAFI-PMCORR: Kahuku114	0		311	
18.5389	This study:Johnson et al. 2007	TAFI:20D	25.71	Kahuku114				3.55	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	16.38		73.5	7	18.9	ka		291	204.6				TAFI: Kahuku114	0		310.5	
	This study:Johnson et al. 2007	TAFI:20D	28.91	Kahuku113				4.32	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	16.03		74.3	5	18.9	ka		314	204.6				TAFI-PMCORR: Kahuku113	0		304.9	
18.5389	This study:Johnson et al. 2007	TAFI:20D	28.91	Kahuku113				4.32	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	16.03		74.4	5	18.9	ka		314	204.6				TAFI: Kahuku113	0		304.2	
	This study:Johnson et al. 2007	TAFI:20D	24.04	Kahuku112				5.94	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	16.11		73.3	5	18.9	ka		167	204.6				TAFI-PMCORR: Kahuku112	0		314.5	
18.5389	This study:Johnson et al. 2007	TAFI:20D	24.04	Kahuku112				5.94	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	16.11		73.4	5	18.9	ka		167	204.6				TAFI: Kahuku112	0		313.9	
	This study:Johnson et al. 2007	TAFI:20D	16.69	Kahuku111				4.47	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	20.88		67.3	6	18.9	ka		226	204.6				TAFI-PMCORR: Kahuku111	0		318.9	
18.5389	This study:Johnson et al. 2007	TAFI:20D	16.69	Kahuku111				4.47	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	20.88		67.4	6	18.9	ka		226	204.6				TAFI: Kahuku111	0		318.7	
	This study:Johnson et al. 2007	TAFI:20D	19.85	Kahuku110				6.09	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	15.91		72.3	5	18.9	ka		164	204.6				TAFI-PMCORR: Kahuku110	0		321.8	
18.5389	This study:Johnson et al. 2007	TAFI:20D	19.85	Kahuku110				6.09	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	15.91		72.5	5	18.9	ka		164	204.6				TAFI: Kahuku110	0		321.4	
	This study:Johnson et al. 2007	TAFI:20D	24.34	Kahuku109				2.39	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	18.43		71.2	5	18.9	ka		1027	204.6				TAFI-PMCORR: Kahuku109	0		311	
18.5389	This study:Johnson et al. 2007	TAFI:20D	24.34	Kahuku109				2.39	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	18.43		71.3	5	18.9	ka		1027	204.6				TAFI: Kahuku109	0		310.6	
	This study:Johnson et al. 2007	TAFI:20D	24.8	Kahuku108				5.06	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	20.99		69	5	18.9	ka		230	204.6				TAFI-PMCORR: Kahuku108	0		307.8	
18.5389	This study:Johnson et al. 2007	TAFI:20D	24.8	Kahuku108				5.06	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	20.99		69.1	5	18.9	ka		230	204.6				TAFI: Kahuku108	0		307.5	
	This study:Johnson et al. 2007	TAFI:20D	23.81	Kahuku107				2.27	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	18.79		70.8	5	18.9	ka		1136	204.6				TAFI-PMCORR: Kahuku107	0		311.5	
18.5389	This study:Johnson et al. 2007	TAFI:20D	23.81	Kahuku107				2.27	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	18.79		70.9	5	18.9	ka		1136	204.6				TAFI: Kahuku107	0		311.1	
	This study:Johnson et al. 2007	TAFI:20D	30.65	Kahuku106				3.32	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	11.55		78.7	5	18.9	ka		531	204.6				TAFI-PMCORR: Kahuku106	0		305.1	
18.5389	This study:Johnson et al. 2007	TAFI:20D	30.65	Kahuku106				3.32	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	11.55		78.8	5	18.9	ka		531	204.6				TAFI: Kahuku106	0		303.9	
	This study:Johnson et al. 2007	TAFI:20D	40.04	Kahuku105				5.94	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	358.91		86	5	18.9	ka		167	204.6				TAFI-PMCORR: Kahuku105	0		190.1	
18.5389	This study:Johnson et al. 2007	TAFI:20D	40.04	Kahuku105				5.94	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	358.91		85.6	5	18.9	ka		167	204.6				TAFI: Kahuku105	0		191.9	
	This study:Johnson et al. 2007	TAFI:20D	33.1	Kahuku104				3.3	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	358.04		88	8	18.9	ka		283	204.6				TAFI-PMCORR: Kahuku104	0		90.4	
18.5389	This study:Johnson et al. 2007	TAFI:20D	33.1	Kahuku104				3.3	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	358.04		88.1	8	18.9	ka		283	204.6				TAFI: Kahuku104	0		100.9	
	This study:Johnson et al. 2007	TAFI:20D	35.62	Kahuku103				4.82	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	357.58		87.6	5	18.9	ka		253	204.6				TAFI-PMCORR: Kahuku103	0		134.5	
18.5389	This study:Johnson et al. 2007	TAFI:20D	35.62	Kahuku103				4.82	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	357.58		87.4	5	18.9	ka		253	204.6				TAFI: Kahuku103	0		142.7	
	This study:Johnson et al. 2007	TAFI:20D	42.91	Kahuku102				3.94	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	12.68		76.8	5	18.9	ka		379	204.6				TAFI-PMCORR: Kahuku102	0		265.2	
18.5389	This study:Johnson et al. 2007	TAFI:20D	42.91	Kahuku102				3.94	LP-DIR:IE-MLAT-PR				205.227	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	12.68		76.6	5	18.9	ka		379	204.6				TAFI: Kahuku102	0		264.5	
	This study:Johnson et al. 2007	TAFI:20D	54.18	Hamakua99				3.26	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	10.8		72.5	5	20	ka		552	204.85				TAFI-PMCORR: Hamakua99	0		235.6	
19.6391	This study:Johnson et al. 2007	TAFI:20D	54.18	Hamakua99				3.26	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	10.8		72.2	5	20	ka		552	204.85				TAFI: Hamakua99	0		235.6	
	This study:Johnson et al. 2007	TAFI:20D	53.34	Hamakua95				5.25	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	9.52		73.7	6	20	ka		164	204.85				TAFI-PMCORR: Hamakua95	0		234.2	
19.6391	This study:Johnson et al. 2007	TAFI:20D	53.34	Hamakua95				5.25	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	9.52		73.4	6	20	ka		164	204.85				TAFI: Hamakua95	0		234.2	
	This study:Johnson et al. 2007	TAFI:20D	55.52	Hamakua94				2.72	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	14.25		69.7	7	20	ka		495	204.85				TAFI-PMCORR: Hamakua94	0		239.8	
19.6391	This study:Johnson et al. 2007	TAFI:20D	55.52	Hamakua94				2.72	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	14.25		69.4	7	20	ka		495	204.85				TAFI: Hamakua94	0		239.8	
	This study:Johnson et al. 2007	TAFI:20D	48.61	Hamakua91				8.63	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	22.33		67.6	5	20	ka		80	204.85				TAFI-PMCORR: Hamakua91	0		265.1	
19.6391	This study:Johnson et al. 2007	TAFI:20D	48.61	Hamakua91				8.63	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	22.33		67.5	5	20	ka		80	204.85				TAFI: Hamakua91	0		265	
	This study:Johnson et al. 2007	TAFI:20D	50.1	Hamakua90				2.67	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	16.66		71.5	6	20	ka		630	204.85				TAFI-PMCORR: Hamakua90	0		255.6	
19.6391	This study:Johnson et al. 2007	TAFI:20D	50.1	Hamakua90				2.67	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	16.66		71.2	6	20	ka		630	204.85				TAFI: Hamakua90	0		255.4	
	This study:Johnson et al. 2007	TAFI:20D	48.01	Hamakua88				6.05	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	11.78		76	5	20	ka		161	204.85				TAFI-PMCORR: Hamakua88	0		252.3	
19.6391	This study:Johnson et al. 2007	TAFI:20D	48.01	Hamakua88				6.05	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	11.78		75.7	5	20	ka		161	204.85				TAFI: Hamakua88	0		251.9	
	This study:Johnson et al. 2007	TAFI:20D	55.63	Hamakua86				6.23	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	7.5		72.5	4	20	ka		218	204.85				TAFI-PMCORR: Hamakua86	0		225.4	
19.6391	This study:Johnson et al. 2007	TAFI:20D	55.63	Hamakua86				6.23	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	7.5		72.2	4	20	ka		218	204.85				TAFI: Hamakua86	0		225.6	
	This study:Johnson et al. 2007	TAFI:20D	53.12	Hamakua85				4.94	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	13.74		71.7	4	20	ka		348	204.85				TAFI-PMCORR: Hamakua85	0		243.8	
19.6391	This study:Johnson et al. 2007	TAFI:20D	53.12	Hamakua85				4.94	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	13.74		71.4	4	20	ka		348	204.85				TAFI: Hamakua85	0		243.7	
	This study:Johnson et al. 2007	TAFI:20D	48.78	Hamakua84				8.331	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	9.1		77.3	5	20	ka		86	204.85				TAFI-PMCORR: Hamakua84	0		243.4	
19.6391	This study:Johnson et al. 2007	TAFI:20D	48.78	Hamakua84				8.331	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	9.1		77	5	20	ka		86	204.85				TAFI: Hamakua84	0		243	
	This study:Johnson et al. 2007	TAFI:20D	56.91	Hamakua82				5.93	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	12.91		69.2	5	20	ka		167	204.85				TAFI-PMCORR: Hamakua82	0		234.8	
19.6391	This study:Johnson et al. 2007	TAFI:20D	56.91	Hamakua82				5.93	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	12.91		68.9	5	20	ka		167	204.85				TAFI: Hamakua82	0		235	
	This study:Johnson et al. 2007	TAFI:20D	51.7	Hamakua79				3.77	LP-DIR					1250	VGP calculated using present lat/lon	Hawaii				i	15.45		71.5	6	20	ka		317	204.85				TAFI-PMCORR: Hamakua79	0		250	
19.6391	This study:Johnson et al. 2007	TAFI:20D	51.7	Hamakua79				3.77	LP-DIR:IE-MLAT-PR				205.467	1250	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	15.45		71.2	6	20	ka		317	204.85				TAFI: Hamakua79	0		249.8	
	This study:Johnson et al. 2007	TAFI:20D	38.97	Puna148				8.11	LP-DIR					450	VGP calculated using present lat/lon	Hawaii				i	3.86		85.5	5	19.4	ka		90	204.95				TAFI-PMCORR: Puna148	0		258.3	
19.2701	This study:Johnson et al. 2007	TAFI:20D	38.97	Puna148				8.11	LP-DIR:IE-MLAT-PR				205.174	450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	3.86		85.5	5	19.4	ka		90	204.95				TAFI: Puna148	0		257.2	
	This study:Johnson et al. 2007	TAFI:20D	42.06	Puna147				4.61	LP-DIR					450	VGP calculated using present lat/lon	Hawaii				i	358.23		84.8	6	19.4	ka		213	204.95				TAFI-PMCORR: Puna147	0		186.7	
19.2701	This study:Johnson et al. 2007	TAFI:20D	42.06	Puna147				4.61	LP-DIR:IE-MLAT-PR				205.174	450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	358.23		84.7	6	19.4	ka		213	204.95				TAFI: Puna147	0		187.3	
