Generated using GEOMAGIA50.v3.2 on Mar/29/2018
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],SigmaAgeID,N_Ba,n_Ba[meas.],n_Ba[acc.],Ba[microT],SigmaBa[microT],VDM[E22_AmE2],SigmaVDM[E22_AmE2],N_Dir,n_Dir[meas.],n_Dir[acc.],Dec[deg.],Inc[deg.],Alpha95[deg.],K,MaxAF[mT],MaxTemp[deg.C],PubDataID,SiteName,LocationName,SiteLat[deg.],SiteLon[deg.],CountryRegionID,ArcheoVolcanic,MatID,PIMethID,AltMonID,MDMonID,CoolRID,AnisoID,DirMethID,DirAnalysisID,DatMethID,SpecTypeID,RefID,CompilationID,UploadMonth,UploadYear,Uploader,Editor,LastEditDate,C14ID,UID
        1651,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,          15,        -999,        -999,       15.10,       57.50,        1.40,      666.67,        -999,        -999,-999,Presumed 1651 East Flow,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         258,1001;1005,-999,2009,Fabio Donadini,-999,-999,-1,5651
        1651,       -9999,       -9999,           1,           1,        -999,           5,       41.00,        3.70,        6.81,        0.61,           1,        -999,           5,      355.00,       62.20,        4.00,     1225.00,        -999,        -999,-999,1651W Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,861
        1651,       -9999,       -9999,           1,           1,        -999,           5,       41.80,        2.40,        7.40,        0.42,           1,        -999,           5,       20.30,       57.30,        4.00,     1225.00,        -999,        -999,-999,1651E Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,862
        1651,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,        -999,      359.60,       60.70,        2.40,     -999.00,        -999,        -999,-999,E23,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         185,1005,-999,2009,Fabio Donadini,-999,-999,-1,3796
        1669,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,          30,        -999,        -999,      356.70,       62.50,        0.70,     1333.33,        -999,        -999,-999,1669 Flows South Flank (4 sites),Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         258,1001;1005,-999,2009,Fabio Donadini,-999,-999,-1,5652
        1669,       -9999,       -9999,           1,           1,        -999,           5,       36.60,        0.70,        6.23,        0.12,           1,        -999,           5,      356.30,       60.40,        2.90,     2330.56,        -999,        -999,-999,1669 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,863
        1669,           5,           5,           1,           1,        -999,           4,       41.50,        8.30,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1669 Flow,Mount Etna,     37.7000,     15.0000,          11,Volcanic,           4,           1,           5,          -1,          -1,          -1,           0,           0,105,           1,          57,1001;1006;1010;1011,-999,2007,Fabio Donadini,-999,-999,-1,1404
        1669,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,        -999,      357.20,       61.80,        1.60,     -999.00,        -999,        -999,-999,E32:E48:E50,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         185,1005,-999,2009,Fabio Donadini,-999,-999,-1,3797
        1689,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,          16,        -999,        -999,      357.80,       63.30,        1.20,      850.69,        -999,        -999,-999,Presumed 1689 Flow above Fornazza (2 sites),Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         258,1001;1005,-999,2009,Fabio Donadini,-999,-999,-1,5653
        1689,       -9999,       -9999,           1,           1,        -999,           5,       35.60,        3.00,        5.68,        0.49,           1,        -999,           5,      351.40,       64.00,        2.30,     3705.10,        -999,        -999,-999,1689 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,864
        1689,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,        -999,      352.30,       65.40,        1.70,     -999.00,        -999,        -999,-999,E27:E73,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         185,1005,-999,2009,Fabio Donadini,-999,-999,-1,3798
        1720,          30,          30,           2,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,          12,      349.40,       64.10,        1.85,     -999.00,        -999,         580,VN3,Pietre Cotte rhyolitic flow on North side of the Fossa cone,Vulcano Island,     38.4000,     14.9500,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           2,           0,106,           1,         411,-1,-999,2009,Fabio Donadini,-999,-999,-1,8145
        1763,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,           9,        -999,        -999,      346.90,       57.70,        1.10,     1799.82,        -999,        -999,-999,1763 Flow near cable car lower station,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         258,1001;1005,-999,2009,Fabio Donadini,-999,-999,-1,5656
        1763,       -9999,       -9999,           1,           1,        -999,           5,       46.00,        1.70,        8.47,        0.31,           1,        -999,           5,      339.80,       54.20,        2.20,     4049.59,        -999,        -999,-999,1763 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,865
        1763,       -9999,       -9999,           1,           1,        -999,           1,       54.90,        5.00,       10.11,     -999.00,           5,        -999,        -999,      339.80,       54.20,        2.20,      809.92,        -999,        -999,-999,1763 Flow,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,           0,           0,           0,           0,           0,           0,           0,105,           0,         389,1010,-999,2009,Fabio Donadini,-999,-999,-1,7545
        1780,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,          32,        -999,        -999,      343.80,       56.60,        1.00,      612.00,        -999,        -999,-999,1780 Flow South Flank (4 sites),Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         258,1001;1005,-999,2009,Fabio Donadini,-999,-999,-1,5658
        1780,       -9999,       -9999,           1,           1,        -999,           5,       48.80,        7.50,        8.53,        1.31,           1,        -999,           5,      348.30,       58.30,        2.50,     3136.00,        -999,        -999,-999,1780 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,866
        1780,           5,           5,           1,           1,        -999,           4,       43.50,        8.70,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1780 Flow,Mount Etna,     37.7000,     15.0000,          11,Volcanic,           4,           1,           5,          -1,          -1,          -1,           0,           0,105,           1,          57,1001;1006;1010;1011,-999,2007,Fabio Donadini,-999,-999,-1,1405
        1792,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,          18,        -999,        -999,      344.90,       56.10,        1.00,     1088.00,        -999,        -999,-999,1792 Flow SE Flank (3 sites),Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         258,1001;1005,-999,2009,Fabio Donadini,-999,-999,-1,5659
        1792,       -9999,       -9999,           1,           1,        -999,           5,       36.10,        4.10,        6.34,        0.72,           1,        -999,           5,      333.00,       57.90,        5.90,      563.06,        -999,        -999,-999,1792 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,867
