tab 	er_specimens
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_method_codes	specimen_class	specimen_core_depth	specimen_lithology	specimen_type
This study		U1356A	318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83		Sedimentary	0.83	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53		Sedimentary	2.03	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-001R-3-W-21	318-U1356A-001R-3-W-21	318-U1356A-001R-3-W-21		Sedimentary	3.21	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-002R-6-W-72	318-U1356A-002R-6-W-72	318-U1356A-002R-6-W-72		Sedimentary	17.72	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-012R-3-W-10	318-U1356A-012R-3-W-10	318-U1356A-012R-3-W-10		Sedimentary	108	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-013R-2-W-99	318-U1356A-013R-2-W-99	318-U1356A-013R-2-W-99		Sedimentary	116.99	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.2	318-U1356A-014R_1A-0.2	318-U1356A-014R_1A-0.2		Sedimentary	124.3	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.25	318-U1356A-014R_1A-0.25	318-U1356A-014R_1A-0.25		Sedimentary	124.35	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.3	318-U1356A-014R_1A-0.3	318-U1356A-014R_1A-0.3		Sedimentary	124.4	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.35	318-U1356A-014R_1A-0.35	318-U1356A-014R_1A-0.35		Sedimentary	124.45	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.4	318-U1356A-014R_1A-0.4	318-U1356A-014R_1A-0.4		Sedimentary	124.5	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.45	318-U1356A-014R_1A-0.45	318-U1356A-014R_1A-0.45		Sedimentary	124.55	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.5	318-U1356A-014R_1A-0.5	318-U1356A-014R_1A-0.5		Sedimentary	124.6	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.55	318-U1356A-014R_1A-0.55	318-U1356A-014R_1A-0.55		Sedimentary	124.65	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.6	318-U1356A-014R_1A-0.6	318-U1356A-014R_1A-0.6		Sedimentary	124.7	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.65	318-U1356A-014R_1A-0.65	318-U1356A-014R_1A-0.65		Sedimentary	124.75	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.7	318-U1356A-014R_1A-0.7	318-U1356A-014R_1A-0.7		Sedimentary	124.8	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.75	318-U1356A-014R_1A-0.75	318-U1356A-014R_1A-0.75		Sedimentary	124.85	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.8	318-U1356A-014R_1A-0.8	318-U1356A-014R_1A-0.8		Sedimentary	124.9	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.85	318-U1356A-014R_1A-0.85	318-U1356A-014R_1A-0.85		Sedimentary	124.95	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.9	318-U1356A-014R_1A-0.9	318-U1356A-014R_1A-0.9		Sedimentary	125	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-0.95	318-U1356A-014R_1A-0.95	318-U1356A-014R_1A-0.95		Sedimentary	125.05	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-1	318-U1356A-014R_1A-1	318-U1356A-014R_1A-1		Sedimentary	125.1	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-1.05	318-U1356A-014R_1A-1.05	318-U1356A-014R_1A-1.05		Sedimentary	125.15	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-1.1	318-U1356A-014R_1A-1.1	318-U1356A-014R_1A-1.1		Sedimentary	125.2	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-1.15	318-U1356A-014R_1A-1.15	318-U1356A-014R_1A-1.15		Sedimentary	125.25	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-1.2	318-U1356A-014R_1A-1.2	318-U1356A-014R_1A-1.2		Sedimentary	125.3	Not Specified	Sediment Layer
This study		U1356A	318-U1356A-014R_1A-1.25	318-U1356A-014R_1A-1.25	318-U1356A-014R_1A-1.25		Sedimentary	125.35	Not Specified	Sediment Layer
