tab 	measurements
citations	experiment	experiments	location	meas_orient_phi	meas_orient_theta	meas_temp	measurement	method_codes	quality	sample	site	software_packages	specimen	standard	susc_chi_volume	treat_temp
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008740000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008810000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008620000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008750000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008660000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008530000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008560000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008670000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008530000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008730000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008710000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008630000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008730000	2.730e+02
This study	873.:LP-AN-MS	east-b1:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b1	u	0.0008710000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009470000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009580000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009700000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009470000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009590000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009520000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009320000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009370000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009510000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009320000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009620000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009540000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009460000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009620000	2.730e+02
This study	962.:LP-AN-MS	east-b2:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	east-b	east-	pmagpy-3.22.1	east-b2	u	0.0009540000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008810000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008930000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008900000	2.730e+02
