tab 	measurements
citations	experiment	experiments	location	meas_orient_phi	meas_orient_theta	meas_temp	measurement	method_codes	quality	sample	site	software_packages	specimen	standard	susc_chi_volume	treat_temp
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012180000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012510000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012530000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012170000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012330000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012300000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012210000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012330000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012300000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012490000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012440000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012420000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012490000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012440000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010490000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010420000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010540000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010500000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010420000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010440000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010440000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010380000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010440000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010440000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010530000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010500000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010490000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010530000	2.730e+02
This study	1053.:LP-AN-MS	west-k2:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	west-k	west-	pmagpy-3.22.1	west-k2	u	0.0010500000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012220000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012140000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012290000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012210000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012140000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012160000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012140000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012080000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012170000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012140000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012300000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012230000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012240000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012300000	2.730e+02
This study	1230.000:LP-AN-MS	west-l1:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	west-l	west-	pmagpy-3.22.1	west-l1	u	0.0012230000	2.730e+02
