tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	measurement_csd	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-NO:LP-DIR-AF	0.6	200.6	g	27.9	2.93e-05	1	u	273	0	0	0	0	273
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	0.9	201	g	27.7	2.83e-05	2	u	273	0.01	0	0	0	273
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	0.9	200.5	g	27.4	2.61e-05	3	u	273	0.02	0	0	0	273
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	0.7	199.9	g	27.7	2.37e-05	4	u	273	0.03	0	0	0	273
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	202.5	g	27.9	1.85e-05	5	u	273	0.06	0	0	0	273
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	199.4	g	27.4	1.54e-05	6	u	273	0.08	0	0	0	273
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	200.3	g	27.9	1.26e-05	7	u	273	0.1	0	0	0	273
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	198.9	g	27.6	1.05e-05	8	u	273	0.12	0	0	0	273
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	201.6	g	27.9	8.73e-06	9	u	273	0.14	0	0	0	273
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	200.5	g	27.2	7.63e-06	10	u	273	0.16	0	0	0	273
This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	202.3	g	27.7	6.55e-06	11	u	273	0.18	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-NO:LP-DIR-AF	1.4	178.7	g	39.1	2.28e-05	12	u	273	0	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.1	180.6	g	38.3	2.18e-05	13	u	273	0.01	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.7	177.9	g	38.2	1.92e-05	14	u	273	0.02	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.6	180	g	38.2	1.64e-05	15	u	273	0.03	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	179.8	g	38.5	1.42e-05	16	u	273	0.04	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	182.9	g	38.3	1.14e-05	17	u	273	0.06	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	183.1	g	38.2	9.46e-06	18	u	273	0.08	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	179.5	g	38.2	7.97e-06	19	u	273	0.1	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	181.5	g	38.3	6.69e-06	20	u	273	0.12	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	179.1	g	38.2	5.67e-06	21	u	273	0.14	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	180.1	g	38.5	4.72e-06	22	u	273	0.16	0	0	0	273
This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	179.9	g	38.3	4.2e-06	23	u	273	0.18	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-NO:LP-DIR-AF	1.4	42.7	g	-49.9	0.000124	24	u	273	0	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.2	39.3	g	-51.5	0.000126	25	u	273	0.01	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.4	39.3	g	-52.3	9.73e-05	26	u	273	0.02	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.8	40.4	g	-53	6.04e-05	27	u	273	0.03	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	39.9	g	-53.7	3.64e-05	28	u	273	0.04	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	37.9	g	-53.7	2.2e-05	29	u	273	0.06	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	36.4	g	-53.2	1.75e-05	30	u	273	0.08	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	36.9	g	-53.1	1.51e-05	31	u	273	0.1	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	36.3	g	-52.8	1.35e-05	32	u	273	0.12	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	36.3	g	-53	1.19e-05	33	u	273	0.14	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	36.5	g	-52.7	1.03e-05	34	u	273	0.16	0	0	0	273
This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	34.9	g	-52.2	8.62e-06	35	u	273	0.18	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-NO:LP-DIR-AF	1.1	34	g	-18.5	3.37e-05	36	u	273	0	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.2	29.9	g	-18.8	3.31e-05	37	u	273	0.01	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.4	30.3	g	-19.1	2.82e-05	38	u	273	0.02	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	0.8	29.1	g	-19.2	2.41e-05	39	u	273	0.03	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	29	g	-19.4	2.1e-05	40	u	273	0.04	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	30.3	g	-19.6	1.7e-05	41	u	273	0.06	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	30.4	g	-19.3	1.4e-05	42	u	273	0.08	0	0	0	273
