tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Africa	ak01d	ak01	ak01d		ak01d:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	316.0		g	89.1	1.458e-08	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	ak01d	ak01	ak01d		ak01d:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	181.3		g	-10.8	1.693e-08	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	ak01d	ak01	ak01d		ak01d:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	264.6		g	-9.5	1.760e-08	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	ak01d	ak01	ak01d		ak01d:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	195.9		g	-86.7	1.977e-08	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	ak03a	ak03	ak03a		ak03a:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.3	191.4		g	-74.5	1.207e-09	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	ak03a	ak03	ak03a		ak03a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	1.4		g	-3.1	1.374e-08	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	ak03a	ak03	ak03a		ak03a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.5	88.7		g	-6.6	1.364e-08	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	ak03a	ak03	ak03a		ak03a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	277.9		g	87.4	1.105e-08	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	ak03a	ak03	ak03a		ak03a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	185.7		g	-7.4	1.425e-08	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	ak03a	ak03	ak03a		ak03a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	1.6	265.6		g	-4.6	1.392e-08	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	ak03a	ak03	ak03a		ak03a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	135.4		g	-85.1	1.318e-08	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
