ak01a    520.00    0.2    2.765E-6    196.0    -66.3
ak01b    520.00    0.3    7.396E-7    231.5    -76.0
ak01c    520.00    0.3    3.840E-6    222.2    -77.0
ak01d    520.00    0.3    2.927E-6    190.0    -70.2
ak03a    520.00    0.3    1.207E-6    191.4    -74.5
ak03b    520.00    0.3    9.150E-7    178.9    -74.9
ak03c    520.00    0.4    1.049E-6    211.8    -75.5
ak04a    520.00    0.2    2.399E-6    158.8    -85.8
ak04b    520.00    0.5    5.783E-7    140.7    -86.6
ak04c    520.00    0.3    1.555E-6    184.6    -81.2
ak04d    520.00    0.3    1.302E-6    170.3    -86.3
cb01a    520.00    0.4    6.911E-7    170.2    -78.9
cb01b    520.00    0.1    1.233E-6    213.5    -82.4
cb01c    520.00    0.9    2.477E-7    230.1    -70.7
cb02a    520.00    1.0    1.874E-7    178.8    -78.5
cb02c    520.00    1.0    2.468E-7    268.5    -79.5
cb05a    520.00    0.2    6.172E-7    234.6    -81.6
cb05b    520.00    0.3    2.609E-6    179.6    -84.7
cb06a    520.00    0.5    2.715E-6    190.4    -73.2
cb06b    520.00    0.2    3.227E-6    208.5    -82.4
cb09a    520.00    0.4    1.603E-6    238.3    -64.2
cb09b    520.00    0.2    4.520E-6    127.3    -85.5
cb09w    520.00    0.3    3.566E-6    152.6    -86.0
cb09x    520.00    0.5    3.639E-6    175.1    -70.9
cb11a    520.00    0.2    1.810E-6    112.8    -85.7
cb11b    520.00    0.2    3.813E-6    108.2    -79.8
cb12a    520.00    0.5    6.220E-7    143.9    -77.7
cb12b    520.00    1.9    1.150E-7    12.4    -60.8
cb12w    520.00    0.3    8.296E-7    255.7    -83.1
cb12x    520.00    0.4    8.231E-7    154.6    -83.0
ak01a    520.10    1.1    1.793E-5    1.3    -2.9
ak01b    520.10    0.3    7.825E-6    357.0    -6.9
ak01c    520.10    0.4    2.090E-5    350.9    -7.6
ak01d    520.10    0.3    1.530E-5    355.2    -9.6
ak03a    520.10    0.3    1.374E-5    1.4    -3.1
ak03b    520.10    0.3    9.129E-6    1.2    -6.1
ak03c    520.10    0.3    9.059E-6    359.4    -3.4
ak04a    520.10    0.3    2.389E-5    3.1    -7.1
