tab 	locations																																												
age_high	age_low	age_unit	citations	conglomerate_test	contact_test	continent_ocean	country	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_k_ratio	dir_n_samples	dir_n_sites	dir_polarity	dir_tilt_correction	external_database_ids	fold_test	fold_test_significance	geologic_classes	geological_province_sections	lat_n	lat_s	lithologies	location	location_alternatives	location_type	lon_e	lon_w	method_codes	pole_antipodal_angle	pole_comp_name	pole_dm	pole_dp	pole_lat	pole_lon	pole_reversed_perc	region	result_name	result_type	reversal_test	rock_magnetic_test	terranes	village_city
125	100	Ma	10.1029/2000JB900136	ND	ND	Europe	Spain	"Aptian to Albian. Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST."	31.7	356.3	11.4	2.7	nan	nan	13	nan	0	nan	F+	nan	Sedimentary	Organya Basin	42.2	42.2	marl:Limestone	Organya Aptian-Albian Sediments	nan	Outcrop	1.3	1.3	DE-DI:LT-T-Z:LP-DC4	nan	nan	6.7	4.6	77.1	233.9	0	Northern Spain	8568	a	ND	M	Iberia	nan
120	100	Ma	10.1029/2000JB900136	ND	ND	Europe	Spain	"Berriasian to Barremian. Group 1. Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST. Remagnetized in Albian-Aptian."	4.4	294.6	56.1	108	nan	83	11	nan	100	nan	ND	nan	Sedimentary	Organya Basin	42.2	42.2	marl:Limestone	"Organya Berriasian-Barremian Sediments, Group 1"	nan	Outcrop	1.3	1.3	DE-DI:LT-T-Z:LP-DC4	nan	1	6.3	4.6	40.4	287.9	0	Northern Spain	8566	a	ND	M	Iberia	nan
120	100	Ma	10.1029/2000JB900136	ND	ND	Europe	Spain	"Berriasian to Barremian. Group 1. Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST. Remagnetized in Albian-Aptian."	4.3	342.4	29.1	111.3	nan	nan	11	nan	0	nan	ND	nan	Sedimentary	Organya Basin	42.2	42.2	marl:Limestone	"Organya Berriasian-Barremian Sediments, Group 1"	nan	Outcrop	1.3	1.3	DE-DI:LT-T-Z:LP-DC4	nan	1	6.3	4.6	40.4	287.9	0	Northern Spain	8566	a	ND	M	Iberia	nan
146	100	Ma	10.1016/0040-1951(94)00150-8	ND	ND	Europe	Albania	"AF to 60mT, thermal to 550C, characteristic component."	22.2	3	36	32	nan	11	3	nan	100	nan	ND	nan	Sedimentary	nan	39.8	39.8	Limestone	Lower Cretaceous Limestones	nan	Outcrop	20	20	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	25.8	15	70	192	0	Albania	7669	a	ND	ND	nan	nan
146	100	Ma	10.1016/0040-1951(94)00150-8	ND	ND	Europe	Albania	"AF to 60mT, thermal to 550C, characteristic component."	22.2	15	40	32	nan	nan	3	nan	0	nan	ND	nan	Sedimentary	nan	39.8	39.8	Limestone	Lower Cretaceous Limestones	nan	Outcrop	20	20	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	25.8	15	70	192	0	Albania	7669	a	ND	ND	nan	nan
110	80	Ma	JUAREZ ET AL. (1995)	ND	ND	Europe	Spain	"Middle to Late Oxfordian. Moneva S Comp. . Thermal to 580C, intermediate component 350-450C. SUSC. Overprint in Cretaceous Normal Zone."	2	343	56	48	nan	83	83	nan	100	nan	ND	nan	Sedimentary	nan	40.7	40.7	Limestone	"Iberian Range Sediments, Moneva S"	nan	Outcrop	358.8	358.8	DE-DI:LT-T-Z:LP-DC4	nan	Moneva S	2.9	2.1	76	258	0	Spain	7756	a	ND	M	Iberia	nan
110	80	Ma	JUAREZ ET AL. (1995)	ND	ND	Europe	Spain	"Middle to Late Oxfordian. Moneva S Comp. . Thermal to 580C, intermediate component 350-450C. SUSC. Overprint in Cretaceous Normal Zone."	2	345	49	52	nan	nan	83	nan	0	nan	ND	nan	Sedimentary	nan	40.7	40.7	Limestone	"Iberian Range Sediments, Moneva S"	nan	Outcrop	358.8	358.8	DE-DI:LT-T-Z:LP-DC4	nan	Moneva S	2.9	2.1	76	258	0	Spain	7756	a	ND	M	Iberia	nan
100	65	Ma	10.1016/0031-9201(90)90194-3	ND	ND	Europe	Bulgaria	"Pliensbachian to Callovian age. Thermal to 650C. Js-T (CT 100, 650C) , OP (GOETH, HEM, MAGN) , SUSC, AN. Late Cretaceous magnetization."	5.2	343	64	167.3	nan	66	6	nan	100	nan	F-	nan	Sedimentary	nan	42.5	42.5	Limestone:Sandstone	Bulgarian Jurassic Sediments	nan	Outcrop	25	25	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	8.3	6.6	77	313	0	Bulgaria	6271	a	ND	M	nan	nan
100	65	Ma	10.1016/0031-9201(90)90194-3	ND	ND	Europe	Bulgaria	"Pliensbachian to Callovian age. Thermal to 650C. Js-T (CT 100, 650C) , OP (GOETH, HEM, MAGN) , SUSC, AN. Late Cretaceous magnetization."	nan	342	59	2	0.01	nan	6	nan	0	nan	F-	nan	Sedimentary	nan	42.5	42.5	Limestone:Sandstone	Bulgarian Jurassic Sediments	nan	Outcrop	25	25	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	8.3	6.6	77	313	0	Bulgaria	6271	a	ND	M	nan	nan
100	65	Ma	10.1016/0031-9201(90)90194-3	ND	ND	Europe	Bulgaria	"Pliensbachian to Callovian age. Thermal to 650C. Js-T (CT 100, 650C) , OP (GOETH, HEM, MAGN) , SUSC, AN. Late Cretaceous magnetization."	5.2	343	64	167.3	nan	nan	6	nan	0	nan	F-	nan	Sedimentary	nan	42.5	42.5	Limestone:Sandstone	Bulgarian Jurassic Sediments	nan	Outcrop	25	25	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	8.3	6.6	77	313	0	Bulgaria	6271	a	ND	M	nan	nan
89	65	Ma	10.1029/95JB00864	ND	ND	Europe	Italy	"Thermal to 560C, characteristic component. IRM (MAGN, HEM) ; SUSC; AN."	11.3	357	43	76	7.6	19	2	nan	100	nan	Fo	85	Sedimentary	Scaglia Formation	41.8	41.8	marl:Limestone	"Scaglia Formation, Marsica Area"	nan	Outcrop	13.9	13.9	DE-DI:LT-T-Z:LP-DC4	nan	nan	14	8.7	73	203	0	Marsica Area	7732	a	ND	M	nan	nan
89	65	Ma	10.1029/95JB00864	ND	ND	Europe	Italy	"Thermal to 560C, characteristic component. IRM (MAGN, HEM) ; SUSC; AN."	30.5	8	37	10	nan	nan	2	nan	0	nan	Fo	85	Sedimentary	Scaglia Formation	41.8	41.8	marl:Limestone	"Scaglia Formation, Marsica Area"	nan	Outcrop	13.9	13.9	DE-DI:LT-T-Z:LP-DC4	nan	nan	14	8.7	73	203	0	Marsica Area	7732	a	ND	M	nan	nan
89	65	Ma	10.1029/92TC00212	ND	ND	Europe	Italy	"Senonian age. AF 35-100mT, thermal 300-640C, characteristic component. Includes data from REFNO 2670."	3.8	346.6	38.5	68.7	13.74	496	22	nan	100	nan	F+	99	Sedimentary	Scaglia Rossa	46	46	red limestone	Scaglia Rossa	nan	Outcrop	12	12	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.8	nan	4.5	2.7	63.4	220.2	32	Venetian Alps	6972	a	Rb	ND	nan	nan
89	65	Ma	10.1029/92TC00212	ND	ND	Europe	Italy	"Senonian age. AF 35-100mT, thermal 300-640C, characteristic component. Includes data from REFNO 2670."	15.5	343.9	35.2	5	nan	nan	22	nan	0	nan	F+	99	Sedimentary	Scaglia Rossa	46	46	red limestone	Scaglia Rossa	nan	Outcrop	12	12	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.8	nan	4.5	2.7	63.4	220.2	32	Venetian Alps	6972	a	Rb	ND	nan	nan
89	65	Ma	10.1029/92TC00212	ND	ND	Europe	Italy	"Senonian age. AF 35-100mT, thermal 300-640C, characteristic component. Includes data from REFNO 2670."	4.1	346.9	39.5	86.2	nan	nan	15	n	100	nan	F+	99	Sedimentary	Scaglia Rossa	46	46	red limestone	Scaglia Rossa	nan	Outcrop	12	12	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.8	nan	4.5	2.7	63.4	220.2	32	Venetian Alps	6972	a	Rb	ND	nan	nan
89	65	Ma	10.1029/92TC00212	ND	ND	Europe	Italy	"Senonian age. AF 35-100mT, thermal 300-640C, characteristic component. Includes data from REFNO 2670."	9.2	166.2	-36.3	44.2	nan	nan	7	r	100	nan	F+	99	Sedimentary	Scaglia Rossa	46	46	red limestone	Scaglia Rossa	nan	Outcrop	12	12	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.8	nan	4.5	2.7	63.4	220.2	32	Venetian Alps	6972	a	Rb	ND	nan	nan
92	83	Ma	10.1016/0040-1951(92)90406-V	ND	ND	Europe	Italy	"Late Turonian to Santonian. Thermal to 580C, characteristic component."	12.3	315.3	43.5	102.2	7.92	48	3	nan	100	nan	F+	95	Sedimentary	Scaglia Rossa	43.6	43.6	red limestone	Lower Scaglia Rossa	nan	Outcrop	12.5	12.5	DE-DI:LT-T-Z:LP-DC4	nan	nan	15.3	9.5	49.5	271.1	0	Umbria	6931	a	ND	ND	nan	nan
92	83	Ma	10.1016/0040-1951(92)90406-V	ND	ND	Europe	Italy	"Late Turonian to Santonian. Thermal to 580C, characteristic component."	35.8	342.3	21.2	12.9	nan	nan	3	nan	0	nan	F+	95	Sedimentary	Scaglia Rossa	43.6	43.6	red limestone	Lower Scaglia Rossa	nan	Outcrop	12.5	12.5	DE-DI:LT-T-Z:LP-DC4	nan	nan	15.3	9.5	49.5	271.1	0	Umbria	6931	a	ND	ND	nan	nan
120	100	Ma	10.1029/2000JB900136	ND	ND	Europe	Spain	"Berriasian to Barremian. Group 2. Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST. Remagnetized in Albian-Aptian."	9.9	314.4	55.5	155.8	nan	23	3	nan	100	nan	ND	nan	Sedimentary	Organya Basin	42.2	42.2	marl:Limestone	"Organya Berriasian-Barremian Sediments, Group 2"	nan	Outcrop	1.3	1.3	DE-DI:LT-T-Z:LP-DC4	nan	2	14.1	10.1	54.5	276.8	0	Northern Spain	8567	a	ND	M	Iberia	nan
120	100	Ma	10.1029/2000JB900136	ND	ND	Europe	Spain	"Berriasian to Barremian. Group 2. Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST. Remagnetized in Albian-Aptian."	16.6	347.4	8.6	56.4	nan	nan	3	nan	0	nan	ND	nan	Sedimentary	Organya Basin	42.2	42.2	marl:Limestone	"Organya Berriasian-Barremian Sediments, Group 2"	nan	Outcrop	1.3	1.3	DE-DI:LT-T-Z:LP-DC4	nan	2	14.1	10.1	54.5	276.8	0	Northern Spain	8567	a	ND	M	Iberia	nan
100	86	Ma	10.1029/2000JB900136	ND	ND	Europe	Spain	"Cenomanian to Coniacian. Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST."	14.1	354.4	58.9	77.1	nan	22	3	nan	100	nan	F+	nan	Sedimentary	Organya Basin	42.2	42.2	marl:Limestone	Organya Cenomanian-Coniacian Sediments	nan	Outcrop	1.3	1.3	DE-DI:LT-T-Z:LP-DC4	nan	nan	21	15.7	85.1	242.1	0	Northern Spain	8569	a	ND	M	Iberia	nan
100	86	Ma	10.1029/2000JB900136	ND	ND	Europe	Spain	"Cenomanian to Coniacian. Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST."	74.8	10.4	33.8	3.8	nan	nan	3	nan	0	nan	F+	nan	Sedimentary	Organya Basin	42.2	42.2	marl:Limestone	Organya Cenomanian-Coniacian Sediments	nan	Outcrop	1.3	1.3	DE-DI:LT-T-Z:LP-DC4	nan	nan	21	15.7	85.1	242.1	0	Northern Spain	8569	a	ND	M	Iberia	nan
60	50	Ma	POTTS (1990)	ND	ND	Europe	U.K.	"Applecross Formation. Eishort anticline. Secondary. AF to 180mT, thermal to 700C. Early Tertiary overprint from Skye dykes."	13.5	170.5	-64.4	32.9	nan	43	5	nan	100	nan	F-	nan	Sedimentary	Torridon Group	57.5	57.5	Redbeds	"Torridon Group, Overprint"	nan	Outcrop	353	353	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	Secondary	21.6	17.3	77.3	204.3	100	Scotland	6081	a	ND	ND	nan	Isle of Skye
60	50	Ma	POTTS (1990)	ND	ND	Europe	U.K.	"Applecross Formation. Eishort anticline. Secondary. AF to 180mT, thermal to 700C. Early Tertiary overprint from Skye dykes."	13.5	170.5	-64.4	32.9	0.09	nan	5	nan	0	nan	F-	nan	Sedimentary	Torridon Group	57.5	57.5	Redbeds	"Torridon Group, Overprint"	nan	Outcrop	353	353	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	Secondary	21.6	17.3	77.3	204.3	100	Scotland	6081	a	ND	ND	nan	Isle of Skye
60	50	Ma	POTTS (1990)	ND	ND	Europe	U.K.	"Applecross Formation. Eishort anticline. Secondary. AF to 180mT, thermal to 700C. Early Tertiary overprint from Skye dykes."	nan	168.3	6.6	1.2	nan	nan	5	nan	0	nan	F-	nan	Sedimentary	Torridon Group	57.5	57.5	Redbeds	"Torridon Group, Overprint"	nan	Outcrop	353	353	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	Secondary	21.6	17.3	77.3	204.3	100	Scotland	6081	a	ND	ND	nan	Isle of Skye
85	50	Ma	10.1016/0031-9201(95)03021-4	ND	ND	Europe	Greece	Spathian to Anisian age. B Component. Thermal to 680C. component 300-600C. Late Cretaceous to Eocene overprint suggested.	7.9	331.2	34.2	243	nan	110	3	nan	100	nan	SF+	95	Sedimentary	Marmarotrapeza Formation	38.2	38.2	sediments	"Marmarotrapeza Formation, Comp.B"	nan	Outcrop	26	26	DE-DI:LT-T-Z:LT-T-Z:LP-DC4	nan	B	9	5.2	58.3	266.2	200	Chios Island	7768	a	Ro	ND	nan	nan
85	50	Ma	10.1016/0031-9201(95)03021-4	ND	ND	Europe	Greece	Spathian to Anisian age. B Component. Thermal to 680C. component 300-600C. Late Cretaceous to Eocene overprint suggested.	24.6	329	49.9	26.1	9.31	nan	3	nan	30	nan	SF+	95	Sedimentary	Marmarotrapeza Formation	38.2	38.2	sediments	"Marmarotrapeza Formation, Comp.B"	nan	Outcrop	26	26	DE-DI:LT-T-Z:LT-T-Z:LP-DC4	nan	B	9	5.2	58.3	266.2	200	Chios Island	7768	a	Ro	ND	nan	nan
85	50	Ma	10.1016/0031-9201(95)03021-4	ND	ND	Europe	Greece	Spathian to Anisian age. B Component. Thermal to 680C. component 300-600C. Late Cretaceous to Eocene overprint suggested.	12.5	332.1	27.2	97.7	nan	nan	3	nan	0	nan	SF+	95	Sedimentary	Marmarotrapeza Formation	38.2	38.2	sediments	"Marmarotrapeza Formation, Comp.B"	nan	Outcrop	26	26	DE-DI:LT-T-Z:LT-T-Z:LP-DC4	nan	B	9	5.2	58.3	266.2	200	Chios Island	7768	a	Ro	ND	nan	nan
