tab 	specimens
analysts	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drat	int_drats	int_f	int_fvds	int_gamma	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
														This study		A	89.9	257.8	13.9	4.9	12	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm011f1	extrusive:igneous	lava flow					u														basalt	833	273	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN	g	jm011f	pmagpy-2.92	jm011f1
														This study		A	89.9	257.8	13.9	4.9	12	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm011f1	extrusive:igneous	lava flow					u														basalt	833	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-SUN	g	jm011f	pmagpy-2.92	jm011f1
														This study												extrusive:igneous	lava flow																			basalt						jm011f		jm011f2
														This study												extrusive:igneous	lava flow																			basalt						jm011g		jm011g1
														This study		A	90	100.4	1.8	2.6	11	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm011g2	extrusive:igneous	lava flow					u														basalt	813	273	K	DE-BFP:LP-DIR-T	g	jm011g	pmagpy-2.92	jm011g2
														This study		A	90	147.7	9.5	2.6	11	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm011g2	extrusive:igneous	lava flow					u														basalt	813	273	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-CMD-NORTH	g	jm011g	pmagpy-2.92	jm011g2
														This study		A	90	147.7	9.5	2.6	11	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm011g2	extrusive:igneous	lava flow					u														basalt	813	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-CMD-NORTH	g	jm011g	pmagpy-2.92	jm011g2
														This study		A	89.7	279.3	-1.7	4.5	11	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm011h1	extrusive:igneous	lava flow					u														basalt	813	273	K	DE-BFP:LP-DIR-T	g	jm011h	pmagpy-2.92	jm011h1
														This study		A	89.7	321.9	-8.7	4.5	11	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm011h1	extrusive:igneous	lava flow					u														basalt	813	273	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-CMD-NORTH	g	jm011h	pmagpy-2.92	jm011h1
														This study		A	89.7	321.9	-8.7	4.5	11	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm011h1	extrusive:igneous	lava flow					u														basalt	813	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-CMD-NORTH	g	jm011h	pmagpy-2.92	jm011h1
														This study												extrusive:igneous	lava flow																			basalt						jm011h		jm011h2
														This study		A	1.2	175.5	54.2	1.2	10	p	n	-1	LP-DIR-T:jm011i1	extrusive:igneous	lava flow					u														basalt	833	623	K	DE-BFL:LP-DIR-T	g	jm011i	pmagpy-2.92	jm011i1
														This study		A	1.2	95.9	80.3	1.2	10	p	n	0	LP-DIR-T:jm011i1	extrusive:igneous	lava flow					u														basalt	833	623	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-CMD-NORTH	g	jm011i	pmagpy-2.92	jm011i1
														This study		A	1.2	95.9	80.3	1.2	10	p	n	100	LP-DIR-T:jm011i1	extrusive:igneous	lava flow					u														basalt	833	623	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-CMD-NORTH	g	jm011i	pmagpy-2.92	jm011i1
														This study		A	1.3	165.5	60.1	2.7	10	p	n	-1	LP-DIR-T:jm011j1	extrusive:igneous	lava flow					u														basalt	833	623	K	DE-BFL:LP-DIR-T	g	jm011j	pmagpy-2.92	jm011j1
														This study		A	1.3	93.6	75.3	2.7	10	p	n	0	LP-DIR-T:jm011j1	extrusive:igneous	lava flow					u														basalt	833	623	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-CMD-NORTH	g	jm011j	pmagpy-2.92	jm011j1
														This study		A	1.3	93.6	75.3	2.7	10	p	n	100	LP-DIR-T:jm011j1	extrusive:igneous	lava flow					u														basalt	833	623	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-CMD-NORTH	g	jm011j	pmagpy-2.92	jm011j1
														This study												extrusive:igneous	lava flow																			basalt						jm011k		jm011k1
														This study												extrusive:igneous	lava flow																			basalt						jm011k		jm011k2
														This study		A	0.3	200.3	44.3	1.2	12	p	n	-1	LP-DIR-AF:jm012a1	extrusive:igneous	lava flow					u														basalt	0.18	0.01	T	DE-BFL:LP-DIR-AF	g	jm012a	pmagpy-2.92	jm012a1
														This study		A	0.3	63.4	68.5	1.2	12	p	n	0	LP-DIR-AF:jm012a1	extrusive:igneous	lava flow					u														basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm012a	pmagpy-2.92	jm012a1
														This study		A	0.3	63.4	68.5	1.2	12	p	n	100	LP-DIR-AF:jm012a1	extrusive:igneous	lava flow					u														basalt	0.18	0.01	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm012a	pmagpy-2.92	jm012a1
														This study		A	0.8	204.7	38.5	1.1	11	p	n	-1	LP-DIR-AF:jm012b1	extrusive:igneous	lava flow					u														basalt	0.18	0.015	T	DE-BFL:LP-DIR-AF	g	jm012b	pmagpy-2.92	jm012b1
														This study		A	0.8	61.4	66.9	1.1	11	p	n	0	LP-DIR-AF:jm012b1	extrusive:igneous	lava flow					u														basalt	0.18	0.015	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm012b	pmagpy-2.92	jm012b1
														This study		A	0.8	61.4	66.9	1.1	11	p	n	100	LP-DIR-AF:jm012b1	extrusive:igneous	lava flow					u														basalt	0.18	0.015	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm012b	pmagpy-2.92	jm012b1
														This study		A	90	118.6	-1.8	2.2	15	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012b2	extrusive:igneous	lava flow					u														basalt	863	273	K	DE-BFP:LP-DIR-T	g	jm012b	pmagpy-2.92	jm012b2
														This study		A	90	44	-24.1	2.2	15	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012b2	extrusive:igneous	lava flow					u														basalt	863	273	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm012b	pmagpy-2.92	jm012b2
														This study		A	90	44	-24.1	2.2	15	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012b2	extrusive:igneous	lava flow					u														basalt	863	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm012b	pmagpy-2.92	jm012b2
														This study												extrusive:igneous	lava flow																			basalt						jm012c		jm012c1
														This study												extrusive:igneous	lava flow																			basalt						jm012d		jm012d1
														This study												extrusive:igneous	lava flow																			basalt						jm012d		jm012d2
														This study		A	0.7	198.6	28.3	1.4	14	p	n	-1	LP-DIR-AF:jm012e1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DE-BFL:LP-DIR-AF	g	jm012e	pmagpy-2.92	jm012e1
														This study		A	0.7	52.3	65.1	1.4	14	p	n	0	LP-DIR-AF:jm012e1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm012e	pmagpy-2.92	jm012e1
														This study		A	0.7	52.3	65.1	1.4	14	p	n	100	LP-DIR-AF:jm012e1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm012e	pmagpy-2.92	jm012e1
unknown														This study			4.1	200.1	30			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012f1	extrusive:igneous	lava flow	0.0000252	-0.631	0.053	0.034	u	5.5	4.3	0.978	0.839	2	3.4	2	14	7	16.4	0.9662	t	0.00004	basalt	853	273	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM	g	jm012f	pmagpy-2.92	jm012f1
														This study		A	1.2	205.4	42.4	1.7	16	p	n	-1	LP-AN-ARM:jm012g1	extrusive:igneous	lava flow					u														basalt	873	273	K	DE-BFL:LP-DIR-AF:LP-DIR-T	g	jm012g	pmagpy-2.92	jm012g1
														This study		A	1.2	57.4	60.2	1.7	16	p	n	0	LP-AN-ARM:jm012g1	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g	jm012g	pmagpy-2.92	jm012g1
														This study		A	1.2	57.4	60.2	1.7	16	p	n	100	LP-AN-ARM:jm012g1	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g	jm012g	pmagpy-2.92	jm012g1
unknown														This study			1.2	205.6	42.4			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012g1	extrusive:igneous	lava flow	0.0000337	-0.843	0.018	0.015	u	4.2	1.2	0.914	0.882	3.3	1.9	1	14	7	45.1	0.9962	t	0.00004	basalt	853	273	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM	g	jm012g	pmagpy-2.92	jm012g1
	0.2	0.1	0.1	0.333048:0.334143:0.332809:0.000918:-0.005332:0.001832	0.0000226	9	0.012371	Am^2	-1	AARM	0.338899:277.4:42.2:eta/zeta:118.5:45.8:54.8:17.3:10.7:72.3	0.333696:17.3:10.7:eta/zeta:118.5:45.8:68.9:277.4:42.2:72.3	0.327405:118.5:45.8:eta/zeta:17.3:10.7:68.9:277.4:42.2:54.8	This study	Hext statistics adapted to AARM; jm012g1										AARM:jm012g1	extrusive:igneous	lava flow																			basalt				AE-H:LP-AN-ARM	g	jm012g	pmagpy-2.92	jm012g1
														This study												extrusive:igneous	lava flow																			basalt						jm012h		jm012h1
														This study		A	2.2	193	43	2.4	14	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012i1	extrusive:igneous	lava flow					u														basalt	873	523	K	DE-BFL:LP-DIR-T	g	jm012i	pmagpy-2.92	jm012i1
														This study		A	2.2	53.1	62.7	2.4	14	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012i1	extrusive:igneous	lava flow					u														basalt	873	523	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm012i	pmagpy-2.92	jm012i1
														This study		A	2.2	53.1	62.7	2.4	14	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012i1	extrusive:igneous	lava flow					u														basalt	873	523	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm012i	pmagpy-2.92	jm012i1
unknown														This study			2.2	193.4	43.3			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012i1	extrusive:igneous	lava flow	0.0000306	-0.764	0.023	0.018	u	5.4	4.4	0.875	0.829	1.7	2.5	2	15	7	32.7	0.9929	t	0.00004	basalt	873	423	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:LP-PI-TRM-ZI:SM-TTEST	g	jm012i	pmagpy-2.92	jm012i1
														This study		A	1.9	194.3	38.9	2.1	16	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012j1	extrusive:igneous	lava flow					u														basalt	873	273	K	DE-BFL:LP-DIR-T	g	jm012j	pmagpy-2.92	jm012j1
														This study		A	1.9	52	63.9	2.1	16	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012j1	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm012j	pmagpy-2.92	jm012j1
														This study		A	1.9	52	63.9	2.1	16	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012j1	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm012j	pmagpy-2.92	jm012j1
unknown														This study			2	194.7	38.8			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm012j1	extrusive:igneous	lava flow	0.0000319	-0.798	0.023	0.018	u	4.9	3.5	0.891	0.86	2.3	2	2	15	7	33.9	0.9931	t	0.00004	basalt	873	423	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:LP-PI-TRM-ZI:SM-TTEST	g	jm012j	pmagpy-2.92	jm012j1
														This study		A	0.2	188.3	80.1	1	14	p	n	-1	LP-DIR-AF:jm013a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DE-BFL:LP-DIR-AF	g	jm013a	pmagpy-2.92	jm013a1
														This study		A	0.2	28.2	75.7	1	14	p	n	0	LP-DIR-AF:jm013a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm013a	pmagpy-2.92	jm013a1
														This study		A	0.2	28.2	75.7	1	14	p	n	100	LP-DIR-AF:jm013a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm013a	pmagpy-2.92	jm013a1
														This study		A	0	215.9	68.7	1.1	13	p	n	-1	LP-DIR-AF:jm013b1	extrusive:igneous	lava flow					u														basalt	0.18	0.005	T	DE-BFL:LP-DIR-AF	g	jm013b	pmagpy-2.92	jm013b1
														This study		A	0	336.7	75.6	1.1	13	p	n	0	LP-DIR-AF:jm013b1	extrusive:igneous	lava flow					u														basalt	0.18	0.005	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm013b	pmagpy-2.92	jm013b1
														This study		A	0	336.7	75.6	1.1	13	p	n	100	LP-DIR-AF:jm013b1	extrusive:igneous	lava flow					u														basalt	0.18	0.005	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm013b	pmagpy-2.92	jm013b1
														This study												extrusive:igneous	lava flow																			basalt						jm013b		jm013b2
														This study		A	0.6	188.3	76.4	1.6	13	p	n	-1	LP-DIR-AF:jm013c1	extrusive:igneous	lava flow					u														basalt	0.18	0.005	T	DE-BFL:LP-DIR-AF	g	jm013c	pmagpy-2.92	jm013c1
														This study		A	0.6	94.7	82.2	1.6	13	p	n	0	LP-DIR-AF:jm013c1	extrusive:igneous	lava flow					u														basalt	0.18	0.005	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm013c	pmagpy-2.92	jm013c1
														This study		A	0.6	94.7	82.2	1.6	13	p	n	100	LP-DIR-AF:jm013c1	extrusive:igneous	lava flow					u														basalt	0.18	0.005	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm013c	pmagpy-2.92	jm013c1
														This study												extrusive:igneous	lava flow																			basalt						jm013c		jm013c2
														This study		A	0.9	204.1	64.7	1.5	16	p	n	-1	LP-AN-ARM:jm013d1	extrusive:igneous	lava flow					u														basalt	873	273	K	DE-BFL:LP-DIR-AF:LP-DIR-T	g	jm013d	pmagpy-2.92	jm013d1
														This study		A	0.9	29.5	78.9	1.5	16	p	n	0	LP-AN-ARM:jm013d1	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g	jm013d	pmagpy-2.92	jm013d1
														This study		A	0.9	29.5	78.9	1.5	16	p	n	100	LP-AN-ARM:jm013d1	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g	jm013d	pmagpy-2.92	jm013d1
unknown														This study			0.9	204.4	64.7			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013d1	extrusive:igneous	lava flow	0.0000579	-1.447	0.081	0.118	u	3.6	7	1.051	0.933	3.1	1.7	2	14	7	11.6	0.922	t	0.00004	basalt	853	273	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM	g	jm013d	pmagpy-2.92	jm013d1
	0.8	0	1.3	0.368769:0.236238:0.394993:0.056709:-0.019276:-0.002699	0.0000114	9	0.106647	Am^2	-1	AARM	0.402967:207.8:55:eta/zeta:110.0:5.4:36.6:16.3:34.5:82.1	0.383374:16.3:34.5:eta/zeta:110.0:5.4:39.6:207.8:55:82.1	0.21366:110.0:5.4:eta/zeta:16.3:34.5:39.6:207.8:55:36.6	This study	Hext statistics adapted to AARM; jm013d1										AARM:jm013d1	extrusive:igneous	lava flow																			basalt				AE-H:LP-AN-ARM	g	jm013d	pmagpy-2.92	jm013d1
														This study		A	2.4	173.2	48.6	1.9	16	p	n	-1	LP-AN-ARM:jm013e1	extrusive:igneous	lava flow					u														basalt	873	273	K	DE-BFL:LP-DIR-AF:LP-DIR-T	g	jm013e	pmagpy-2.92	jm013e1
														This study		A	2.4	18	78.4	1.9	16	p	n	0	LP-AN-ARM:jm013e1	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g	jm013e	pmagpy-2.92	jm013e1
														This study		A	2.4	18	78.4	1.9	16	p	n	100	LP-AN-ARM:jm013e1	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g	jm013e	pmagpy-2.92	jm013e1
unknown														This study			2.4	173.3	48.8			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013e1	extrusive:igneous	lava flow	0.000053	-1.326	0.096	0.127	u	4.1	10.4	1.083	0.939	2.2	2.1	2	14	7	10	0.8935	t	0.00004	basalt	853	273	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:SM-TTEST	g	jm013e	pmagpy-2.92	jm013e1
	1.1	0.5	0.9	0.331339:0.335013:0.333648:0.000256:0.0057:-0.011786	0.000016	9	0.011087	Am^2	-1	AARM	0.345932:147.8:46.6:eta/zeta:339.1:42.8:29:243.8:5.7:52	0.334509:243.8:5.7:eta/zeta:339.1:42.8:44.3:147.8:46.6:52	0.319559:339.1:42.8:eta/zeta:243.8:5.7:44.3:147.8:46.6:29	This study	Hext statistics adapted to AARM; jm013e1										AARM:jm013e1	extrusive:igneous	lava flow																			basalt				AE-H:LP-AN-ARM	g	jm013e	pmagpy-2.92	jm013e1
														This study												extrusive:igneous	lava flow																			basalt						jm013e		jm013e2
														This study												extrusive:igneous	lava flow																			basalt						jm013f		jm013f1
														This study												extrusive:igneous	lava flow																			basalt						jm013f		jm013f2
														This study												extrusive:igneous	lava flow																			basalt						jm013g		jm013g1
														This study		A	2.2	170.4	54.3	1.4	16	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013g2	extrusive:igneous	lava flow					u														basalt	873	273	K	DE-BFL:LP-DIR-T	g	jm013g	pmagpy-2.92	jm013g2
														This study		A	2.2	28.6	77.4	1.4	16	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013g2	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm013g	pmagpy-2.92	jm013g2
														This study		A	2.2	28.6	77.4	1.4	16	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013g2	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm013g	pmagpy-2.92	jm013g2
unknown														This study			2.5	170.6	54.2			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013g2	extrusive:igneous	lava flow	0.0000429	-1.071	0.093	0.099	u	3.2	6.5	1.049	0.828	2.3	1.6	3	15	7	10	0.8916	t	0.00004	basalt	873	423	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:LP-PI-TRM-ZI:SM-TTEST	g	jm013g	pmagpy-2.92	jm013g2
														This study												extrusive:igneous	lava flow																			basalt						jm013h		jm013h1
														This study												extrusive:igneous	lava flow																			basalt						jm013h		jm013h2
														This study												extrusive:igneous	lava flow																			basalt						jm013i		jm013i1
														This study		A	1.9	196.8	53.2	2.9	16	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013i2	extrusive:igneous	lava flow					u														basalt	873	273	K	DE-BFL:LP-DIR-T	g	jm013i	pmagpy-2.92	jm013i2
														This study		A	1.9	5.6	76.9	2.9	16	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013i2	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm013i	pmagpy-2.92	jm013i2
														This study		A	1.9	5.6	76.9	2.9	16	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013i2	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm013i	pmagpy-2.92	jm013i2
unknown														This study			2	197.4	53.1			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013i2	extrusive:igneous	lava flow	0.0000275	-0.688	0.093	0.064	u	6.8	5.6	1.096	0.824	4.6	3	5	15	7	10.3	0.8911	t	0.00004	basalt	873	423	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:LP-PI-TRM-ZI:SM-TTEST	g	jm013i	pmagpy-2.92	jm013i2
														This study												extrusive:igneous	lava flow																			basalt						jm013i		jm013i3
														This study												extrusive:igneous	lava flow																			basalt						jm013j		jm013j1
														This study		A	1.7	212	61	2.1	16	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013j2	extrusive:igneous	lava flow					u														basalt	873	273	K	DE-BFL:LP-DIR-T	g	jm013j	pmagpy-2.92	jm013j2
														This study		A	1.7	38.3	75.1	2.1	16	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013j2	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm013j	pmagpy-2.92	jm013j2
														This study		A	1.7	38.3	75.1	2.1	16	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013j2	extrusive:igneous	lava flow					u														basalt	873	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm013j	pmagpy-2.92	jm013j2
unknown														This study			1.8	212.2	60.8			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm013j2	extrusive:igneous	lava flow	0.0000279	-0.697	0.104	0.073	u	4.9	3.2	1.147	0.874	2.2	2.2	6	15	7	9.6	0.8633	t	0.00004	basalt	873	423	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:LP-PI-TRM-ZI:SM-TTEST	g	jm013j	pmagpy-2.92	jm013j2
														This study		A	0.2	199.4	3.6	1	14	p	n	-1	LP-DIR-AF:jm014a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DE-BFL:LP-DIR-AF	g	jm014a	pmagpy-2.92	jm014a1
														This study		A	0.2	5.1	70.1	1	14	p	n	0	LP-DIR-AF:jm014a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-CMD-NORTH	g	jm014a	pmagpy-2.92	jm014a1
														This study		A	0.2	5.1	70.1	1	14	p	n	100	LP-DIR-AF:jm014a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-CMD-NORTH	g	jm014a	pmagpy-2.92	jm014a1
														This study		A	1	194.9	6.6	1.8	12	p	n	-1	LP-DIR-T:jm014b1	extrusive:igneous	lava flow					u														basalt	833	273	K	DE-BFL:LP-DIR-T	g	jm014b	pmagpy-2.92	jm014b1
														This study		A	1	71.4	57.9	1.8	12	p	n	0	LP-DIR-T:jm014b1	extrusive:igneous	lava flow					u														basalt	833	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-CMD-NORTH	g	jm014b	pmagpy-2.92	jm014b1
