tab 	sites
age	age_sigma	age_unit	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	1.7		85	77.8	915	9			p	n	8.9929	0	extrusive:igneous	lava flow					79.44	basalt	Spitsbergen	13.33	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	sp101	pmagpy-2.92	sp101a1:sp101a2:sp101b1:sp101c1:sp101d1a:sp101e1b:sp101f1:sp101g1:sp101i1a						1.5	3.3	65.3	84.6	9
			This study	DE-SPEC	Site direction included in results table	3.1	A	211.2	-51	403	7	4	3	p	n	6.9888	0	igneous:intrusive	dike						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC4:LP-DIR-T:SO-SUN	g		sp102	pmagpy-2.92	sp102b1:sp102d1b:sp102f1:sp102g1:sp102i1b:sp102j1a:sp102k1										
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	3.1		212.2	-51.7	403	7			p	n	6.9888	0	igneous:intrusive	dike					79.39	basalt	Spitsbergen	13.71	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC4:LP-DIR-T:SO-SUN		i	sp102	pmagpy-2.92	sp102b1:sp102d1b:sp102f1:sp102g1:sp102i1b:sp102j1a:sp102k1						0.9	6	-41.1	337	7
			This study	DE-SPEC	Site direction included in results table	2.7	A	204.2	-55.7	537	7	5	2	p	n	6.9907	0	igneous:intrusive	dike						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g		sp103	pmagpy-2.92	sp103a1:sp103b1a:sp103c1:sp103f1:sp103g1:sp103l1:sp103m1b										
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	2.7		204.2	-55.7	537	7			p	n	6.9907	0	igneous:intrusive	dike					79.39	basalt	Spitsbergen	13.7	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF		i	sp103	pmagpy-2.92	sp103a1:sp103b1a:sp103c1:sp103f1:sp103g1:sp103l1:sp103m1b						0.9	5.3	-45.8	345.4	7
			This study	DE-SPEC	Site direction included in results table	1.7	A	355.5	54.3	1413	7	5	2	p	n	6.9965	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		sp104	pmagpy-2.92	sp104a1:sp104b1:sp104c1:sp104d1:sp104e1:sp104g2b:sp104h1b										
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	1.7		355.5	54.3	1413	7			p	n	6.9965	0	extrusive:igneous	lava flow					79.26	basalt	Spitsbergen	13.61	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	sp104	pmagpy-2.92	sp104a1:sp104b1:sp104c1:sp104d1:sp104e1:sp104g2b:sp104h1b						0.5	3.3	45.5	198.9	7
			This study	DE-SPEC	Site direction included in results table	2.7	A	71.5	-87.1	385	9	6	3	p	n	8.9831	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		sp105	pmagpy-2.92	sp105a1:sp105b1:sp105c1:sp105c2:sp105e1:sp105g1a:sp105h1a:sp105j1b:sp105k2										
8.32	0.17	Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	2.7		76.8	-88.2	385	9			p	n	8.9831	0	extrusive:igneous	lava flow					79.35	basalt	Spitsbergen	14.32	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	sp105	pmagpy-2.92	sp105a1:sp105b1:sp105c1:sp105c2:sp105e1:sp105g1a:sp105h1a:sp105j1b:sp105k2						9.9	5.3	-78	177.2	9
			This study	DE-SPEC	Site direction included in results table	2.6	A	145.4	-79.7	291	12	11	1	p	n	11.964	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		sp106	pmagpy-2.92	sp106a2:sp106b1:sp106b2:sp106c1:sp106d1:sp106e1:sp106f1:sp106g1a:sp106h2:sp106i1:sp106i2a:sp106j1b										
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	2.6		147.2	-80.7	291	12			p	n	11.964	0	extrusive:igneous	lava flow					79.35	basalt	Spitsbergen	14.32	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	sp106	pmagpy-2.92	sp106a2:sp106b1:sp106b2:sp106c1:sp106d1:sp106e1:sp106f1:sp106g1a:sp106h2:sp106i1:sp106i2a:sp106j1b						2.7	5.1	-79.2	78.5	12
			This study	DE-SPEC	Site direction included in results table	2.2	A	141.7	-82.2	560	9	6	3	p	n	8.9884	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		sp107	pmagpy-2.92	sp107a1:sp107b1:sp107b2:sp107d1:sp107f1:sp107g1b:sp107j1a:sp107k1:sp107l2a										
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	2.2		141.7	-82.2	560	9			p	n	8.9884	0	extrusive:igneous	lava flow					79.35	basalt	Spitsbergen	14.32	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	sp107	pmagpy-2.92	sp107a1:sp107b1:sp107b2:sp107d1:sp107f1:sp107g1b:sp107j1a:sp107k1:sp107l2a						3	4.3	-80.5	95.5	9
			This study	DE-SPEC	Site direction included in results table	2.7	A	338	76.6	369	9	7	2	p	n	8.981	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		sp108	pmagpy-2.92	sp108a1:sp108b1:sp108b2:sp108c1:sp108d1a:sp108e1:sp108h1:sp108i1a:sp108j1a										
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	2.7		338	76.6	369	9			p	n	8.981	0	extrusive:igneous	lava flow					79.35	basalt	Spitsbergen	14.32	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	sp108	pmagpy-2.92	sp108a1:sp108b1:sp108b2:sp108c1:sp108d1a:sp108e1:sp108h1:sp108i1a:sp108j1a						2.2	5.3	73.9	229.9	9
			This study	DE-SPEC	Site direction included in results table	5.7	A	343.4	72.7	87	9	6	3	p	n	8.9252	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		sp109	pmagpy-2.92	sp109a1:sp109a2:sp109e1:sp109f1:sp109h1:sp109i1:sp109j1a:sp109l1a:sp109m1b										
9.15	0.16	Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	5.7		343.4	72.7	87	9			p	n	8.9252	0	extrusive:igneous	lava flow					79.35	basalt	Spitsbergen	14.32	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	sp109	pmagpy-2.92	sp109a1:sp109a2:sp109e1:sp109f1:sp109h1:sp109i1:sp109j1a:sp109l1a:sp109m1b						3.5	11.1	68.1	218.2	9
			This study	DE-SPEC	Site direction included in results table	2.9	A	348.9	75.5	386	8	5	3	p	n	7.9857	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		sp110	pmagpy-2.92	sp110a1:sp110b1:sp110c1:sp110d1:sp110e1:sp110f1a:sp110g1a:sp110j1a										
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	2.9		348.9	75.5	386	8			p	n	7.9857	0	extrusive:igneous	lava flow					79.35	basalt	Spitsbergen	14.32	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	sp110	pmagpy-2.92	sp110a1:sp110b1:sp110c1:sp110d1:sp110e1:sp110f1a:sp110g1a:sp110j1a						2.1	5.7	73	211.9	8
			This study	DE-SPEC	Site direction included in results table	1.2	A	313	64.8	1799	9	6	3	p	n	8.9964	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		sp111	pmagpy-2.92	sp111a1:sp111a2:sp111b1:sp111c1:sp111d1:sp111e1:sp111g1a:sp111i1a:sp111k2a										
9.09	0.14	Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	1.2		313	64.8	1799	9			p	n	8.9964	0	extrusive:igneous	lava flow					79.35	basalt	Spitsbergen	14.32	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	sp111	pmagpy-2.92	sp111a1:sp111a2:sp111b1:sp111c1:sp111d1:sp111e1:sp111g1a:sp111i1a:sp111k2a						0.5	2.3	53.3	251.4	9
			This study	DE-SPEC	Site direction included in results table	1.4	A	114.1	-74.5	1625	8	7	1	p	n	7.996	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF:SO-SUN	g		sp112	pmagpy-2.92	sp112a1:sp112b1:sp112c1:sp112d1:sp112e1b:sp112i1:sp112j2a:sp112k2										
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	1.4		114.1	-74.5	1625	8			p	n	7.996	0	extrusive:igneous	lava flow					79.35	basalt	Spitsbergen	14.32	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF:SO-SUN		i	sp112	pmagpy-2.92	sp112a1:sp112b1:sp112c1:sp112d1:sp112e1b:sp112i1:sp112j2a:sp112k2						1	2.7	-63.6	100.1	8
			This study	DE-SPEC	Site direction included in results table	2.3	A	331.2	79.8	608	8	5	3	p	n	7.9909	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-CMD-NORTH:SO-SUN	g		sp113	pmagpy-2.92	sp113a1:sp113b1:sp113d1:sp113e1:sp113f1a:sp113h1a:sp113i1b:sp113k1										
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	2.3		331.2	79.8	608	8			p	n	7.9909	0	extrusive:igneous	lava flow					79.52	basalt	Spitsbergen	14.03	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-CMD-NORTH:SO-SUN		i	sp113	pmagpy-2.92	sp113a1:sp113b1:sp113d1:sp113e1:sp113f1a:sp113h1a:sp113i1b:sp113k1						2.4	4.5	78.3	247.5	8
