tab 	sites
age	age_sigma	age_unit	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
			This study	DE-SPEC	Site direction included in results table	5.1	A	299.8	85.6	189	6	4	2	p	n	5.9789	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		jm008	pmagpy-2.92	jm008a1:jm008b1:jm008c1:jm008d1:jm008f1:jm008h1										
461	55.8	ka	This study	DE-SITE:DE-SPEC	VGP Site: jm008, "Site VGP, coord system = g component:"	5.1		299	85.7	189	6			p	n	5.9789	0	extrusive:igneous	lava flow					70.9598	basalt	Jan Mayen	351.2983	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	jm008	pmagpy-2.92	jm008a1:jm008b1:jm008c1:jm008d1:jm008f1:jm008h1						21.7	9.4	73.4	324.2	6
			This study	DE-SPEC	Site direction included in results table	2.8	A	19.6	81.4	401	8	8	0	p	n	7.9825	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF:SO-SUN	g		jm009	pmagpy-2.92	jm009a1:jm009b1:jm009c1:jm009d1:jm009f2:jm009g2:jm009h1:jm009i1										
430	19.1	ka	This study	DE-SITE:DE-SPEC	VGP Site: jm009, "Site VGP, coord system = g component:"	2.8		19.6	81.4	401	8			p	n	7.9825	0	extrusive:igneous	lava flow					70.9624	basalt	Jan Mayen	351.3069	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF:SO-SUN		i	jm009	pmagpy-2.92	jm009a1:jm009b1:jm009c1:jm009d1:jm009f2:jm009g2:jm009h1:jm009i1						6.1	5.2	83.6	52.1	8
			This study	DE-SPEC	Site direction included in results table	4.4	A	56.7	79.5	129	10	6	4	p	n	9.9456	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-CMD-NORTH:SO-SUN	g		jm011	pmagpy-2.92	jm011a1:jm011b1:jm011c1:jm011d1:jm011e2:jm011f1:jm011g2:jm011h1:jm011i1:jm011j1										
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm011, "Site VGP, coord system = g component:"	4.4		56.6	79.5	129	10			p	n	9.9456	0	extrusive:igneous	lava flow					70.8895	basalt	Jan Mayen	351.0787	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-CMD-NORTH:SO-SUN		i	jm011	pmagpy-2.92	jm011a1:jm011b1:jm011c1:jm011d1:jm011e2:jm011f1:jm011g2:jm011h1:jm011i1:jm011j1						7.9	8.1	71.6	57.6	10
			This study	DE-SPEC	Site direction included in results table	2.6	A	56.4	64.7	550	7	6	1	p	n	6.99	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g		jm012	pmagpy-2.92	jm012a1:jm012b1:jm012b2:jm012e1:jm012g1:jm012i1:jm012j1										
293	21.6	ka	This study	DE-SITE:DE-SPEC	VGP Site: jm012, "Site VGP, coord system = g component:"	2.6		56.4	64.7	550	7			p	n	6.99	0	extrusive:igneous	lava flow					70.8464	basalt	Jan Mayen	350.9629	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF		i	jm012	pmagpy-2.92	jm012a1:jm012b1:jm012b2:jm012e1:jm012g1:jm012i1:jm012j1						2	4.8	54.2	92.9	7
		ka	This study	IE-SITE	V[A]DM: Site jm012, V[A]DM of site													extrusive:igneous	lava flow	0.0000304	0.00000364	12	4		basalt	Jan Mayen		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:LP-PI-TRM-ZI:SM-TTEST	g	i	jm012	pmagpy-2.92	jm012f1:jm012g1:jm012i1:jm012j1	4.09e+22	4	4.91e+21	4.88e+22	4					
			This study	DE-SPEC	Site direction included in results table	4.5	A	22.9	78.9	154	8	8	0	p	n	7.9547	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g		jm013	pmagpy-2.92	jm013a1:jm013b1:jm013c1:jm013d1:jm013e1:jm013g2:jm013i2:jm013j2										
