tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	criteria	description	dip	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	software_packages	specimens	timestamp
166.4	0	0	0	This study			-33										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003f	jm003			2009-08-02T00:00:00Z
191.6	0	0	0	This study			-28										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003g	jm003			2009-08-02T00:00:00Z
164.9	0	0	0	This study			-14										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003h	jm003			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	320.2	82.7	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN		g	jm003h	jm003	pmagpy-2.59	jm003h1	
165.8	0	0	0	This study			-18.5										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003i	jm003			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	307.6	81.4	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN		g	jm003i	jm003	pmagpy-2.59	jm003i1	
172.1	0	0	0	This study			-31										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003j	jm003			2009-08-02T00:00:00Z
241	0	0	0	This study			-68										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004a	jm004			2009-08-02T00:00:00Z
235	0	0	0	This study			-70										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004b	jm004			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	355.8	76.5	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm004b	jm004	pmagpy-2.59	jm004b1	
245	0	0	0	This study			-77										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004c	jm004			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	347.5	74.7	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF		g	jm004c	jm004	pmagpy-2.59	jm004c1	
230	0	0	0	This study			-50										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004d	jm004			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	13.8	72.2	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm004d	jm004	pmagpy-2.59	jm004d1	
240	0	0	0	This study			-69										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004e	jm004			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	352.4	76.4	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm004e	jm004	pmagpy-2.59	jm004e1	
184	0	0	0	This study			-30.5										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004f	jm004			2009-08-02T00:00:00Z
				This study		sample direction		A	272	2.9	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF		g	jm004f	jm004	pmagpy-2.59	jm004f1	
194	0	0	0	This study			-55										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004g	jm004			2009-08-02T00:00:00Z
205	0	0	0	This study			-89										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004h	jm004			2009-08-02T00:00:00Z
				This study		sample direction		A	294.4	-2.9	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF		g	jm004h	jm004	pmagpy-2.59	jm004h1	
216	0	0	0	This study			-82										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004i	jm004			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	18.4	82.6	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF		g	jm004i	jm004	pmagpy-2.59	jm004i1	
150.3	349.3	0	0	This study			-87										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-CMD-NORTH:SO-POM	g		jm006a	jm006			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	301.6	77.9	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-CMD-NORTH		g	jm006a	jm006	pmagpy-2.59	jm006a1	
199	0	0	0	This study			-80										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm006b	jm006			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	309.6	76.4	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm006b	jm006	pmagpy-2.59	jm006b1	
188.8	0	0	0	This study			-83.5										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm006c	jm006			2009-08-05T00:00:00Z
				This study		sample direction		A	97.3	19.2	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF		g	jm006c	jm006	pmagpy-2.59	jm006c1	
190.3	0	0	0	This study			-77										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm006d	jm006			2009-08-05T00:00:00Z
186.1	0	0	0	This study			-84										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm006e	jm006			2009-08-05T00:00:00Z
205.4	0	0	0	This study			-93										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm006f	jm006			2009-08-05T00:00:00Z
