tab 	er_citations
book_editors	book_title	citation_type	city	doi	er_citation_name	journal	long_authors	pages	publisher	title	volume	year
		Journal		10.1016/j.pepi.2005.03.022	This study	Physics of the Earth and Planetary Interiors	Tauxe, L.			Long term trends in paleointensity: The contribution of DSDP/ODP submarine basaltic glass collections		2006
	Initial Reports of the Deep Sea Drilling Project	Edited Book	Washington		Audobin & Von huene 1982		Audobin, J. and Von huene, R.		U.S. Government Printing Office		67	1982
	Initial Reports of the Deep Sea Drilling Project	Edited Book	Washington		Aumento & Melson 1977		Aumento, F. and Melson, W.G.		U.S. Government Printing Office		47	1977
	Proceedings of the Ocean Drilling Program, Scientific Results	Edited Book	College Station, TX		Backman & Duncan 1988		Backman, J. and Duncan, R.A.		Ocean Drilling Program		115	1988
	Proceedings of the Ocean Drilling Program, Scientific Results	Edited Book	College Station, TX		Behrmann et al. 1992		Behrmann, J.H., Lewis, S.D. and Musgrave, R.J.		Ocean Drilling Program		141	1992
Berggren, W.A., Kent, D.V., Aubry, M.-P. and Hardenbol, J.	Geochronology Time Scales and global Stratigraphic Correlation	Edited Book	Tulsa, Oklahoma		Berggren et al. 1995		Berggren, W.A., Kent, D.V., Swisher III, C.C. and Aubry, M.-P.	129-212	SEPM	A Revised Cenozoic Gochronology and Chronostratigraphy		1995
		Journal		10.1029/2000JB000050	Besse & Courtillot 2002	Journal of Geophysical Research	Besse, J. and Courtillot, V.			Apparent and true polar wander and the geometry of the geomagnetic field over the last 200 Myr	107	2004
	Initial Reports of the Deep Sea Drilling Project	Edited Book	Washington		Biju-Duval et al. 1984		Biju-Duval Moore Hyndman, Salisburyetal.		U.S. Government Printing Office		78	1984
	Initial Reports of the Deep Sea Drilling Project	Edited Book	Washington		Bougault & Cande 1985		Bougault, H. and Cande, S.C.		U.S. Government Printing Office		82	1985
	Initial Reports of the Deep Sea Drilling Project	Edited Book	Washington		Burns & Andrews 1973		Burns, R.E. and Andrews, J.E.		U.S. Government Printing Office		21	1973
		Journal			Cande & Kent 1995	Journal of Geophysical Research - Solid Earth	Cande, S.C. and Kent, D.V.	6,093-6,095		Revised calibration of the geomagnetic polarity timescale for the late Cretaceous and Cenozoic	100	1995
	Initial Reports of the Deep Sea Drilling Project	Edited Book	Washington		Cann et al. 1983		Cann, J.R., Langseth, M.G., Honnorez, J., Von Herzen, R.P. and White, S.M.		U.S. Government Printing Office		69	1983
		Journal			Castillo et al. 1994	Earth and Planetary Science Letters	Castillo, P., Pringle, M. and Carlson, R.	139-154		East Mariana Basin tholeiites: Cretaceous intraplate basalts or rift basalts related to the Ontong Java plume?	123	1994
		Journal			Coe 1967	Journal of Geomagnetism and Geoelectricity	Coe, R.S.	157-178		The determination of paleo-intensities of the Earth's magnetic field with emphasis on mechanisms which could cause non-ideal behavior in Thellier's method	19	1967
		Journal			Coe et al. 1978	Journal of Geophysical Research	Coe, R.S., Gromme, S. and Mankinen, E.A.	1,740-1,756		Geomagnetic paleointensities from radiocarbon-dated lava flows on Hawaii and the question of the Pacific non-dipole low	83	1978
	Methods in rock magnetism and Paleomagnetism: Techniques and instrumentation	Book	London		Collinson 1983		Collinson, D.W.	503	Chapman and Hall			1983
					Collot & Greene 1992		Collot, J.Y., Greene, H.G. and Stokking, L.B.					1992
	Initial Reports of the Deep Sea Drilling Project	Edited Book	Washington		Curray & Moore 1982		Curray, J.R. and Moore, D.G.		U.S. Government Printing Office		64	1982
		Journal			DeMets et al.1990	Geophysical Journal International	DeMets, C., Gordon, R.G., Argus, D.F. and Stein, S.	425-478		Current plate motions	101	1990
	Initial Reports of the Deep Sea Drilling Project	Edited Book	Washington		Donelly et al. 1979		Donelly, T., Francheteau, J., Bryan, W., Robinson, P., Flower, M. and Salisbury, M.		U.S. Government Printing Office		51-53	1979
	Proceedings of the Ocean Drilling Program, Scientific Results	Edited Book	College Station, TX		Dziewonski et al. 1992		Dziewonski, A., Wilkens, R. and Firth, J.		Ocean Drilling Program		136	1992
	Initial Reports of the Deep Sea Drilling Project	Edited Book	Washington		Fisher & Bunce 1974		Fisher, R.L. and Bunce, E.T.		U.S. Government Printing Office		35	1974
Lewis, S.D.	Proceedings of the Ocean Drilling Program, Scientific Results	Report	College Station, TX		Forsythe 1995		Forsythe, R.D.	421-426	Ocean Drilling Program		141	1995
	Proceedings of the Ocean Drilling Program, Scientific Results	Edited Book	College Station, TX		Fryer et al. 1990		Fryer, P., Pearce, J.A. and Stokking, L.B.		Ocean Drilling Program		125	1990
Storms, M.A.	Proceedings of the Ocean Drilling Program, Scientific Results	Edited Book	College Station, TX		Goldstein 1995		Goldstein, S.J.	37-39	Ocean Drilling Program	Uranium-series chronology of subsurface basalts, 9o31' N East Pacific Rise	142	1995
	Proceedings of the Ocean Drilling Program, Scientific Results	Edited Book	College Station, TX		Gradstein & Ludden 1990		Gradstein, F.M. and Ludden, J.N.		Ocean Drilling Program		123	1990
