tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	sample_description	sample_inferred_age	sample_inferred_age_sigma	sample_inferred_age_unit	sample_int	sample_int_n	sample_int_sigma	sample_int_sigma_perc
This study	495	0495x471p05	0495x	0495x471p051	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	20.7	0.2	Ma	1.476e-05	1	0	
This study	495	0495x481p10	0495x	0495x481p101	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	20.7	0.2	Ma	1.872e-05	1	0	
This study	495	0495x482p06	0495x	0495x482p061	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	20.7	0.2	Ma	1.8e-05	1	0	
This study	495	0495x483p03	0495x	0495x483p031 : 0495x483p032	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	20.7	0.2	Ma	1.62e-05	2	2.093e-06	12.92
This study	510	0510x111000	0510x	0510x1110002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.1	0.4	Ma	1.923e-05	1	0	
This study	520	0520x311020	0520x	0520x3110201 : 0520x3110202	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	15.2	0.2	Ma	2.941e-05	2	9.758e-06	33.18
This study	522	0522b051p01	0522b	0522b051p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	35.7	1.3	Ma	1.571e-05	1	0	
This study	525	0525a005p6b	0525a	0525a005p6b1 : 0525a005p6b4	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	72	1	Ma	6.943e-05	2	4.766e-06	6.864
This study	525	0525a592p3h	0525a	0525a592p3h2 : 0525a592p3h3	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	72	1	Ma	6.113e-05	2	7.071e-08	0.1157
This study	525	0525a594p1r	0525a	0525a594p1r1 : 0525a594p1r3	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	72	1	Ma	6.365e-05	2	5.607e-06	8.809
This study	543	0543a132p03	0543a	0543a132p031 : 0543a132p034	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	84	1	Ma	8.453e-06	2	3.29e-06	38.92
This study	543	0543a152p3a	0543a	0543a152p3a1 : 0543a152p3a4	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	84	1	Ma	8.637e-06	2	1.994e-07	2.309
This study	556	0556x031140	0556x	0556x0311401	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	30.7	0.2	Ma	1.294e-05	1	0	
This study	556	0556x041091	0556x	0556x0410912 : 0556x0410912 : 0556x0410913 : 0556x0410914 : 0556x0410915	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	30.7	0.2	Ma	1.152e-05	5	2.206e-06	19.15
This study	556	0556x051116	0556x	0556x0511164 : 0556x0511165 : 0556x0511166	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	30.7	0.2	Ma	2.157e-05	3	5.914e-07	2.741
This study	556	0556x052084	0556x	0556x0520841	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	30.7	0.2	Ma	1.257e-05	1	0	
This study	556	0556x062055	0556x	0556x0620551 : 0556x0620552 : 0556x0620553	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	30.7	0.2	Ma	2.868e-05	3	7.9e-07	2.755
This study	556	0556x073146	0556x	0556x0731462	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	30.7	0.2	Ma	8.031e-06	1	0	
This study	556	0556x083109	0556x	0556x0831093	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	30.7	0.2	Ma	2.188e-05	1	0	
This study	556	0556x084002	0556x	0556x0840021 : 0556x0840022	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	30.7	0.2	Ma	2.21e-05	2	1.407e-06	6.369
This study	559	0559a073011	0559a	0559a0730111 : 0559a0730112 : 0559a0730113	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	32	1.1	Ma	1.048e-05	3	7.17e-07	6.843
This study	559	0559x021142	0559x	0559x0211421	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	1.1	Ma	1.469e-05	1	0	
This study	559	0559x031011	0559x	0559x0310111 : 0559x0310113	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	32	1.1	Ma	7.126e-05	2	8.943e-05	125.5
This study	562	0562x011p05	0562x	0562x011p051 : 0562x011p052	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	17.4	0.2	Ma	1.152e-05	2	5.292e-06	45.95
This study	562	0562x012114	0562x	0562x0121141 : 0562x0121142 : 0562x0121143	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	17.4	0.2	Ma	1.359e-05	3	1.668e-06	12.27
This study	562	0562x013p3f	0562x	0562x013p3f2 : 0562x013p3f3	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	17.4	0.2	Ma	1.658e-05	2	2.729e-06	16.46
This study	562	0562x021p05	0562x	0562x021p051	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	17.4	0.2	Ma	1.077e-05	1	0	
This study	562	0562x021p3c	0562x	0562x021p3c3	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	17.4	0.2	Ma	1.11e-05	1	0	
This study	562	0562x032003	0562x	0562x0320032	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	17.4	0.2	Ma	2.147e-05	1	0	
This study	562	0562x033113	0562x	0562x0331132 : 0562x0331133	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	17.4	0.2	Ma	1.399e-05	2	3.96e-07	2.83
This study	562	0562x043p4b	0562x	0562x043p4b2 : 0562x043p4b3	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	17.4	0.2	Ma	1.569e-05	2	6.378e-06	40.65
This study	562	0562x043p6a	0562x	0562x043p6a1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	17.4	0.2	Ma	1.531e-05	1	0	
This study	562	0562x044003	0562x	0562x0440031	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	17.4	0.2	Ma	1.59e-05	1	0	
This study	564	0564x012117	0564x	0564x0121171 : 0564x0121173	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.311e-05	2	2.765e-06	21.08
This study	564	0564x021042	0564x	0564x0210421	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.408e-05	1	0	
This study	564	0564x022092	0564x	0564x0220921	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.249e-05	1	0	
This study	564	0564x033063	0564x	0564x0330631	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.333e-05	1	0	
This study	564	0564x041129	0564x	0564x0411292	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	9.012e-06	1	0	
This study	564	0564x042085	0564x	0564x0420853	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.372e-05	1	0	
This study	564	0564x043075	0564x	0564x0430751 : 0564x0430753 : 0564x0430756 : 0564x0430758 : 0564x0430759	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.594e-05	5	3.57e-06	22.4
This study	564	0564x054002	0564x	0564x0540021	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.255e-05	1	0	
This study	564	0564x061142	0564x	0564x0611424 : 0564x0611425	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.857e-05	2	7.863e-06	42.34
This study	564	0564x071076	0564x	0564x0710761 : 0564x0710763	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.119e-05	2	5.657e-08	0.5055
This study	564	0564x081101	0564x	0564x0811011 : 0564x0811012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.525e-05	2	1.131e-07	0.7419
This study	564	0564x093p02	0564x	0564x093p021 : 0564x093p022	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	33.2	0.1	Ma	1.702e-05	2	2.277e-06	13.38
This study	706	0706c021009	0706c	0706c0210093	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	6.561e-06	1	0	
This study	706	0706c021071	0706c	0706c0210713	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	8.236e-06	1	0	
This study	706	0706c021093	0706c	0706c0210933 : 0706c0210934	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	5.63e-06	2	6.159e-07	10.94
This study	706	0706c022039	0706c	0706c0220392 : 0706c0220395	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	1.087e-05	2	5.266e-06	48.46
This study	706	0706c022095	0706c	0706c0220952 : 0706c0220953 : 0706c0220954 : 0706c0220955	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	6.38e-06	4	9.621e-07	15.08
This study	706	0706c052074	0706c	0706c0520741	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	3.917e-06	1	0	
This study	706	0706c052103	0706c	0706c0521031 : 0706c0521032 : 0706c0521033	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	5.41e-06	3	1.765e-06	32.63
This study	706	0706c053044	0706c	0706c0530441 : 0706c0530442	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	5.847e-06	2	1.88e-06	32.15
This study	706	0706c077010	0706c	0706c0770102 : 0706c0770103	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	5.74e-06	2	1.476e-06	25.72
This study	758	0758a702003	0758a	0758a7020031	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	82	2	Ma	3.803e-05	1	0	
This study	758	0758a702052	0758a	0758a7020522 : 0758a7020523	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	82	2	Ma	2.642e-05	2	1.676e-06	6.344
This study	758	0758a712037	0758a	0758a7120371 : 0758a7120372	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	82	2	Ma	6.171e-05	2	2.157e-05	34.95
This study	758	0758a713045	0758a	0758a7130451 : 0758a7130452	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	82	2	Ma	3.001e-05	2	6.512e-06	21.7
This study	758	0758a714054	0758a	0758a7140541 : 0758a7140542 : 0758a7140543	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	82	2	Ma	2.688e-05	3	1.232e-05	45.83
This study	758	0758a714093	0758a	0758a7140933 : 0758a7140934 : 0758a7140935	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	82	2	Ma	3.208e-05	3	3.646e-06	11.37
This study	758	0758a723117	0758a	0758a7231172	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	82	2	Ma	2.136e-05	1	0	
This study	765	0765c631004	0765c	0765c6310042 : 0765c6310044	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	5.992e-06	2	2.303e-06	38.44
This study	765	0765c631051	0765c	0765c6310514	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	3.971e-06	1	0	
This study	765	0765c631088	0765c	0765c6310881 : 0765c6310883	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	1.121e-05	2	3.975e-06	35.47
This study	765	0765c631100	0765c	0765c6311004	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	3.522e-06	1	0	
This study	765	0765c631127	0765c	0765c6311271	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	8.849e-06	1	0	
This study	765	0765c633075	0765c	0765c6330751	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	4.09e-06	1	0	
This study	765	0765c634056	0765c	0765c6340561	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	7.386e-06	1	0	
This study	765	0765c635098	0765c	0765c6350981	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	5.074e-06	1	0	
This study	765	0765c651124	0765c	0765c6511242	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	3.031e-05	1	0	
This study	765	0765d051065	0765d	0765d0510652	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	3.301e-05	1	0	
This study	765	0765d054055	0765d	0765d0540552	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	1.017e-05	1	0	
This study	765	0765d061008	0765d	0765d0610082	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	2.961e-06	1	0	
This study	765	0765d131096	0765d	0765d1310961 : 0765d1310962	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	2.983e-05	2	1.399e-05	46.89
This study	765	0765d131101	0765d	0765d1311013 : 0765d1311015	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	1.126e-05	2	2.157e-06	19.14
This study	765	0765d131102	0765d	0765d1311022	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	3.244e-05	1	0	
This study	765	0765d131105	0765d	0765d1311052 : 0765d1311055	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	155.7	0.3	Ma	3.707e-05	2	3.719e-06	10.03
This study	770	0770b172080	0770b	0770b1720801	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	3.228e-05	1	0	
This study	770	0770b173147	0770b	0770b1731472 : 0770b1731473 : 0770b1731474 : 0770b1731475	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	1.473e-05	4	1.066e-06	7.241
This study	770	0770b182035	0770b	0770b1820351 : 0770b1820352	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	1.555e-05	2	1.365e-06	8.779
This study	770	0770b183005	0770b	0770b1830052 : 0770b1830053 : 0770b1830054 : 0770b1830056 : 0770b1830057 : 0770b1830058	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	1.471e-05	6	3.798e-06	25.82
This study	770	0770b183031	0770b	0770b1830312	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	2.888e-05	1	0	
This study	770	0770c023008	0770c	0770c0230081 : 0770c0230082	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	1.682e-05	2	8.273e-07	4.92
This study	770	0770c023009	0770c	0770c0230093 : 0770c0230094	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	1.73e-05	2	5.162e-07	2.983
This study	770	0770c023019	0770c	0770c0230193 : 0770c0230194	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	1.566e-05	2	1.174e-06	7.496
This study	770	0770c023020	0770c	0770c0230201 : 0770c0230202	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	1.851e-05	2	1.584e-06	8.557
This study	770	0770c032050	0770c	0770c0320501	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	1.191e-05	1	0	
This study	770	0770c041016	0770c	0770c0410161 : 0770c0410162	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	1.123e-05	2	2.01e-06	17.9
This study	770	0770c04x014	0770c	0770c04x0141 : 0770c04x0142 : 0770c04x0143	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	8.064e-06	3	1.621e-06	20.1
This study	770	0770c091081	0770c	0770c0910811 : 0770c0910812	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	3.079e-05	2	1.389e-05	45.1
This study	770	0770c091084	0770c	0770c0910841 : 0770c0910842	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	38.9	1	Ma	1.717e-05	2	5.643e-06	32.86
This study	781	0781a088010	0781a	0781a0880101	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2.6	0.1	Ma	5.708e-05	1	0	
This study	801	0801c091034	0801c	0801c0910341	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	164.4	3	Ma	8.114e-06	1	0	
This study	802	0802a582101	0802a	0802a5821011 : 0802a5821012 : 0802a5821013 : 0802a5821014	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	114.6	3.2	Ma	2.161e-05	4	2.408e-06	11.15
This study	803	0803d693068	0803d	0803d6930682	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	88	6	Ma	1.853e-05	1	0	
This study	803	0803d693113	0803d	0803d6931132	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	88	6	Ma	4.952e-05	1	0	
This study	803	0803d702120	0803d	0803d7021201 : 0803d7021202	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	88	6	Ma	9.831e-06	2	9.595e-07	9.76
This study	807	0807c742027	0807c	0807c7420272 : 0807c7420273	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	3.573e-05	2	8.415e-07	2.355
This study	807	0807c742089	0807c	0807c7420893	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	5.063e-06	1	0	
This study	807	0807c742091	0807c	0807c7420912 : 0807c7420913	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	3.652e-05	2	3.111e-07	0.8519
This study	807	0807c742097	0807c	0807c7420972 : 0807c7420973	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	7.968e-06	2	9.687e-07	12.16
This study	807	0807c751027	0807c	0807c7510272 : 0807c7510273	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	4.205e-05	2	1.749e-05	41.6
This study	807	0807c752004	0807c	0807c7520042 : 0807c7520043 : 0807c7520045	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	3.415e-05	3	2.448e-06	7.168
This study	807	0807c752032	0807c	0807c7520322 : 0807c7520323	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	2.404e-05	2	2.524e-06	10.5
This study	807	0807c752039	0807c	0807c7520393	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	4.06e-05	1	0	
This study	807	0807c752066	0807c	0807c7520663	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	6.918e-06	1	0	
This study	807	0807c752072	0807c	0807c7520722 : 0807c7520726	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	3.349e-05	2	1.979e-05	59.11
This study	807	0807c754096	0807c	0807c7540962	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	3.323e-05	1	0	
This study	807	0807c771035	0807c	0807c7710352 : 0807c7710353	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	6.996e-05	2	1.853e-06	2.648
This study	807	0807c771037	0807c	0807c7710373	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	4.896e-05	1	0	
This study	807	0807c772034	0807c	0807c7720342 : 0807c7720343	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	3.048e-05	2	9.001e-06	29.54
This study	807	0807c772114	0807c	0807c7721141 : 0807c7721142 : 0807c7721143 : 0807c7721144	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	2.446e-05	4	9.586e-06	39.19
This study	807	0807c781034	0807c	0807c7810344 : 0807c7810345	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	2.521e-05	2	1.715e-05	68
This study	807	0807c791058	0807c	0807c7910582 : 0807c7910583	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	3.868e-05	2	3.62e-06	9.36
This study	807	0807c792143	0807c	0807c7921432	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	2.522e-05	1	0	
This study	807	0807c79x026	0807c	0807c79x0261 : 0807c79x0262	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	1.799e-05	2	7.87e-06	43.73
