tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	sample_description	sample_inferred_age	sample_inferred_age_sigma	sample_inferred_age_unit	sample_int	sample_int_n	sample_int_sigma	sample_int_sigma_perc
This study	335	0335x064091	0335x	0335x0640911 : 0335x0640915	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	1.98e-05	2	1.662e-06	8.395
This study	335	0335x072002	0335x	0335x0720021	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	7.401e-06	1	0	
This study	335	0335x091058	0335x	0335x0910584 : 0335x0910585	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	2.049e-05	2	4.172e-07	2.036
This study	335	0335x094127	0335x	0335x0941271 : 0335x0941272 : 0335x0941273	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	1.801e-05	3	4.821e-06	26.77
This study	335	0335x094129	0335x	0335x0941291	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	2.052e-05	1	0	
This study	335	0335x101145	0335x	0335x1011452 : 0335x1011453	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	2.214e-05	2	4.285e-06	19.35
This study	335	0335x102095	0335x	0335x1020952	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	1.787e-05	1	0	
This study	335	0335x132054	0335x	0335x1320543	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	1.694e-05	1	0	
This study	335	0335x133006	0335x	0335x1330061 : 0335x1330062 : 0335x1330063 : 0335x1330064	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	2.279e-05	4	3.909e-06	17.15
This study	395	0395a301p01	0395a	0395a301p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	8	1	Ma	1.396e-05	1	0	
This study	395	0395a332p14	0395a	0395a332p141	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	8	1	Ma	1.003e-05	1	0	
This study	395	0395a411p02	0395a	0395a411p021	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	8	1	Ma	1.141e-05	1	0	
This study	395	0395a541p6b	0395a	0395a541p6b1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	8	1	Ma	1.898e-05	1	0	
This study	395	0395a601p08	0395a	0395a601p081	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	8	1	Ma	1.887e-05	1	0	
