Sample	SiO2	TiO2	Al2O3	Cr2O3	MgO	MnO	FeO*	Total
SEPR 20-2 (9.55 FeO*)	0.76	20.55	2.17	0.03	0.50	0.63	71.24	95.88
SEPR 78-4 (11.06 FeO*)	0.19	17.96	1.59	0.05	1.87	0.37	73.39	95.42
SEPR 40-6 (12.63 FeO*)	0.21	21.37	1.80	0.06	0.73	0.55	71.21	95.93
SEPR 42-2 (14.41 FeO*)	0.41	21.24	1.69	0.01	0.80	0.57	70.70	95.42
Zhou (z=0.109)	0.24	21.77	1.83	0.01	0.61	0.61	70.74	95.81
Zhou (z=0.345)	0.24	18.48	2.25	0.03	0.50	0.39	72.13	94.02
Zhou (z=0.536)	0.24	22.28	1.55	0.01	0.71	0.59	68.45	93.83
Zhou (z=0.700)	0.21	20.57	1.62	0.03	0.03	2.09	68.13	92.68
Zhou (z=0.844)	0.32	22.28	2.14	0.01	0.48	0.52	66.49	92.24
