tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	318	U1356A		318-U1356A-014R_2A-0.1	318-U1356A-014R_2A-0.1	FS-C-DRILL-IODP:SO-V	0			Sedimentary		125.7		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.15	318-U1356A-014R_2A-0.15	FS-C-DRILL-IODP:SO-V	0			Sedimentary		125.75		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.2	318-U1356A-014R_2A-0.2	FS-C-DRILL-IODP:SO-V	0			Sedimentary		125.8		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.25	318-U1356A-014R_2A-0.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary		125.85		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.3	318-U1356A-014R_2A-0.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary		125.9		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.35	318-U1356A-014R_2A-0.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary		125.95		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.4	318-U1356A-014R_2A-0.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.45	318-U1356A-014R_2A-0.45	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.05		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.5	318-U1356A-014R_2A-0.5	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.1		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.55	318-U1356A-014R_2A-0.55	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.15		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.6	318-U1356A-014R_2A-0.6	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.2		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.65	318-U1356A-014R_2A-0.65	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.25		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.7	318-U1356A-014R_2A-0.7	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.3		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.75	318-U1356A-014R_2A-0.75	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.35		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.8	318-U1356A-014R_2A-0.8	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.4		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.85	318-U1356A-014R_2A-0.85	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.45		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.9	318-U1356A-014R_2A-0.9	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.5		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-0.95	318-U1356A-014R_2A-0.95	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.55		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-1	318-U1356A-014R_2A-1	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.6		0	-63.3102	Not Specified	135.5994	Sediment Layer
