tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.		330.8	31.1	2.3	9	p	n	0	LP-DIR-T:sr20i2	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr20i	sr20i2
This study	Recalculated from original measurements; supercedes published results.		328.3	57.4	1.1	9	p	n	0	LP-DIR-T:sr20j2	Igneous:Extrusive	Lava Flow					u												Basalt	923	723	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr20j	sr20j2
This study	Recalculated from original measurements; supercedes published results.		174.5	-67.2	1	9	p	n	0	LP-DIR-T:sr21b2	Igneous:Extrusive	Lava Flow					u												Basalt	923	723	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr21b	sr21b2
This study	Recalculated from original measurements; supercedes published results.		176.1	-69.2	1.3	11	p	n	0	LP-DIR-AF:sr21d1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr21d	sr21d1
This study	Recalculated from original measurements; supercedes published results.		165.2	-67.3	3.8	13	p	n	0	LP-DIR-T:sr21g2	Igneous:Extrusive	Lava Flow					u												Basalt	848	373	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr21g	sr21g2
This study	Recalculated from original measurements; supercedes published results.	1.6	353.3	-42.4			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr21h1	Igneous:Extrusive	Lava Flow	0.0001196	-2.991	0.14	0.418	u	20.3	0.244	0.248	4.6	-1	7	3	1.2	0.9048	t	4e-05	Basalt	723	423	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr21h	sr21h1
This study	Recalculated from original measurements; supercedes published results.		176.5	-63.8	2.9	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr21h1	Igneous:Extrusive	Lava Flow					u												Basalt	773	373	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr21h	sr21h1
This study	Recalculated from original measurements; supercedes published results.		170.1	-66.5	2	5	p	n	0	LP-DIR-T:sr21j2	Igneous:Extrusive	Lava Flow					u												Basalt	848	748	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr21j	sr21j2
This study	Recalculated from original measurements; supercedes published results.		248.2	45	4.3	11	p	n	0	LP-DIR-T:sr22a1	Igneous:Extrusive	Lava Flow					u												Basalt	823	373	K	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-T	g	sr22a	sr22a1
This study	Recalculated from original measurements; supercedes published results.		12.7	29.9	1.4	9	p	n	0	LP-DIR-AF:sr22b2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr22b	sr22b2
This study	Recalculated from original measurements; supercedes published results.		5.4	35.7	2.2	8	p	n	0	LP-DIR-AF:sr22d3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr22d	sr22d3
This study	Recalculated from original measurements; supercedes published results.		1.8	28.4	1.2	10	p	n	0	LP-DIR-AF:sr22e1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr22e	sr22e1
This study	Recalculated from original measurements; supercedes published results.		5.9	30.1	1.9	9	p	n	0	LP-DIR-AF:sr22f1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr22f	sr22f1
This study	Recalculated from original measurements; supercedes published results.		5	29.9	2.3	9	p	n	0	LP-DIR-T:sr22g1	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr22g	sr22g1
This study	Recalculated from original measurements; supercedes published results.		4.7	26.9	1.3	6	p	n	0	LP-DIR-T:sr22i2	Igneous:Extrusive	Lava Flow					u												Basalt	823	673	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr22i	sr22i2
This study	Recalculated from original measurements; supercedes published results.		12.8	45.8	1.6	11	p	n	0	LP-DIR-AF:sr23a1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr23a	sr23a1
This study	Recalculated from original measurements; supercedes published results.		17.7	43.7	0.5	9	p	n	0	LP-DIR-AF:sr23b2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr23b	sr23b2
This study	Recalculated from original measurements; supercedes published results.		308.7	-22.7	6.4	13	p	n	0	LP-DIR-T:sr23c2	Igneous:Extrusive	Lava Flow					u												Basalt	848	373	K	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-T	g	sr23c	sr23c2
This study	Recalculated from original measurements; supercedes published results.		12.9	48.4	1	10	p	n	0	LP-DIR-AF:sr23d3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr23d	sr23d3
This study	Recalculated from original measurements; supercedes published results.		344.4	-40.3	6.9	10	p	n	0	LP-DIR-T:sr23e1	Igneous:Extrusive	Lava Flow					u												Basalt	773	373	K	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-T	g	sr23e	sr23e1
This study	Recalculated from original measurements; supercedes published results.		198.9	46.4	3.6	13	p	n	0	LP-DIR-T:sr23f1	Igneous:Extrusive	Lava Flow					u												Basalt	848	373	K	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-T	g	sr23f	sr23f1
This study	Recalculated from original measurements; supercedes published results.		14.1	45.9	3	4	p	n	0	LP-DIR-AF:sr23g1	Igneous:Extrusive	Lava Flow					u												Basalt	0.12	0.06	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr23g	sr23g1
This study	Recalculated from original measurements; supercedes published results.		158.7	-60.5	1.2	6	p	n	0	LP-DIR-AF:sr24a1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.08	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr24a	sr24a1
This study	Recalculated from original measurements; supercedes published results.		159.9	-61	0.9	9	p	n	0	LP-DIR-AF:sr24b3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr24b	sr24b3
This study	Recalculated from original measurements; supercedes published results.		156.9	-62.4	1.5	9	p	n	0	LP-DIR-AF:sr24c2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr24c	sr24c2
This study	Recalculated from original measurements; supercedes published results.		167.3	-66.9	1.2	11	p	n	0	LP-DIR-AF:sr24d1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr24d	sr24d1
This study	Recalculated from original measurements; supercedes published results.		174	-59.4	2.7	6	p	n	0	LP-DIR-T:sr24i2	Igneous:Extrusive	Lava Flow					u												Basalt	848	723	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr24i	sr24i2
This study	Recalculated from original measurements; supercedes published results.		196.7	-61.4	7.4	9	p	n	0	LP-DIR-AF:sr24j2	Igneous:Extrusive	Lava Flow					u												Basalt	0.14	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr24j	sr24j2
This study	Recalculated from original measurements; supercedes published results.		1.5	59.6	1.3	8	p	n	0	LP-DIR-AF:sr25b2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr25b	sr25b2
This study	Recalculated from original measurements; supercedes published results.		179.9	33.8	11.8	15	p	n	0	LP-DIR-T:sr25c2	Igneous:Extrusive	Lava Flow					u												Basalt	873	273	K	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-T	g	sr25c	sr25c2
This study	Recalculated from original measurements; supercedes published results.		10.3	64.1	1.6	8	p	n	0	LP-DIR-AF:sr25d2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr25d	sr25d2
This study	Recalculated from original measurements; supercedes published results.		0.1	60.8	1.2	9	p	n	0	LP-DIR-AF:sr25e2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr25e	sr25e2
This study	Recalculated from original measurements; supercedes published results.		1.5	63.8	2	11	p	n	0	LP-DIR-AF:sr25f3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr25f	sr25f3
This study	Recalculated from original measurements; supercedes published results.		1.9	60.9	2.8	11	p	n	0	LP-DIR-AF:sr25h1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr25h	sr25h1
This study	Recalculated from original measurements; supercedes published results.		2.6	60.1	1.1	9	p	n	0	LP-DIR-AF:sr26a3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr26a	sr26a3
This study	Recalculated from original measurements; supercedes published results.		359.5	57.4	1	6	p	n	0	LP-DIR-T:sr26b2	Igneous:Extrusive	Lava Flow					u												Basalt	848	723	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr26b	sr26b2
This study	Recalculated from original measurements; supercedes published results.		17.5	66	4.4	7	p	n	0	LP-DIR-AF:sr26c3	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr26c	sr26c3
This study	Recalculated from original measurements; supercedes published results.		340.9	-22.6	2.4	14	p	n	0	LP-DIR-T:sr26e2	Igneous:Extrusive	Lava Flow					u												Basalt	848	273	K	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-T	g	sr26e	sr26e2
This study	Recalculated from original measurements; supercedes published results.		356.5	62.8	0.9	8	p	n	0	LP-DIR-AF:sr26e3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr26e	sr26e3
This study	Recalculated from original measurements; supercedes published results.		341.3	65.6	4.7	8	p	n	0	LP-DIR-AF:sr26f1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr26f	sr26f1
This study	Recalculated from original measurements; supercedes published results.		22.5	-22.9	8.3	14	p	n	0	LP-DIR-T:sr26g1	Igneous:Extrusive	Lava Flow					u												Basalt	848	273	K	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-T	g	sr26g	sr26g1
This study	Recalculated from original measurements; supercedes published results.		353.1	56.9	0.7	11	p	n	0	LP-DIR-AF:sr26i1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr26i	sr26i1
This study	Recalculated from original measurements; supercedes published results.		288.8	-15.6	3.1	11	p	n	0	LP-DIR-AF:sr27a2	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF	g	sr27a	sr27a2
This study	Recalculated from original measurements; supercedes published results.		191.7	-16.8	3.5	12	p	n	0	LP-DIR-AF:sr27c1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF	g	sr27c	sr27c1
This study	Recalculated from original measurements; supercedes published results.		229.6	72.5	1.7	9	p	n	0	LP-DIR-T:sr27c2	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr27c	sr27c2
This study	Recalculated from original measurements; supercedes published results.		218.6	70.4	1.7	9	p	n	0	LP-DIR-T:sr27d1	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr27d	sr27d1
This study	Recalculated from original measurements; supercedes published results.		210.6	-16.9	1.5	11	p	n	0	LP-DIR-AF:sr27e2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF	g	sr27e	sr27e2
This study	Recalculated from original measurements; supercedes published results.		194.5	-51.9	3	8	p	n	0	LP-DIR-AF:sr28a1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr28a	sr28a1
This study	Recalculated from original measurements; supercedes published results.	4.7	19.1	12.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr28b1	Igneous:Extrusive	Lava Flow	5.434e-05	-1.358	0.131	0.178	u	1.1	0.685	0.517	3.2	-1	6	5	3.8	0.9322	t	4e-05	Basalt	823	623	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr28b	sr28b1
This study	Recalculated from original measurements; supercedes published results.		210	-55	2	4	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr28b1	Igneous:Extrusive	Lava Flow					u												Basalt	823	723	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr28b	sr28b1
This study	Recalculated from original measurements; supercedes published results.	1.2	28.6	22			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr28c1	Igneous:Extrusive	Lava Flow	2.181e-05	-0.545	0.104	0.057	u	1.1	0.788	0.524	1.2	3	5	5	5.4	0.9677	t	4e-05	Basalt	848	723	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr28c	sr28c1
This study	Recalculated from original measurements; supercedes published results.		195.1	-51.5	1.7	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr28c1	Igneous:Extrusive	Lava Flow					u												Basalt	848	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr28c	sr28c1
This study	Recalculated from original measurements; supercedes published results.		192.9	-54.1	3	7	p	n	0	LP-DIR-T:sr28c2	Igneous:Extrusive	Lava Flow					u												Basalt	848	673	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr28c	sr28c2
This study	Recalculated from original measurements; supercedes published results.	1.1	36.4	28.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr28e1	Igneous:Extrusive	Lava Flow	4.509e-05	-1.127	0.141	0.159	u	10.5	0.665	0.493	1.3	-1	5	5	3.2	0.9412	t	4e-05	Basalt	823	673	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr28e	sr28e1
This study	Recalculated from original measurements; supercedes published results.		200.9	-46.8	2	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr28e1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr28e	sr28e1
This study	Recalculated from original measurements; supercedes published results.	1.4	30.3	15.8			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr28f1	Igneous:Extrusive	Lava Flow	4.139e-05	-1.035	0.122	0.126	u	3	0.803	0.641	1.5	-1	6	5	4.9	0.9415	t	4e-05	Basalt	823	623	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr28f	sr28f1
This study	Recalculated from original measurements; supercedes published results.		197.2	-47.5	1.5	8	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr28f1	Igneous:Extrusive	Lava Flow					u												Basalt	823	523	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr28f	sr28f1
This study	Recalculated from original measurements; supercedes published results.		193	-53.9	2.7	9	p	n	0	LP-DIR-AF:sr28g2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr28g	sr28g2
This study	Recalculated from original measurements; supercedes published results.	0.8	31.1	26.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr28h1	Igneous:Extrusive	Lava Flow	3.509e-05	-0.877	0.101	0.089	u	7.9	0.805	0.54	0.7	3	5	5	5.7	0.9696	t	4e-05	Basalt	848	723	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr28h	sr28h1
This study	Recalculated from original measurements; supercedes published results.		196.3	-48.2	1.7	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr28h1	Igneous:Extrusive	Lava Flow					u												Basalt	848	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr28h	sr28h1
This study	Recalculated from original measurements; supercedes published results.	3.3	138.3	48.9			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29a1	Igneous:Extrusive	Lava Flow	9.368e-05	-2.342	0.037	0.088	u	30.1	0.215	0.208	7.2	-1	7	5	4.4	0.993	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr29a	sr29a1
This study	Recalculated from original measurements; supercedes published results.		6.3	62.8	1.6	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29a1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr29a	sr29a1
This study	Recalculated from original measurements; supercedes published results.	1.8	132.9	50.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr29a2	Igneous:Extrusive	Lava Flow	9.895e-05	-2.474	0.049	0.12	u	21.9	0.494	0.494	3.8	4	9	5	8.1	0.9836	t	4e-05	Basalt	773	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr29a	sr29a2
This study	Recalculated from original measurements; supercedes published results.		4	61.7	1.5	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr29a2	Igneous:Extrusive	Lava Flow					u												Basalt	848	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr29a	sr29a2
This study	Recalculated from original measurements; supercedes published results.	2.6	155.8	8.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29b1	Igneous:Extrusive	Lava Flow	8.047e-05	-2.012	0.021	0.042	u	1.6	0.339	0.321	4.7	-1	6	5	10.4	0.9982	t	4e-05	Basalt	673	423	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr29b	sr29b1
This study	Recalculated from original measurements; supercedes published results.		5.8	61.9	1.9	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29b1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr29b	sr29b1
This study	Recalculated from original measurements; supercedes published results.	9.4	139.8	17.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29c1	Igneous:Extrusive	Lava Flow	6.107e-05	-1.527	0.058	0.089	u	8.3	0.197	0.199	7.3	-1	6	6	2.6	0.9865	t	4e-05	Basalt	623	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr29c	sr29c1
This study	Recalculated from original measurements; supercedes published results.		11.6	61.3	1.2	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29c1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr29c	sr29c1
This study	Recalculated from original measurements; supercedes published results.		16.4	64.4	2.1	8	p	n	0	LP-DIR-T:sr29e3	Igneous:Extrusive	Lava Flow					u												Basalt	873	673	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr29e	sr29e3
This study	Recalculated from original measurements; supercedes published results.	0.9	150.8	31.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr29g1	Igneous:Extrusive	Lava Flow	7.851e-05	-1.963	0.11	0.217	u	7	0.261	0.27	3.7	2	5	5	1.7	0.9638	t	4e-05	Basalt	573	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr29g	sr29g1
This study	Recalculated from original measurements; supercedes published results.		9.4	61.8	1.3	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr29g1	Igneous:Extrusive	Lava Flow					u												Basalt	848	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr29g	sr29g1
This study	Recalculated from original measurements; supercedes published results.		12.9	62.9	2.7	7	p	n	0	LP-DIR-AF:sr29g2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.06	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr29g	sr29g2
This study	Recalculated from original measurements; supercedes published results.	9.9	136.8	39			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29h1	Igneous:Extrusive	Lava Flow	8.088e-05	-2.022	0.045	0.09	u	20.6	0.186	0.187	3.9	-1	6	5	3.3	0.9921	t	4e-05	Basalt	623	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr29h	sr29h1
This study	Recalculated from original measurements; supercedes published results.		9.9	64.9	1.7	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29h1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr29h	sr29h1
This study	Recalculated from original measurements; supercedes published results.	0.4	184.4	49.1			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30a1	Igneous:Extrusive	Lava Flow	4.95e-05	-1.238	0.046	0.057	u	3.5	0.65	0.643	1.4	-1	5	5	10	0.9936	t	4e-05	Basalt	573	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr30a	sr30a1
This study	Recalculated from original measurements; supercedes published results.		14.2	64.3	2.1	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30a1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr30a	sr30a1
This study	Recalculated from original measurements; supercedes published results.	1.3	189.7	50.4			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr30a2	Igneous:Extrusive	Lava Flow	4.845e-05	-1.211	0.034	0.041	u	13.2	0.711	0.704	1.4	4	6	5	15.6	0.9954	t	4e-05	Basalt	623	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr30a	sr30a2
This study	Recalculated from original measurements; supercedes published results.		9.9	62.1	1.8	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr30a2	Igneous:Extrusive	Lava Flow					u												Basalt	848	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr30a	sr30a2
This study	Recalculated from original measurements; supercedes published results.		7.5	67.4	0.9	9	p	n	0	LP-DIR-AF:sr30b2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr30b	sr30b2
This study	Recalculated from original measurements; supercedes published results.	4.6	198.4	30.6			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30c1	Igneous:Extrusive	Lava Flow	5.667e-05	-1.417	0.066	0.093	u	16.1	0.286	0.275	5.9	-1	7	5	3.5	0.9784	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr30c	sr30c1
