tab 	sites																						
citations	specimnes	n_planes	site_alpha95	dir_inc	method_codes	location	dir_dec	dir_n_specimens_lines	lon	vgp_lon	dir_tilt_correction	criteria	age	age_unit	dir_k	site_n	age_sigma	site	vgp_lat	description	dir_polarity	dir_r	lat
10.1016/S0012-821X(98)00117-4	az20a2:az20b2:az20c2:az20d2:az20e2:az20g2:az20h2:az20i2:az20l2:az20m1:az20m2:az20m3	0	2.9	47.7	DE-FM	Azores	348.5	12	334.9	205	0	DE-SPEC	2.50E+00	Ma	230.7	12	2.50E+00	az20	76.8	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	11.9523	37.8
10.1016/S0012-821X(98)00117-4	az21a1:az21a2:az21c2:az21d2:az21e2:az21f2:az21g2:az21h2:az21j1:az21j2:az21k2:az21l2	0	1.7	-46.9	DE-FM	Azores	180.8	12	334.9	330.7	0	DE-SPEC	878	Ka	645.7	12	45	az21	-80.3	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	11.983	37.8
10.1016/S0012-821X(98)00117-4	az22a2:az22c2:az22d2:az22e2:az22f2:az22g2:az22h2:az22i2:az22j1:az22j2:az22j3	0	2.7	69.6	DE-FM	Azores	332	11	334.9	292.8	0	DE-SPEC	2.50E+00	Ma	290.2	11	2.50E+00	az22	65.3	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	10.9655	37.8
10.1016/S0012-821X(98)00117-4	az23a1:az23a2:az23a3:az23b2:az23c2:az23d2:az23f2:az23h2:az23i2:az23j2:az23k2:az23l2	0	1.3	-47	DE-FM	Azores	171.9	12	334.8	12.2	0	DE-SPEC	785	Ka	1062.6	12	11	az23	-78.2	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	11.9896	37.8
10.1016/S0012-821X(98)00117-4	az24b1:az24e2:az24e3:az24f2:az24g2:az24h2:az24j2:az24j3:az24k1:az24k2:az24l1:az24l2:az24l3	0	2.5	-42.9	DE-FM	Azores	198.8	13	334.8	278.4	0	DE-SPEC	817	Ka	283.5	13	14	az24	-69.5	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	12.9577	37.8
10.1016/S0012-821X(98)00117-4	az25c1:az25d1:az25d2:az25e2:az25g2:az25i1:az25i2:az25j2:az25k3	0	4	-42.9	DE-FM	Azores	187.4	9	334.8	306.7	0	DE-SPEC	814	Ka	164.2	9	17	az25	-75.6	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	8.9513	37.8
10.1016/S0012-821X(98)00117-4	az26b3:az26d2:az26d3:az26e3:az26i1:az26k2:az26l3	0	3.3	-33.9	DE-FM	Azores	172.2	7	334.8	356.4	0	DE-SPEC	793	Ka	342.9	7	8	az26	-69.6	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	6.9825	37.8
10.1016/S0012-821X(98)00117-4	az27a1:az27a2:az27b2:az27c2:az27d1:az27d2:az27e1:az27e2:az27h2:az27i2:az27j2:az27k1:az27k2:az27l2	0	1.9	-44.5	DE-FM	Azores	165.7	14	334.8	25	0	DE-SPEC	776	Ka	458.8	14	12	az27	-73.2	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	13.9717	37.8
10.1016/S0012-821X(98)00117-4	az28a2:az28b2:az28c2:az28d1:az28d2:az28d3:az28f2:az28g2:az28h2:az28i2:az28j2	0	1.8	-38	DE-FM	Azores	180.7	11	334.8	332.6	0	DE-SPEC	2.50E+00	Ma	653.6	11	2.50E+00	az28	-73.5	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	10.9847	37.8
10.1016/S0012-821X(98)00117-4	az29a2:az29a3:az29b2:az29c2:az29d1:az29d2:az29d3:az29h2:az29i2	0	2.1	36.5	DE-FM	Azores	6.5	9	334.4	134.7	0	DE-SPEC	1.01	Ka	583.1	9	0.12	az29	71.6	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	8.9863	37.8
10.1016/S0012-821X(98)00117-4	az30a1:az30a2:az30d2:az30f2:az30h2:az30i2:az30m2	0	2.9	58.7	DE-FM	Azores	4.2	7	334.5	37	0	DE-SPEC	0.434	Ka	440.6	7		az30	86.3	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	6.9864	37.8
10.1016/S0012-821X(98)00117-4	az31c2:az31e2:az31f2:az31g2:az31h2	0	4.9	57	DE-FM	Azores	352.8	5	334.5	244.4	0	DE-SPEC	1.79	Ka	242	5	0.15	az31	84.3	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	4.9835	37.8
10.1016/S0012-821X(98)00117-4	az32b1:az32b2:az32c2:az32d2:az32h2:az32j2	0	3.3	56.1	DE-FM	Azores	351.6	6	334.5	237.1	0	DE-SPEC	4.99	Ka	412.4	6	0.1	az32	83.2	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	5.9879	37.8
10.1016/S0012-821X(98)00117-4	az33a1:az33d1:az33d2:az33e2:az33k1:az33m2:az33n1:az33n2:az33s2:az33u1	0	2	39.9	DE-FM	Azores	352.1	10	334.5	180.9	0	DE-SPEC	8.7	Ka	608.3	10	0.2	az33	73.5	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	9.9852	37.8
10.1016/S0012-821X(98)00117-4	az34c2:az34e2:az34f1:az34g1:az34h2:az34i2	0	2.8	56.4	DE-FM	Azores	358	6	334.5	219.3	0	DE-SPEC	6.52	Ka	554.5	6	0.1	az34	88.2	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	5.991	37.7
10.1016/S0012-821X(98)00117-4	az36a2:az36b2:az36d1:az36d2:az36e2:az36g2:az36h2:az36i1:az36i2	0	2.3	53.7	DE-FM	Azores	11.9	9	334.4	81.1	0	DE-SPEC	2.8	Ka	487.1	9	0.12	az36	79.7	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	8.9836	37.8
10.1016/S0012-821X(98)00117-4	az37a2:az37a3:az37b2:az37c2:az37d2:az37e2:az37f2:az37h2:az37i2	0	1.9	48.2	DE-FM	Azores	2	9	334.3	142.8	0	DE-SPEC	2.46	Ka	769.6	9	0.22	az37	81.3	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	8.9896	37.8
10.1016/S0012-821X(98)00117-4	az38a1:az38a2:az38b1:az38b2:az38c1:az38d2:az38e1:az38e2:az38f2:az38k1:az38k2	0	1.7	47.1	DE-FM	Azores	19.9	11	334.4	88.2	0	DE-SPEC	0.345	Ka	732.3	11		az38	70.9	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	10.9863	37.7
