age	age_pm	age_high	age_low	site_lat	site_lon	model_lat	model_lon	plate	nn	k	dec	inc	model_vgp_lat	model_vgp_lon	site	site_ID	location	psv10_location	reference	magic_method_code
2.50E+00	1.00E-01	999	999	21.283	202.2	20.55921127	203.6660735	PA	18	173.1	163.1	-53.6	-69.8	339.5	KO	671	Hawaii	"Hawaii, USA"	Herrerobervera03	GM-KAR:LP-DC5:LP-DIR-AF:LP-DIR-T
2.40E+00	0.00E+00	999	999	21.333	202.15	20.63819161	203.5578248	PA	14	140.1	177.9	-23.6	-81.4	217.5	KV	672	Hawaii	"Hawaii, USA"	Herrerobervera03	GM-KAR:LP-DC5:LP-DIR-AF:LP-DIR-T
1.80E+00	3.00E-01	999	999	21.3	202.35	20.77888106	203.4057972	PA	14	171.3	180.8	-42.3	-86.2	34.6	MP	673	Hawaii	"Hawaii, USA"	Herrerobervera03	GM-KAR:LP-DC5:LP-DIR-AF:LP-DIR-T
2.50E+00	1.00E-01	999	999	21.3	202.233	20.57619856	203.6989219	PA	13	77.2	175.5	-22.3	-80	230.1	PA	674	Hawaii	"Hawaii, USA"	Herrerobervera03	GM-KAR:LP-DC5:LP-DIR-AF:LP-DIR-T
2.60E+00	2.00E-01	999	999	21.3	202.167	20.54726286	203.6917376	PA	13	88.3	171.8	-24.1	-78.8	249.6	PB	675	Hawaii	"Hawaii, USA"	Herrerobervera03	GM-KAR:LP-DC5:LP-DIR-AF:LP-DIR-T
2.60E+00	2.00E-01	999	999	21.333	202.15	20.58026978	203.6748383	PA	14	181.3	171.4	-17.4	-75.7	240.3	PH	676	Hawaii	"Hawaii, USA"	Herrerobervera03	GM-KAR:LP-DC5:LP-DIR-AF:LP-DIR-T
2.30E+00	1.00E-01	999	999	21.333	202.15	20.66715166	203.4993009	PA	14	83.2	183.8	-7.6	-72.7	190.6	WA	677	Hawaii	"Hawaii, USA"	Herrerobervera03	GM-KAR:LP-DC5:LP-DIR-AF:LP-DIR-T
8.19E-03	6.00E-05	999	999	20.61	203.71	20.60762803	203.7147902	PA	17	164	6.2	32.2	83.4	320.8	HALE	678	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-C14:LP-DC5:LP-DIR-AF:LP-DIR-T
8.30E-04	6.00E-05	999	999	20.61	203.68	20.60975962	203.6804855	PA	8	364	2.9	33.8	86.6	330.8	HGTA	679	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-C14:LP-DC5:LP-DIR-AF:LP-DIR-T
8.90E-04	1.70E-04	999	999	20.63	203.61	20.62974225	203.6105207	PA	4	420	1.9	41	86.6	234.9	HHAN	680	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-C14:LP-DC5:LP-DIR-AF:LP-DIR-T
4.07E-03	9.00E-05	999	999	20.7	203.64	20.69882128	203.6423811	PA	8	65	1.5	38.5	88.3	258.1	HKAM	681	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-C14:LP-DC5:LP-DIR-AF:LP-DIR-T
1.03E-02	5.00E-05	999	999	20.68	203.6	20.67701704	203.6060265	PA	4	151	1.3	33.7	87.5	354.7	HKEA	682	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-C14:LP-DC5:LP-DIR-AF:LP-DIR-T
3.02E-03	6.50E-05	999	999	20.62	203.75	20.61912534	203.7517661	PA	9	77	0.2	20.7	80.1	22.6	HLAA	683	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-C14:LP-DC5:LP-DIR-AF:LP-DIR-T
4.50E-02	1.80E-03	999	999	20.61	203.69	20.59696723	203.7163206	PA	7	363	0.4	43.7	85	207.9	HLLL	684	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-C14:LP-DC5:LP-DIR-AF:LP-DIR-T
3.54E-03	4.00E-05	999	999	20.62	203.64	20.61897478	203.642071	PA	8	388	349.8	38.7	80.4	122.7	HMAK	685	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-C14:LP-DC5:LP-DIR-AF:LP-DIR-T
2.18E-03	6.00E-05	999	999	20.68	203.68	20.67936864	203.6812752	PA	9	172	5.8	31.8	83.5	324.9	HNAE	686	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-C14:LP-DC5:LP-DIR-AF:LP-DIR-T
