tab 	er_ages
age	age_description	age_sigma	age_unit	biostrat_zone	er_citation_names	er_location_name	er_site_name	er_timescale_citation_names	magic_method_codes	magnetic_reversal_chron	timescale_stage
148		2	Ma		This study	169	0169x	Nakanishi et al. 1992 : Gradstein et al. 1995	GM-PMAG-ANOM	M21	
30.7		0.5	Ma		This study	205	0205x	Berggren et al. 1995	GM-PMAG-ANOM	C12n	
13		1	Ma	N12	This study	231	0231x	Berggren et al. 1995	GM-FOSSIL		
32		2	Ma	P19	This study	238	0238x	Berggren et al. 1995	GM-FOSSIL		
48		2	Ma		This study	322	0322x	Berggren et al. 1995	GM-PMAG-ANOM	C21-C22	
3.6		0.1	Ma		This study	332	0332a	Berggren et al. 1995	GM-PMAG-ANOM	C2Ar	
3.6		0.1	Ma		This study	332	0332b	Berggren et al. 1995	GM-PMAG-ANOM	C2Ar	
9.8		0.5	Ma		This study	334	0334x	Berggren et al. 1995	GM-PMAG-ANOM	C5n.1n	
13.8		2	Ma		This study	335	0335x	Berggren et al. 1995	GM-PMAG-ANOM	C5A-C5B	
8		1	Ma		This study	395	0395x	Berggren et al. 1995	GM-PMAG-ANOM	C4n	
8		1	Ma		This study	395	0395a	Berggren et al. 1995	GM-PMAG-ANOM	C4n	
10.3		0.5	Ma		This study	396	0396b	Berggren et al. 1995	GM-PMAG-ANOM	C5n	
33.3		0.1	Ma		This study	407	0407x	Berggren et al. 1995	GM-PMAG-ANOM	C13n	
10.3		0.7	Ma		This study	410	0410a	Berggren et al. 1995	GM-PMAG-ANOM	C5n	
121		1	Ma		This study	417	0417d	Gradstein et al. 1995	GM-PMAG-ANOM	M0	
121		1	Ma		This study	418	0418a	Gradstein et al. 1995	GM-PMAG-ANOM	M0	
3.4		0.2	Ma		This study	420	0420x	Berggren et al. 1995	GM-PMAG-ANOM	C2A	
1.7		0.2	Ma		This study	423	0423x	Berggren et al. 1995	GM-PMAG-ANOM	C2	
43		2	Ma		This study	447	0447a	Berggren et al. 1995	GM-PMAG-ANOM	C20	
31		1	Ma	NP23	This study	448	0448a	Berggren et al. 1995	GM-FOSSIL		
3.7		0.2	Ma		This study	456	0456a	Berggren et al. 1995	GM-PMAG-ANOM	C2Ar	
