tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_flag	specimen_inc	specimen_inferred_age	specimen_inferred_age_sigma	specimen_inferred_age_unit	specimen_mad	specimen_n	specimen_nrm	specimen_tilt_correction
Peter C. Lippert	This study	Wulan Wula Hu	06X050	WWH-3	06X050b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	257.7	Specimen not used to calculate site mean direction.	p	g	69.3	38.6	0.5	Ma	10.5	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X051	WWH-3	06X051b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	25	mT	u	338.5		p	g	45	38.6	0.5	Ma	0.6	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X052	WWH-3	06X052a	IPGP-2GH	DE-BFL:LP-DIR-T	560	500	°C	u	353.2	Specimen not used to calculate site mean direction.	p	g	40.7	38.6	0.5	Ma	2.4	4	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X052	WWH-3	06X052b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	25	mT	u	354.9		p	g	42.2	38.6	0.5	Ma	1.9	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X053	WWH-3	06X053b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	25	mT	u	353		p	g	47.1	38.6	0.5	Ma	0.6	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X061	WWH-4	06X061b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	40	mT	u	351.2		p	g	47.5	38.6	0.5	Ma	1.6	4	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X062	WWH-4	06X062b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	30	mT	u	336.4		p	g	46	38.6	0.5	Ma	1	4	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X063	WWH-4	06X063b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	20	mT	u	355.3		p	g	42.2	38.6	0.5	Ma	1	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X064	WWH-4	06X064b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	50	20	mT	u	0.1		p	g	38.5	38.6	0.5	Ma	1.1	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X065	WWH-4	06X065a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	50	15	mT	u	0.5		p	g	45	38.6	0.5	Ma	0.7	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X079	WWH-4	06X079b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	50	20	mT	u	353.5		p	g	49	38.6	0.5	Ma	0.6	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X080	WWH-4	06X080c	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	15	mT	u	357		p	g	41.5	38.6	0.5	Ma	0.3	7	l	100
