tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	sample_dec	sample_description	sample_direction_type	sample_inc	sample_inferred_age	sample_inferred_age_sigma	sample_inferred_age_unit	sample_int	sample_int_n	sample_int_sigma	sample_int_sigma_perc	sample_n	sample_n_lines	sample_n_planes	sample_tilt_correction
This study	Snake River	sr01a	sr01	sr01a1	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	331	sample direction.	l	64.4	3.4	0.03	Ma					1	1	0	0
This study	Snake River	sr01a	sr01	sr01a2	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	325.9	sample direction.	l	62.1	3.4	0.03	Ma					1	1	0	0
This study	Snake River	sr01c	sr01	sr01c2	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	345	sample direction.	l	64.3	3.4	0.03	Ma					1	1	0	0
This study	Snake River	sr01d	sr01	sr01d1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	326.9	sample direction.	l	65.2	3.4	0.03	Ma					1	1	0	0
This study	Snake River	sr01e	sr01	sr01e2	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	333	sample direction.	l	67.1	3.4	0.03	Ma					1	1	0	0
This study	Snake River	sr01f	sr01	sr01f2	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	325.9	sample direction.	l	66.1	3.4	0.03	Ma					1	1	0	0
This study	Snake River	sr01g	sr01	sr01g2	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	324.4	sample direction.	l	66.7	3.4	0.03	Ma					1	1	0	0
This study	Snake River	sr01i	sr01	sr01i1	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	328.5	sample direction.	l	62.5	3.4	0.03	Ma					1	1	0	0
This study	Snake River	sr03a	sr03	sr03a1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	146.5	sample direction.	l	-54.2	1	1	Ma					1	1	0	0
This study	Snake River	sr03c	sr03	sr03c1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	159.8	sample direction.	l	-60.3	1	1	Ma					1	1	0	0
This study	Snake River	sr03e	sr03	sr03e1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	150.9	sample direction.	l	-61.2	1	1	Ma					1	1	0	0
This study	Snake River	sr03f	sr03	sr03f1	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	147.2	sample direction.	l	-55.8	1	1	Ma					1	1	0	0
This study	Snake River	sr03g	sr03	sr03g1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	147.2	sample direction.	l	-57.3	1	1	Ma					1	1	0	0
This study	Snake River	sr03h	sr03	sr03h2	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	152.1	sample direction.	l	-57	1	1	Ma					1	1	0	0
This study	Snake River	sr03k	sr03	sr03k1	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	159.8	sample direction.	l	-55.8	1	1	Ma					1	1	0	0
This study	Snake River	sr04d	sr04	sr04d2	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	10.8	sample direction.	l	55.9	2	0.05	Ma					1	1	0	0
This study	Snake River	sr04e	sr04	sr04e1	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	27.9	sample direction.	l	53.2	2	0.05	Ma					1	1	0	0
This study	Snake River	sr04f	sr04	sr04f2	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	20.5	sample direction.	l	54.8	2	0.05	Ma					1	1	0	0
This study	Snake River	sr04g	sr04	sr04g1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	11.4	sample direction.	l	54.8	2	0.05	Ma					1	1	0	0
This study	Snake River	sr04h	sr04	sr04h3	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	11.5	sample direction.	l	53.2	2	0.05	Ma					1	1	0	0
This study	Snake River	sr09b	sr09	sr09b2	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	18.3	sample direction.	l	81.7	0.095	0.05	Ma					1	1	0	0
This study	Snake River	sr09c	sr09	sr09c3	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	13.5	sample direction.	l	76.5	0.095	0.05	Ma					1	1	0	0
This study	Snake River	sr09e	sr09	sr09e2	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	5.4	sample direction.	l	75.4	0.095	0.05	Ma					1	1	0	0
This study	Snake River	sr09f	sr09	sr09f2	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	22	sample direction.	l	75.9	0.095	0.05	Ma					1	1	0	0
