318-U1359A-004H-2-W-18            100.00     0.4  6.199E-4    79.9   -53.3     07/05/12;10:48;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-2-W-44            100.00     0.4  3.684E-3    85.4   -46.7     07/05/12;10:49;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-2-W-130            100.00     0.4  1.217E-3    86.3   -49.5     07/05/12;10:49;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-3-W-100            100.00     0.4  1.657E-3    82.2   -46.2     07/05/12;10:50;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-3-W-145           100.00     0.5  2.662E-3    70.7   -41.6     07/05/12;10:50;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-4-W-102           100.00     0.7  1.108E-3    89.0   -38.3     07/05/12;10:51;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-4-W-120           100.00     0.6  1.232E-4    57.1   -30.2     07/05/12;10:51;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-5-W-139           100.00     0.4  1.095E-4    54.3   -32.9     07/05/12;10:52;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-006H-2-W-95           100.00     0.5  1.827E-3    76.2   -43.8     07/05/12;10:52;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-006H-6-W-22           100.00     0.5  2.385E-3    85.2   -44.9     07/05/12;10:53;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-007H-1-W-54           100.00     0.5  2.036E-3    83.1   -46.5     07/05/12;10:54;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-007H-2-W-125           100.00     0.5  8.643E-4    83.3   -42.6     07/05/12;10:54;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-007H-3-W-46           100.00     0.4  1.938E-4    62.3   -40.7     07/05/12;10:55;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-009H-6-W-31           100.00     0.5  1.032E-3    84.8   -46.1     07/05/12;10:55;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-010H-2-W-73           100.00     0.5  3.146E-3    82.9   -48.5     07/05/12;10:55;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-010H-4-W-37           100.00     0.4  2.824E-3    89.6   -49.0     07/05/12;10:56;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-010H-6-W-65           100.00     0.6  1.092E-3    90.1   -53.1     07/05/12;10:56;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-011H-3-W-70           100.00     0.5  4.201E-3    79.1   -44.9     07/05/12;10:57;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-012H-1-W-104           100.00     0.3  2.556E-5    64.3   -35.0     07/05/12;10:58;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-012H-5-W-70           100.00     0.5  5.668E-5    59.3   -26.1     07/05/12;10:58;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-013H-4-W-89           100.00     0.6  6.292E-5    54.5   -27.6     07/05/12;10:59;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-013H-6-W-88           100.00     0.5  4.355E-5    70.2   -34.7     07/05/12;10:59;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-014H-2-W-60           100.00     0.4  9.267E-5    55.3   -24.2     07/05/12;11:00;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-014H-6-W-13           100.00     0.4  2.074E-3    75.4   -42.6     07/05/12;11:01;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-015H-2-W-56           100.00     0.4  5.383E-5    60.3   -39.6     07/05/12;11:01;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-015H-4-W-83           100.00     0.3  3.356E-4    78.4   -55.9     07/05/12;11:02;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-018X-6-W-57           100.00     0.4  1.723E-4    59.0   -35.3     07/05/12;11:02;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-022X-2-W-95           100.00     0.8  4.700E-5    55.3   -33.3     07/05/12;11:03;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-002H-1-W-109            200.00     0.5  1.459E-3    67.8   -41.7     07/05/12;13:32;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-002H-4-W-65            200.00     0.6  1.130E-3    85.7   -33.9     07/05/12;13:33;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-002H-6-W-7            200.00     0.9  6.067E-4    77.7   -47.2     07/05/12;13:34;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-003H-2-W-37            200.00     0.4  8.285E-4    85.6   -43.1     07/05/12;13:34;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-003H-6-W-66            200.00     0.6  1.625E-3    91.0   -45.3     07/05/12;13:35;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-2-W-18            200.00     0.5  3.773E-4    76.9   -43.4     07/05/12;13:38;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-2-W-44            200.00     0.5  2.772E-3    87.0   -43.6     07/05/12;13:39;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-2-W-130            200.00     0.5  9.654E-4    86.1   -46.0     07/05/12;13:39;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-3-W-100            200.00     0.5  1.250E-3    81.6   -43.5     07/05/12;13:40;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-3-W-145           200.00     0.6  1.720E-3    74.7   -37.4     07/05/12;13:40;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-4-W-102           200.00     0.5  7.874E-4    84.6   -34.8     07/05/12;13:41;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-4-W-120           200.00     0.4  8.039E-5    56.2   -24.5     07/05/12;13:42;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-5-W-139           200.00     0.4  7.690E-5    55.2   -29.2     07/05/12;13:42;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-006H-2-W-95           200.00     0.5  1.290E-3    75.2   -41.1     07/05/12;13:43;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-006H-6-W-22           200.00     0.3  1.841E-3    84.3   -42.3     07/05/12;13:43;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-007H-1-W-54           200.00     0.6  1.541E-3    84.7   -43.7     07/05/12;13:44;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-007H-2-W-125           200.00     0.5  6.768E-4    87.4   -38.9     07/05/12;13:44;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-007H-3-W-46           200.00     0.4  1.225E-4    60.2   -32.9     07/05/12;13:45;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-009H-6-W-31           200.00     0.4  7.887E-4    87.1   -41.0     07/05/12;13:45;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-010H-2-W-73           200.00     0.5  2.374E-3    84.0   -45.6     07/05/12;13:45;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-010H-4-W-37           200.00     0.5  2.098E-3    92.5   -45.1     07/05/12;13:46;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-010H-6-W-65           200.00     0.5  8.164E-4    90.7   -48.5     07/05/12;13:46;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-011H-3-W-70           200.00     0.5  2.997E-3    82.7   -39.6     07/05/12;13:47;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-012H-1-W-104           200.00     0.3  1.592E-5    64.3   -30.4     07/05/12;13:47;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-012H-5-W-70           200.00     0.4  3.716E-5    58.7   -22.3     07/05/12;13:48;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-013H-4-W-89           200.00     0.4  4.026E-5    58.6   -24.7     07/05/12;13:48;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-013H-6-W-88           200.00     0.4  3.170E-5    69.4   -31.1     07/05/12;13:49;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-014H-2-W-60           200.00     0.5  6.331E-5    54.2   -20.7     07/05/12;13:50;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-014H-6-W-13           200.00     0.5  1.558E-3    77.4   -38.0     07/05/12;13:50;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-015H-2-W-56           200.00     0.5  3.736E-5    66.4   -35.8     07/05/12;13:51;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-015H-4-W-83           200.00     0.3  2.362E-4    77.0   -50.5     07/05/12;13:51;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-018X-6-W-57           200.00     0.4  1.150E-4    60.3   -30.5     07/05/12;13:51;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-022X-2-W-95           200.00     0.4  3.196E-5    58.6   -30.6     07/05/12;13:52;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-002H-1-W-109            300.00     0.5  8.651E-4    69.0   -42.3     07/05/12;16:02;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-002H-4-W-65            300.00     0.5  6.009E-4    88.1   -32.4     07/05/12;16:03;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-002H-6-W-7            300.00     0.5  3.526E-4    76.0   -41.5     07/05/12;16:04;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-003H-2-W-37            300.00     0.4  3.454E-4    79.5   -39.6     07/05/12;16:04;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-003H-6-W-66            300.00     0.5  7.480E-4    90.4   -42.5     07/05/12;16:05;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-2-W-18            300.00     0.3  2.501E-4    75.0   -39.0     07/05/12;16:05;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-2-W-44            300.00     0.4  1.541E-3    83.2   -42.2     07/05/12;16:06;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-2-W-130            300.00     0.5  4.159E-4    82.5   -41.8     07/05/12;16:06;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-3-W-100            300.00     0.4  6.806E-4    84.3   -40.0     07/05/12;16:06;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-3-W-145           300.00     0.7  1.160E-3    78.8   -35.8     07/05/12;16:07;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-4-W-102           300.00     0.5  4.563E-4    85.6   -33.0     07/05/12;16:07;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-4-W-120           300.00     0.4  5.822E-5    54.6   -22.1     07/05/12;16:08;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-004H-5-W-139           300.00     0.5  5.611E-5    55.2   -28.0     07/05/12;16:08;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-006H-2-W-95           300.00     0.5  8.021E-4    78.3   -41.6     07/05/12;16:09;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-006H-6-W-22           300.00     0.5  1.009E-3    85.1   -40.7     07/05/12;16:09;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-007H-1-W-54           300.00     0.5  7.937E-4    82.1   -43.4     07/05/12;16:10;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-007H-2-W-125           300.00     0.5  5.048E-4    86.4   -35.7     07/05/12;16:10;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-007H-3-W-46           300.00     0.4  8.555E-5    59.0   -29.1     07/05/12;16:11;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-009H-6-W-31           300.00     0.5  3.746E-4    83.1   -36.1     07/05/12;16:11;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-010H-2-W-73           300.00     0.3  1.226E-3    82.1   -45.4     07/05/12;16:12;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-010H-4-W-37           300.00     0.6  1.247E-3    89.4   -41.7     07/05/12;16:12;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-010H-6-W-65           300.00     0.4  5.220E-4    93.5   -45.2     07/05/12;16:13;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-011H-3-W-70           300.00     0.5  2.295E-3    79.5   -37.3     07/05/12;16:13;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-012H-1-W-104           300.00     0.4  1.204E-5    69.4   -29.6     07/05/12;16:13;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-012H-5-W-70           300.00     0.5  2.732E-5    66.6   -21.6     07/05/12;16:14;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-013H-4-W-89           300.00     0.6  2.777E-5    65.8   -23.3     07/05/12;16:15;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-013H-6-W-88           300.00     0.3  2.521E-5    70.8   -30.3     07/05/12;16:15;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-014H-2-W-60           300.00     0.4  4.334E-5    60.2   -20.3     07/05/12;16:16;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-014H-6-W-13           300.00     0.4  1.233E-3    78.5   -35.8     07/05/12;16:16;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-015H-2-W-56           300.00     0.3  2.617E-5    70.4   -34.1     07/05/12;16:17;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-015H-4-W-83           300.00     0.3  1.428E-4    79.8   -48.1     07/05/12;16:17;¡C;0.0000;microT;Saiko;G34; 1
318-U1359A-018X-6-W-57           300.00     1.4  7.514E-5    60.4   -28.7     07/05/12;16:17;¡C;0.0000;microT;Saiko;G34; 1
