tab 	pmag_results
antipodal	average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_k	average_lat	average_lat_sigma	average_lon	average_lon_sigma	average_n	average_nn	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_sample_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	percent_reversed	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	reversal_test	tilt_correction	vadm	vadm_n	vadm_sigma	vdm	vdm_n	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
	1.18	0.005	Ma	4.2	258.6	78.6					215.9	-77.85		166.64		7	7	6.9745	i	Kristin Lawrence	This study	McMurdo		mc01	mc01a : mc01b : mc01c : mc01d : mc01e : mc01f : mc01h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc01	A	Site VGPA comp: (geog. coord).		0								4.5	8.1	-67.3	95.2	7
	0.33	0.01	Ma	2.1	328.6	-80					1079.2	-77.85		166.69		6	6	5.9958	i	Kristin Lawrence	This study	McMurdo		mc02	mc02a : mc02b : mc02c : mc02f : mc02g : mc02h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc02	A	Site VGPA comp: (geog. coord).		0								2.5	4.1	79	101.2	6
	0.348	0.004	Ma	2.3	352	-82.7					864.7	-77.84		166.76		6	6	5.9942	i	Kristin Lawrence	This study	McMurdo		mc03	mc03a : mc03b : mc03c : mc03d : mc03f : mc03h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc03	A	Site VGPA comp: (geog. coord).		0								3.8	4.4	87.1	123.1	6
	0.34	0.003	Ma	4.6	352.1	-86.8					292.3	-77.84		166.7		5	5	4.988	i	Kristin Lawrence	This study	McMurdo		mc04	mc04a : mc04b : mc04e : mc04f : mc04g	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc04	A	Site VGPA comp: (geog. coord).		0								17.4	8.9	84.1	355.2	5
	4	4	Ma	4.8	13.6	-78.8					254.4	-77.83		166.67		5	5	4.9843	i	Kristin Lawrence	This study	McMurdo		mc06	mc06a : mc06c : mc06d : mc06g : mc06h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc06	A	Site VGPA comp: (geog. coord).		0								5.2	9.3	79.8	196	5
	4	4	Ma	3.2	156.9	-69.1					555.9	-77.8		166.72		5	5	4.9928	i	Kristin Lawrence	This study	McMurdo		mc07	mc07b : mc07c : mc07d : mc07e : mc07f	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc07	A	Site VGPA comp: (geog. coord).		0								1.9	6.2	41.2	328.3	5
	0.65	0.025	Ma	2.7	38.5	-78.3					429.5	-77.8		166.83		8	8	7.9837	i	Kristin Lawrence	This study	McMurdo		mc08	mc08a : mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc08	A	Site VGPA comp: (geog. coord).		0								2.8	5.2	75.1	234.6	8
	0.074	0.0075	Ma	3.6	259.9	-82.7					234.2	-77.55		166.2		8	8	7.9701	i	Kristin Lawrence	This study	McMurdo		mc09	mc09a : mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc09	A	Site VGPA comp: (geog. coord).		0								6.1	6.9	69.5	30.4	8
	4	4	Ma	4.1	335.3	-78.6					184.5	-77.57		166.23		8	8	7.9621	i	Kristin Lawrence	This study	McMurdo		mc10	mc10a : mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc10	A	Site VGPA comp: (geog. coord).		0								4.5	7.9	78.2	116.5	8
	0.86	0.115	Ma	2.6	9.9	-76.6					582.7	-78.302		162.9		7	7	6.9914	i	Kristin Lawrence	This study	McMurdo		mc100	mc100a1 : mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc100	A	Site VGPA comp: (geog. coord).		0								2.3	5	75.9	180.6	7
	1.065	0.004	Ma	3.1	38.5	-80.6					460.8	-78.306		162.928		6	6	5.9891	i	Kristin Lawrence	This study	McMurdo		mc101	mc101a1 : mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc101	A	Site VGPA comp: (geog. coord).		0								3.8	6	78.4	239	6
	0.264	0.01	Ma	3.4	150.4	75.7					326.5	-78.235		163.352		7	7	6.9832	i	Kristin Lawrence	This study	McMurdo		mc102	mc102a1 : mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc102	A	Site VGPA comp: (geog. coord).		0								2.8	6.6	-72.3	295.8	7
	1.421	0.015	Ma	1.8	138.2	73.6					1460.2	-78.235		163.36		6	6	5.9966	i	Kristin Lawrence	This study	McMurdo		mc103	mc103a1 : mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc103	A	Site VGPA comp: (geog. coord).		0								1.3	3.5	-67	283.3	6
	0.29	0.01	Ma	3.2	72.1	-77.2					367.4	-78.238		163.401		7	7	6.9864	i	Kristin Lawrence	This study	McMurdo		mc104	mc104a1 : mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc104	A	Site VGPA comp: (geog. coord).		0								2.9	6.2	66.5	262.2	7
	0.86	0.035	Ma	2.1	193.2	69.5					671	-78.245		163.231		8	8	7.9896	i	Kristin Lawrence	This study	McMurdo		mc105	mc105a1 : mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc105	A	Site VGPA comp: (geog. coord).		0								1.2	4.1	-64.5	1.8	8
	13.42	0.09	Ma	3.8	19.5	-76.7					410.8	-78.21		163.308		5	5	4.9903	i	Kristin Lawrence	This study	McMurdo		mc106	mc106a1 : mc106b1 : mc106c1 : mc106d1 : mc106e1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc106	A	Site VGPA comp: (geog. coord).		0								3.4	7.4	75.3	197.5	5
	2.57	0.19	Ma	2	96	-84.8					1007.6	-78.204		163.347		7	7	6.995	i	Kristin Lawrence	This study	McMurdo		mc107	mc107c1 : mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc107	A	Site VGPA comp: (geog. coord).		0								4.5	3.9	73.6	304.3	7
	0.41	0.07	Ma	3.8	69.8	-72.4					403.2	-78.247		163.323		5	5	4.9901	i	Kristin Lawrence	This study	McMurdo		mc108	mc108a1 : mc108b1 : mc108d1 : mc108g2 : mc108k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc108	A	Site VGPA comp: (geog. coord).		0								2.6	7.4	59.8	252.3	5
	1.261	0.02	Ma	3.1	174.6	75.4					477.4	-78.282		163.544		6	6	5.9895	i	Kristin Lawrence	This study	McMurdo		mc109	mc109a1 : mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc109	A	Site VGPA comp: (geog. coord).		0								2.5	6	-74.1	334.4	6
	4	4	Ma	2.2	327.1	-77.1					621.8	-77.57		166.23		8	8	7.9887	i	Kristin Lawrence	This study	McMurdo		mc11	mc11a : mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc11	A	Site VGPA comp: (geog. coord).		0								2.1	4.2	74.4	109	8
	7.94	0.12	Ma	5.2	253.5	79.6					218.2	-78.238		163.443		5	5	4.9817	i	Kristin Lawrence	This study	McMurdo		mc110	mc110a2 : mc110b2 : mc110d1 : mc110g1 : mc110i1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc110	A	Site VGPA comp: (geog. coord).		0								5.9	10.1	-69.9	89.6	5
	1.99	0.02	Ma	1.7	47.9	-67.6					1243.3	-78.224		162.787		7	7	6.9952	i	Kristin Lawrence	This study	McMurdo		mc111	mc111a2 : mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc111	A	Site VGPA comp: (geog. coord).		0								0.9	3.3	57.4	223.9	7
	7.63	0.16	Ma	5.2	232.9	75.7					220.9	-78.238		163.441		5	5	4.9819	i	Kristin Lawrence	This study	McMurdo		mc112	mc112a1 : mc112d1 : mc112g1 : mc112h3 : mc112j1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc112	A	Site VGPA comp: (geog. coord).		0								4.3	10.1	-68.1	60	5
