tab 	pmag_results
antipodal	average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_k	average_lat	average_lat_sigma	average_lon	average_lon_sigma	average_n	average_nn	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_sample_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	percent_reversed	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	reversal_test	tilt_correction	vadm	vadm_n	vadm_sigma	vdm	vdm_n	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
	6.73	0.085	Ma	3	264.4	75.4					504.1	-78.226		162.735		6	6	5.9901	i	Kristin Lawrence	This study	McMurdo		mc113	mc113a1 : mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc113	A	Site VGPA comp: (geog. coord).		0								2.4	5.8	-61.3	89.3	6
	1.62	0.14	Ma	3.1	52.4	-69.7					614	-78.224		162.783		5	5	4.9935	i	Kristin Lawrence	This study	McMurdo		mc114	mc114a1 : mc114b2 : mc114c1 : mc114d2 : mc114i1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc114	A	Site VGPA comp: (geog. coord).		0								1.8	6	59.4	230.7	5
	2.46	0.155	Ma	3.5	77.7	68.1					359.2	-78.243		162.958		6	6	5.9861	i	Kristin Lawrence	This study	McMurdo		mc115	mc115a1 : mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc115	A	Site VGPA comp: (geog. coord).		0								1.9	6.8	-47.4	227.7	6
	1.14	0.055	Ma	6.5	274.6	-81.2					139.7	-78.222		162.744		5	5	4.9714	i	Kristin Lawrence	This study	McMurdo		mc116	mc116a1 : mc116b1 : mc116c1 : mc116i2 : mc116j2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc116	A	Site VGPA comp: (geog. coord).		0								8.7	12.6	70	42.5	5
	2.28	0.12	Ma	1.2	164.5	70					3152.4	-78.235		162.973		6	6	5.9984	i	Kristin Lawrence	This study	McMurdo		mc117	mc117a1 : mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc117	A	Site VGPA comp: (geog. coord).		0								0.7	2.3	-65.1	321	6
	0.31	0.02	Ma	6.1	58.9	-53.1					99	-78.241		163.141		7	7	6.9394	i	Kristin Lawrence	This study	McMurdo		mc118	mc118a1 : mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc118	A	Site VGPA comp: (geog. coord).		0								2.1	11.8	39.1	229.8	7
	1.08	0.11	Ma	2.3	124.8	49					864.8	-78.239		162.957		6	6	5.9942	i	Kristin Lawrence	This study	McMurdo		mc119	mc119a1 : mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc119	A	Site VGPA comp: (geog. coord).		0								0.7	4.5	-36.1	281.2	6
	1.756	0.025	Ma	2.3	73.6	-70.6					509.6	-78.241		163.092		9	9	8.9843	i	Kristin Lawrence	This study	McMurdo		mc120	mc120a1 : mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc120	A	Site VGPA comp: (geog. coord).		0								1.4	4.5	56.5	253.9	9
	2.505	0.03	Ma	2.3	117.4	78.4					389.2	-78.235		162.954		11	11	10.9743	i	Kristin Lawrence	This study	McMurdo		mc121	mc121a1 : mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc121	A	Site VGPA comp: (geog. coord).		0								2.3	4.5	-70.3	250	11
	12.699	0.045	Ma	5.8	12.2	-72.4					177.8	-78.187		163.58		5	5	4.9775	i	Kristin Lawrence	This study	McMurdo		mc122	mc122a1 : mc122b1 : mc122c1 : mc122d1 : mc122k2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc122	A	Site VGPA comp: (geog. coord).		0								3.9	11.2	69	182	5
	1.93	0.025	Ma	3.1	76.1	-82.1					317.2	-78.254		163.729		8	8	7.9779	i	Kristin Lawrence	This study	McMurdo		mc123	mc123a1 : mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc123	A	Site VGPA comp: (geog. coord).		0								4.6	6	73	280.9	8
	12.61	0.055	Ma	2.4	13.2	-73.4					654.8	-78.186		163.567		7	7	6.9908	i	Kristin Lawrence	This study	McMurdo		mc124	mc124a1 : mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc124	A	Site VGPA comp: (geog. coord).		0								1.7	4.6	70.5	184.1	7
	4.26	0.09	Ma	5.4	345	-67.7					92.4	-78.254		163.73		9	9	8.9134	i	Kristin Lawrence	This study	McMurdo		mc125	mc125a1 : mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc125	A	Site VGPA comp: (geog. coord).		0								2.9	10.5	61.8	143.4	9
	4	4	Ma	5.5	359.4	-79.6					103.2	-78.253		163.737		8	8	7.9321	i	Kristin Lawrence	This study	McMurdo		mc126	mc126a2 : mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc126	A	Site VGPA comp: (geog. coord).		0								6.2	10.7	81.6	162.3	8
	1.942	0.034	Ma	2.1	326.2	-67.2					666.9	-78.254		163.733		8	8	7.9895	i	Kristin Lawrence	This study	McMurdo		mc127	mc127a1 : mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc127	A	Site VGPA comp: (geog. coord).		0								1.1	4.1	59.1	119.5	8
	4	4	Ma	2.8	36.9	-80.1					395.8	-78.21		166.571		8	8	7.9823	i	Kristin Lawrence	This study	McMurdo		mc128	mc128b1 : mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc128	A	Site VGPA comp: (geog. coord).		0								3.3	5.4	78	238.4	8
	4	4	Ma	2.3	22.1	-54.5					490.9	-78.214		166.577		9	9	8.9837	i	Kristin Lawrence	This study	McMurdo		mc129	mc129a1 : mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc129	A	Site VGPA comp: (geog. coord).		0								0.8	4.5	45.8	192.8	9
	0.055	0.005	Ma	3.5	110.5	-70.6					259.5	-77.64		166.41		8	8	7.975	i	Kristin Lawrence	This study	McMurdo		mc13	mc13a : mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc13	A	Site VGPA comp: (geog. coord).		0								2.3	6.8	49.1	291	8
	7.251	0.035	Ma	3.3	150.5	46.1					405.9	-78.21		166.579		6	6	5.9877	i	Kristin Lawrence	This study	McMurdo		mc130	mc130a1 : mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc130	A	Site VGPA comp: (geog. coord).		0								1	6.4	-37.5	313.1	6
	4	4	Ma	2.4	22.3	-58.1					526.8	-78.214		166.573		8	8	7.9867	i	Kristin Lawrence	This study	McMurdo		mc131	mc131a3 : mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc131	A	Site VGPA comp: (geog. coord).		0								0.9	4.6	49.5	193.7	8
	4	4	Ma	5	6.3	38.3					195.4	-78.206		166.552		6	6	5.9795	i	Kristin Lawrence	This study	McMurdo		mc132	mc132a1 : mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc132	A	Site VGPA comp: (geog. coord).		0								1.3	9.7	-9.8	172.5	6
	4	4	Ma	4.4	36.3	-85.7					235	-78.199		166.584		6	6	5.9787	i	Kristin Lawrence	This study	McMurdo		mc133	mc133b2 : mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc133	A	Site VGPA comp: (geog. coord).		0								12	8.5	83	300.6	6
	9.02	0.025	Ma	2.6	12.5	-84.3					886.4	-78.219		166.607		5	5	4.9955	i	Kristin Lawrence	This study	McMurdo		mc134	mc134a1 : mc134c1 : mc134e1 : mc134f1 : mc134k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc134	A	Site VGPA comp: (geog. coord).		0								5.3	5	87.5	273.8	5
	4	4	Ma	3.8	264.1	-77.8					215.3	-78.231		166.565		8	8	7.9675	i	Kristin Lawrence	This study	McMurdo		mc135	mc135a1 : mc135b1 : mc135c2 : mc135d2 : mc135e1 : mc135e2 : mc135h2 : mc135i2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc135	A	Site VGPA comp: (geog. coord).		0								3.7	7.4	62.9	46.7	8
	1.99	0.3	Ma	3.5	103.4	18.5					513.7	-78.282		163.329		5	5	4.9932	i	Kristin Lawrence	This study	McMurdo		mc136	mc136a1 : mc136c1 : mc136d1 : mc136d2 : mc136e1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc136	A	Site VGPA comp: (geog. coord).		0								0.7	6.8	-12	264.5	5
	0.882	0.04	Ma	2.3	168.6	79					1124.5	-78.26		163.08		5	5	4.9964	i	Kristin Lawrence	This study	McMurdo		mc139	mc139a2 : mc139d1 : mc139e1 : mc139h1 : mc139j2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc139	A	Site VGPA comp: (geog. coord).		0								2.5	4.5	-80	318.7	5
	4	4	Ma	2.6	0.9	-80.8					439.5	-77.46		169.23		8	8	7.9841	i	Kristin Lawrence	This study	McMurdo		mc14	mc14a : mc14b : mc14c : mc14d : mc14e : mc14f : mc14g : mc14h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc14	A	Site VGPA comp: (geog. coord).		0								3.5	5	84.6	172.2	8
	2.043	0.045	Ma	2.4	343.7	-79.2					654.7	-78.276		163.004		7	7	6.9916	i	Kristin Lawrence	This study	McMurdo		mc140	mc140a1 : mc140b1 : mc140d1 : mc140e1 : mc140g1 : mc140h1 : mc140j1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc140	A	Site VGPA comp: (geog. coord).		0								2.6	4.7	79.8	128.4	7
	1.31	0.01	Ma	2.6	133	83.5					549.9	-77.58		166.246		7	7	6.9891	i	Kristin Lawrence	This study	McMurdo		mc141	mc141b1 : mc141b2 : mc141c1 : mc141g1 : mc141h3 : mc141k2 : mc141l1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc141	A	Site VGPA comp: (geog. coord).		0								4.9	5	-80	235.4	7
	1.225	0.01	Ma	2	311.9	84.7					585	-77.851		166.68		10	10	9.9846	i	Kristin Lawrence	This study	McMurdo		mc142	mc142b2 : mc142c1 : mc142c2 : mc142d1 : mc142e1 : mc142e2 : mc142f2 : mc142i2 : mc142k1 : mc142k2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc142	A	Site VGPA comp: (geog. coord).		0								4.6	3.9	-69.3	144.1	10
	2.08	0.329	Ma	5.1	29.7	-48.6					172.2	-78.244		162.879		6	6	5.971	i	Kristin Lawrence	This study	McMurdo		mc143	mc143a1 : mc143c1 : mc143d2 : mc143g1 : mc143h1 : mc143i1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc143	A	Site VGPA comp: (geog. coord).		0								1.6	9.9	39.6	196.9	6
	1.25	0.5	Ma	4	194.4	79.9					195.5	-77.85		166.688		8	8	7.9667	i	Kristin Lawrence	This study	McMurdo		mc144	mc144a1 : mc144b1 : mc144d1 : mc144e1 : mc144f1 : mc144h2 : mc144j1 : mc144j2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc144	A	Site VGPA comp: (geog. coord).		0								4.8	7.7	-81.6	21.6	8
	1.9	0.06	Ma	3.5	28.6	2.7					378	-78.24		162.893		6	6	5.9868	i	Kristin Lawrence	This study	McMurdo		mc145	mc145b1 : mc145f1 : mc145i1 : mc145j1 : mc145k2 : mc145l1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc145	A	Site VGPA comp: (geog. coord).		0								0.7	6.8	9	191.9	6
	1.37	0.21	Ma	5.6	236.3	62					117.8	-78.22		162.963		7	7	6.9491	i	Kristin Lawrence	This study	McMurdo		mc146	mc146a1 : mc146d1 : mc146e1 : mc146f1 : mc146h1 : mc146j1 : mc146k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc146	A	Site VGPA comp: (geog. coord).		0								2.4	10.8	-48.9	50.1	7
	1.63	0.16	Ma	2.7	220.2	67.4					830.9	-78.196		162.962		5	5	4.9952	i	Kristin Lawrence	This study	McMurdo		mc147	mc147a1 : mc147c1 : mc147i1 : mc147j2 : mc147k2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc147	A	Site VGPA comp: (geog. coord).		0								1.4	5.2	-58.5	35.1	5
	0.718	0.33	Ma	5.7	282.1	-80.2					140.6	-77.492		167.249		6	6	5.9644	i	Kristin Lawrence	This study	McMurdo		mc148	mc148a1 : mc148b1 : mc148f1 : mc148i1 : mc148j1 : mc148k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc148	A	Site VGPA comp: (geog. coord).		0								7.3	11	69.6	53.9	6
	1.33	0.01	Ma	1.8	166.3	84.2					819.9	-77.47		169.23		9	9	8.9902	i	Kristin Lawrence	This study	McMurdo		mc15	mc15a : mc15b : mc15c : mc15c2 : mc15d : mc15e : mc15f : mc15g : mc15h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc15	A	Site VGPA comp: (geog. coord).		0								3.9	3.5	-87	232.5	9
	3.57	0.07	Ma	6.9	253.5	84.3					125.5	-77.714		162.637		5	5	4.9681	i	Kristin Lawrence	This study	McMurdo		mc150	mc150b1 : mc150c1 : mc150e1 : mc150f1 : mc150g1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc150	A	Site VGPA comp: (geog. coord).		0								14.8	13.3	-75.9	112.1	5
	3.87	0.075	Ma	1.9	327.2	-85.3					1325.5	-77.716		162.645		6	6	5.9966	i	Kristin Lawrence	This study	McMurdo		mc152	mc152a1 : mc152b1 : mc152b2 : mc152c1 : mc152i1 : mc152k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc152	A	Site VGPA comp: (geog. coord).		0								4.9	3.7	83.3	31.5	6
	2.53	0.065	Ma	5.8	315.9	58.4					109.7	-77.76		162.144		7	7	6.9453	i	Kristin Lawrence	This study	McMurdo		mc153	mc153a1 : mc153a2 : mc153c1 : mc153e1 : mc153i1 : mc153j1 : mc153m1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc153	A	Site VGPA comp: (geog. coord).		0								2.3	11.2	-29.9	123.6	7
