,treat,nrm,arm0,trm1,arm1,trm2,arm2,trm1_star,trm2_star
0,0.0,4.4250746239345365e-07,1.0781499238547285e-07,3.9969492689583864e-07,1.0663852897394281e-07,3.939961197222549e-07,1.0619103259308368e-07,4.041044631281138e-07,3.9565644671355433e-07
1,2.0,4.529993367062942e-07,1.060761519481331e-07,3.976909349438042e-07,1.0456557682988845e-07,3.9153562451798556e-07,1.0478361929070782e-07,4.034360572803344e-07,3.9072088466030323e-07
2,5.0,4.5435439184847236e-07,1.0254579757104264e-07,3.878642099323004e-07,1.0213587439296222e-07,3.8264829561181514e-07,1.0278816289281546e-07,3.894209061523511e-07,3.802200288183294e-07
3,8.0,4.377627937284421e-07,9.782038249945332e-08,3.7343373127179435e-07,9.508550158790855e-08,3.6977896936670194e-07,9.505200650029172e-08,3.84174556805937e-07,3.6990927465360574e-07
4,10.0,4.243359354604961e-07,9.008339245488965e-08,3.623380424522889e-07,9.037972453414269e-08,3.583355867828946e-07,9.027112125015837e-08,3.6115002836986273e-07,3.5876669277730477e-07
5,12.0,4.1135321876514743e-07,8.381615670251593e-08,3.5001795636047134e-07,8.426045182311766e-08,3.470580198575864e-07,8.50487614371795e-08,3.4817235422128036e-07,3.4384116908788903e-07
6,15.0,3.8656961199325224e-07,7.471138759460535e-08,3.200160848079725e-07,7.564516013046909e-08,3.279940653292231e-07,7.646973900647734e-08,3.160657695397791e-07,3.244572809588248e-07
7,18.0,3.570965374453736e-07,6.580997144502212e-08,3.085492996178554e-07,6.777961301629498e-08,3.0704759737389734e-07,6.787209040056067e-08,2.995830116697618e-07,3.0662923750782243e-07
8,20.0,3.348258458623073e-07,6.008844236072544e-08,2.9209082992290037e-07,6.066851755799606e-08,2.901361962237651e-07,6.170520619609455e-08,2.8929803635205866e-07,2.852617145281618e-07
9,25.0,2.75222736436993e-07,4.610733722355149e-08,2.412235767478623e-07,4.7331103972237816e-08,2.428910517737985e-07,4.960149201671062e-08,2.3498663386150223e-07,2.317733027377237e-07
10,30.0,2.0471743156115866e-07,3.543294609630301e-08,1.8243579242318607e-07,3.705097044049662e-08,1.8838881506351085e-07,3.8167149584058603e-08,1.7446877968685215e-07,1.8287947866962745e-07
11,35.0,1.431410526873712e-07,2.6401187710817942e-08,1.3277545147259747e-07,2.694538421769524e-08,1.3419665835588526e-07,2.8183114628124917e-08,1.30093881363718e-07,1.2830308387993416e-07
12,40.0,1.0223582774718834e-07,2.068922149785789e-08,9.408827869191396e-08,2.125067393141033e-08,9.49557662853781e-08,2.2405025555083156e-08,9.160242373922684e-08,9.006345573125088e-08
13,45.0,7.743262723337992e-08,1.704852873486745e-08,7.050429167206477e-08,1.667098264519738e-08,6.972268933929544e-08,1.8202105675344296e-08,7.210099536927692e-08,6.385776265030373e-08
14,50.0,6.022078122607649e-08,1.4302473614504233e-08,5.5049077470817374e-08,1.3528226128693851e-08,5.397345741054002e-08,1.452432220191434e-08,5.8199646468001656e-08,5.02718906016127e-08
15,60.0,4.3145931483261886e-08,9.150179552334948e-09,3.9331536125502465e-08,9.567173921222265e-09,3.719633003443433e-08,1.0706466363870733e-08,3.7617233739126777e-08,3.32382082543582e-08
16,70.0,3.3620365579009495e-08,6.216007535441206e-09,2.910627778008696e-08,7.191916980215285e-09,2.7091832182401896e-08,7.994169200382263e-09,2.5156692229260078e-08,2.4373040276460773e-08
17,80.0,2.7537151948104034e-08,5.058535104131949e-09,2.356771170776295e-08,5.112843542574575e-09,2.1468407358745943e-08,5.8634811183429845e-09,2.3317376329835447e-08,1.872004116976573e-08
18,90.0,2.2107892820872176e-08,4.425934274421035e-09,1.9018103183749347e-08,3.835990440587708e-09,1.729605558545593e-08,4.727428157618753e-09,2.19429313026484e-08,1.4034587448728654e-08
19,100.0,1.762866752627464e-08,2.569177338127313e-09,1.5122983756048136e-08,2.8321943560690656e-09,1.365562371312326e-08,3.340051119113238e-09,1.3718559627677917e-08,1.157927798996641e-08
20,120.0,1.0090819551865701e-08,2.6475284385721017e-09,9.470723838233698e-09,1.7273763446946232e-09,7.328591652952833e-09,1.981555346981847e-09,1.451566172745013e-08,6.388535087106584e-09
21,140.0,5.838955977957134e-09,1.135870941647143e-09,5.846940389128279e-09,1.4932226534060443e-09,4.473839534804167e-09,3.2537984833745647e-09,4.447675415588474e-09,2.0531199381913644e-09
22,160.0,2.0457009221850344e-09,1.269498553726367e-09,3.3526638207425563e-09,9.931666143698605e-10,1.9557006381595204e-09,9.636211091290495e-10,4.2854862517341505e-09,2.0156642098442717e-09
23,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
