Core Summary Report for Expedition 318, Site U1359, Hole B Generated On 09/07/2012 20:40
Label ID,Expedition,Site,Hole,Core #,Core Type,Core Top (m),Advanced (m),Cored bottom (m),Recovered Length (m),Recovered Bottom (m),Percent Recovery (%),Time on Deck (UTC),Section Count,Core Label
318-U1359B-1H,318,U1359,B,1,H,0.0,7.7,7.7,7.74,7.74,101,02/09/2010 07:35,6,1H
318-U1359B-2H,318,U1359,B,2,H,7.7,9.5,17.2,9.15,16.85,96,02/09/2010 08:30,7,2H
318-U1359B-3H,318,U1359,B,3,H,17.2,9.5,26.7,9.53,26.73,100,02/09/2010 09:10,8,3H
318-U1359B-4H,318,U1359,B,4,H,26.7,9.5,36.2,4.43,31.13,47,02/09/2010 09:50,4,4H
318-U1359B-5H,318,U1359,B,5,H,36.2,9.5,45.7,5.40,41.60,57,02/09/2010 10:35,5,5H
318-U1359B-6H,318,U1359,B,6,H,45.7,9.5,55.2,7.97,53.67,84,02/09/2010 11:15,7,6H
318-U1359B-7H,318,U1359,B,7,H,55.2,9.5,64.7,8.32,63.53,88,02/09/2010 12:35,7,7H
318-U1359B-8H,318,U1359,B,8,H,64.7,9.5,74.2,9.52,74.22,100,02/09/2010 13:40,8,8H
318-U1359B-9H,318,U1359,B,9,H,74.2,9.5,83.7,9.58,83.78,101,02/09/2010 14:25,8,9H
318-U1359B-10H,318,U1359,B,10,H,83.7,9.5,93.2,9.44,93.14,99,02/09/2010 15:05,8,10H
318-U1359B-11H,318,U1359,B,11,H,93.2,9.5,102.7,8.77,101.97,92,02/09/2010 15:50,7,11H
318-U1359B-12H,318,U1359,B,12,H,102.7,9.5,112.2,9.85,112.55,104,02/09/2010 16:45,8,12H
318-U1359B-13H,318,U1359,B,13,H,112.2,9.5,121.7,8.12,120.32,85,02/09/2010 17:30,7,13H
318-U1359B-14H,318,U1359,B,14,H,121.7,9.5,131.2,6.97,128.67,73,02/09/2010 18:25,6,14H
318-U1359B-15H,318,U1359,B,15,H,131.2,9.5,140.7,3.64,134.84,38,02/09/2010 19:10,4,15H
318-U1359B-16H,318,U1359,B,16,H,140.7,9.5,150.2,5.65,146.35,59,02/09/2010 19:55,5,16H
318-U1359B-17H,318,U1359,B,17,H,150.2,9.5,159.7,9.34,159.54,98,02/09/2010 20:50,8,17H
318-U1359B-18H,318,U1359,B,18,H,159.7,9.5,169.2,9.54,169.24,100,02/09/2010 21:35,8,18H
318-U1359B-19H,318,U1359,B,19,H,169.2,9.5,178.7,9.39,178.59,99,02/09/2010 22:25,8,19H
318-U1359B-20H,318,U1359,B,20,H,178.7,9.5,188.2,9.42,188.12,99,02/09/2010 23:15,8,20H
318-U1359B-21H,318,U1359,B,21,H,188.2,9.5,197.7,9.95,198.15,105,02/10/2010 00:05,8,21H
318-U1359B-22H,318,U1359,B,22,H,197.7,9.5,207.2,10.03,207.73,106,02/10/2010 00:55,8,22H
318-U1359B-23H,318,U1359,B,23,H,207.2,1.8,209.0,1.84,209.04,102,02/10/2010 01:45,2,23H
318-U1359B-24X,318,U1359,B,24,X,209.0,4.7,213.7,1.46,210.46,31,02/10/2010 04:10,2,24X
318-U1359B-25X,318,U1359,B,25,X,213.7,9.6,223.3,9.66,223.36,101,02/10/2010 05:05,8,25X
318-U1359B-26X,318,U1359,B,26,X,223.3,9.5,232.8,3.34,226.64,35,02/10/2010 06:00,5,26X
318-U1359B-27X,318,U1359,B,27,X,232.8,9.6,242.4,0.16,232.96,2,02/10/2010 07:20,1,27X
318-U1359B-28X,318,U1359,B,28,X,242.4,9.6,252.0,0.71,243.11,7,02/10/2010 08:30,2,28X
TOTALS:,,,,,,,252.0,,198.93,,79,,173,
