tab	er_specimens
specimen_weight	er_specimen_name
0.000991292	318-U1357A-002H-1-W-5
0.000825292	318-U1357A-002H-1-W-15
0.000568292	318-U1357A-002H-1-W-25
0.001184292	318-U1357A-002H-1-W-35
0.001077292	318-U1357A-002H-1-W-45
0.000810292	318-U1357A-002H-1-W-55
0.001135292	318-U1357A-002H-1-W-65
0.001104292	318-U1357A-002H-1-W-75
0.001766292	318-U1357A-002H-1-W-85
0.001257405	318-U1357A-002H-1-W-95
0.000529938	318-U1357A-002H-1-W-105
0.001274979	318-U1357A-002H-1-W-115
0.000982316	318-U1357A-002H-1-W-125
0.001902246	318-U1357A-002H-1-W-135
0.001636395	318-U1357A-002H-1-W-145
0.001463252	318-U1357A-002H-2-W-5
0.001373013	318-U1357A-002H-2-W-15
0.001807003	318-U1357A-002H-2-W-25
0.000860368	318-U1357A-002H-2-W-35
0.001575753	318-U1357A-002H-2-W-45
0.000965262	318-U1357A-002H-2-W-55
0.002178405	318-U1357A-002H-2-W-65
0.002055472	318-U1357A-002H-2-W-76
0.002170755	318-U1357A-002H-2-W-85
0.001359961	318-U1357A-002H-2-W-95
0.001517607	318-U1357A-002H-2-W-105
0.001436025	318-U1357A-002H-2-W-115
0.001236761	318-U1357A-002H-2-W-125
0.002320896	318-U1357A-002H-2-W-135
0.002664948	318-U1357A-002H-2-W-145
0.001916936	318-U1357A-002H-3-W-5
0.001060494	318-U1357A-002H-3-W-15
0.001325372	318-U1357A-002H-3-W-25
0.001237319	318-U1357A-002H-3-W-35
0.000656936	318-U1357A-002H-3-W-45
0.000789891	318-U1357A-002H-3-W-55
0.000684863	318-U1357A-002H-3-W-65
0.001111019	318-U1357A-002H-3-W-75
0.000959358	318-U1357A-002H-3-W-85
0.001514632	318-U1357A-002H-3-W-95
0.001445869	318-U1357A-002H-3-W-105
0.001207766	318-U1357A-002H-3-W-115
0.00084656	318-U1357A-002H-3-W-125
0.001019724	318-U1357A-002H-3-W-135
0.000812422	318-U1357A-002H-3-W-145
0.002204912	318-U1357A-002H-4-W-5
0.001613565	318-U1357A-002H-4-W-15
0.001225112	318-U1357A-002H-4-W-25
0.000928918	318-U1357A-002H-4-W-35
0.001079842	318-U1357A-002H-4-W-45
0.000783105	318-U1357A-002H-4-W-55
0.001565957	318-U1357A-002H-4-W-65
0.000907623	318-U1357A-002H-4-W-75
0.0016581	318-U1357A-002H-4-W-85
0.001735983	318-U1357A-002H-4-W-95
0.001268287	318-U1357A-002H-4-W-105
0.002143864	318-U1357A-002H-4-W-115
0.001417891	318-U1357A-002H-4-W-125
0.001301099	318-U1357A-002H-4-W-135
0.001417665	318-U1357A-002H-4-W-145
0.002373392	318-U1357A-002H-5-W-5
0.000652592	318-U1357A-002H-5-W-25
0.001391892	318-U1357A-002H-5-W-35
0.001125492	318-U1357A-002H-5-W-45
0.000351692	318-U1357A-002H-5-W-55
0.001215192	318-U1357A-002H-5-W-65
0.002330192	318-U1357A-002H-5-W-76
0.001385892	318-U1357A-002H-5-W-85
0.001623792	318-U1357A-002H-5-W-95
0.001322392	318-U1357A-002H-5-W-105
0.000977292	318-U1357A-002H-5-W-115
0.001531692	318-U1357A-002H-5-W-125
0.001623192	318-U1357A-002H-5-W-135
0.000949092	318-U1357A-002H-5-W-145
0.000971292	318-U1357A-002H-6-W-5
0.000608392	318-U1357A-002H-6-W-15
0.000987492	318-U1357A-002H-6-W-25
0.001635692	318-U1357A-002H-6-W-35
0.001279592	318-U1357A-002H-6-W-45
0.000976692	318-U1357A-002H-6-W-53
0.000826492	318-U1357A-002H-6-W-65
0.001335792	318-U1357A-002H-6-W-73
0.000968292	318-U1357A-002H-6-W-85
0.001169592	318-U1357A-002H-6-W-95
0.001793692	318-U1357A-002H-6-W-105
0.001456292	318-U1357A-002H-6-W-115
0.001842392	318-U1357A-002H-6-W-125
0.001536992	318-U1357A-002H-CC-W-5
0.001709392	318-U1357A-002H-CC-W-15
0.001057392	318-U1357A-003H-1-W-15
0.001363092	318-U1357A-003H-1-W-25
0.001276192	318-U1357A-003H-1-W-35
0.001462992	318-U1357A-003H-1-W-45
