tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	318	U1359C	CUBE1494392	318-U1359C-018H-1-W-82	318-U1359C-018H-1-W-82	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	169.01	160.02	2011:10:21:14:27:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1494402	318-U1359C-018H-2-W-54	318-U1359C-018H-2-W-54	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	170.23	161.28	2011:10:21:14:27:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1494412	318-U1359C-018H-3-W-65	318-U1359C-018H-3-W-65	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	171.84	162.89	2011:10:21:14:27:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1494422	318-U1359C-018H-4-W-81	318-U1359C-018H-4-W-81	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	173.5	164.55	2011:10:21:14:27:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1494432	318-U1359C-018H-5-W-70	318-U1359C-018H-5-W-70	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	174.89	165.94	2011:10:21:14:27:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1494442	318-U1359C-018H-6-W-80	318-U1359C-018H-6-W-80	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	176.49	167.54	2011:10:21:14:27:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1494452	318-U1359C-018H-7-W-8	318-U1359C-018H-7-W-8	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	177.27	168.32	2011:10:21:14:27:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_1A-1.05	318-U1359C-001H_1A-1.05	FS-C-DRILL-IODP:SO-V	0			Sedimentary	1.05	1.05		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_1A-1.1	318-U1359C-001H_1A-1.1	FS-C-DRILL-IODP:SO-V	0			Sedimentary	1.1	1.1		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_1A-1.15	318-U1359C-001H_1A-1.15	FS-C-DRILL-IODP:SO-V	0			Sedimentary	1.15	1.15		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_1A-1.2	318-U1359C-001H_1A-1.2	FS-C-DRILL-IODP:SO-V	0			Sedimentary	1.2	1.2		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_1A-1.25	318-U1359C-001H_1A-1.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary	1.25	1.25		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_1A-1.3	318-U1359C-001H_1A-1.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary	1.3	1.3		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_1A-1.35	318-U1359C-001H_1A-1.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary	1.35	1.35		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_1A-1.4	318-U1359C-001H_1A-1.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary	1.4	1.4		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_2A-1	318-U1359C-001H_2A-1	FS-C-DRILL-IODP:SO-V	0			Sedimentary	2.5	2.5		0	-64.8541	Not Specified	143.9604	Sediment Layer
