tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.	1.4	30.3	15.8			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr28f1	4.139e-05	-1.035	0.122	0.126	u	3	0.803	0.641	1.5	-1	6	5	4.9	0.9415	t	4e-05	823	623	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr28f	sr28f1
This study	Recalculated from original measurements; supercedes published results.	0.8	31.1	26.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr28h1	3.509e-05	-0.877	0.101	0.089	u	7.9	0.805	0.54	0.7	3	5	5	5.7	0.9696	t	4e-05	848	723	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-TRM:LP-PI-ZI	g	sr28h	sr28h1
This study	Recalculated from original measurements; supercedes published results.	3.3	138.3	48.9			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29a1	9.368e-05	-2.342	0.037	0.088	u	30.1	0.215	0.208	7.2	-1	7	5	4.4	0.993	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr29a	sr29a1
This study	Recalculated from original measurements; supercedes published results.	1.8	132.9	50.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr29a2	9.895e-05	-2.474	0.049	0.12	u	21.9	0.494	0.494	3.8	4	9	5	8.1	0.9836	t	4e-05	773	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-TRM:LP-PI-ZI	g	sr29a	sr29a2
This study	Recalculated from original measurements; supercedes published results.	2.6	155.8	8.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29b1	8.047e-05	-2.012	0.021	0.042	u	1.6	0.339	0.321	4.7	-1	6	5	10.4	0.9982	t	4e-05	673	423	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr29b	sr29b1
This study	Recalculated from original measurements; supercedes published results.	9.4	139.8	17.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29c1	6.107e-05	-1.527	0.058	0.089	u	8.3	0.197	0.199	7.3	-1	6	6	2.6	0.9865	t	4e-05	623	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr29c	sr29c1
This study	Recalculated from original measurements; supercedes published results.	0.9	150.8	31.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr29g1	7.851e-05	-1.963	0.11	0.217	u	7	0.261	0.27	3.7	2	5	5	1.7	0.9638	t	4e-05	573	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-TRM:LP-PI-ZI	g	sr29g	sr29g1
This study	Recalculated from original measurements; supercedes published results.	9.9	136.8	39			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr29h1	8.088e-05	-2.022	0.045	0.09	u	20.6	0.186	0.187	3.9	-1	6	5	3.3	0.9921	t	4e-05	623	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr29h	sr29h1
This study	Recalculated from original measurements; supercedes published results.	0.4	184.4	49.1			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30a1	4.95e-05	-1.238	0.046	0.057	u	3.5	0.65	0.643	1.4	-1	5	5	10	0.9936	t	4e-05	573	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr30a	sr30a1
This study	Recalculated from original measurements; supercedes published results.	1.3	189.7	50.4			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr30a2	4.845e-05	-1.211	0.034	0.041	u	13.2	0.711	0.704	1.4	4	6	5	15.6	0.9954	t	4e-05	623	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-TRM:LP-PI-ZI	g	sr30a	sr30a2
This study	Recalculated from original measurements; supercedes published results.	4.6	198.4	30.6			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30c1	5.667e-05	-1.417	0.066	0.093	u	16.1	0.286	0.275	5.9	-1	7	5	3.5	0.9784	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr30c	sr30c1
This study	Recalculated from original measurements; supercedes published results.	7.5	198.5	24.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30e1	6.559e-05	-1.64	0.036	0.058	u	26.8	0.336	0.326	4.4	-1	6	5	7.5	0.9949	t	4e-05	623	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr30e	sr30e1
This study	Recalculated from original measurements; supercedes published results.	5.7	216.5	36.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30i1	7.242e-05	-1.81	0.102	0.184	u	1.2	0.247	0.242	7.6	-1	7	5	2	0.9489	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr30i	sr30i1
