tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.4	186.3		g	6.1	2.684e-05	14	u	2.730e+02	0	2.500e-05	0.0	90.0	6.980e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	186.2		g	11.0	2.731e-05	15	u	2.730e+02	0	0	0	0	6.980e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	187.1		g	10.0	2.730e-05	16	u	2.730e+02	0	0	0	0	7.230e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	186.1		g	6.0	2.703e-05	17	u	2.730e+02	0	2.500e-05	0.0	90.0	6.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.4	184.1		g	5.8	2.697e-05	18	u	2.730e+02	0	2.500e-05	0.0	90.0	7.230e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-PTRM-MD:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	187.1		g	10.8	2.732e-05	19	u	2.730e+02	0	0	0.0	90.0	7.230e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	183.3		g	4.6	2.668e-05	20	u	2.730e+02	0	2.500e-05	0.0	90.0	7.480e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	187.2		g	10.5	2.707e-05	21	u	2.730e+02	0	0	0	0	7.480e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	186.0		g	11.1	2.653e-05	22	u	2.730e+02	0	0	0	0	7.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	185.7		g	5.6	2.621e-05	23	u	2.730e+02	0	2.500e-05	0.0	90.0	7.230e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	185.8		g	3.5	2.598e-05	24	u	2.730e+02	0	2.500e-05	0.0	90.0	7.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-PTRM-MD:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	183.0		g	10.3	2.631e-05	25	u	2.730e+02	0	0	0.0	90.0	7.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	183.8		g	2.2	2.561e-05	26	u	2.730e+02	0	2.500e-05	0.0	90.0	7.830e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	185.3		g	10.6	2.593e-05	27	u	2.730e+02	0	0	0	0	7.830e+02
