tab	sites
site	location	samples	specimens	age	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	description	software_packages	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	citations	method_codes	result_quality	result_type	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc06	McMurdo		mc06c : mc06d : mc06g : mc06h:mc06a	4.0	4.0	Ma	4.8		13.6	-78.8	254.4	5.0			p	n	4.9843	0.0	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc06, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							5.2	9.3	79.8	196.0	5.0
mc07	McMurdo		mc07c : mc07d : mc07e : mc07f:mc07b	4.0	4.0	Ma	3.2	A	156.9	-69.1	555.9	5.0	5.0	0.0	p	n	4.9928	0.0	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc07	McMurdo		mc07c : mc07d : mc07e : mc07f:mc07b	4.0	4.0	Ma	3.2		156.9	-69.1	555.9	5.0			p	n	4.9928	0.0	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc07, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							1.9	6.2	41.2	328.3	5.0
mc08	McMurdo		mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h:mc08a	0.65	0.025	Ma	2.7	A	38.5	-78.3	429.5	8.0	8.0	0.0	p	n	7.9837	0.0	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc08	McMurdo	mc08b : mc08g:mc08a	mc08b : mc08g:mc08a	0.65	0.025	Ma													-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Intensity included in Pmag_Results.	pmagpy-2.60	4.336e-05	1.5080000000000002e-06	3.4789999999999996	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc08	McMurdo		mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h:mc08a	0.65	0.025	Ma	2.7		38.5	-78.3	429.5	8.0			p	n	7.9837	0.0	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. VGP: Site (geog. coord) A comp: mc08, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.8	5.2	75.1	234.6	8.0
mc08	McMurdo	mc08b : mc08g:mc08a	mc08b : mc08g:mc08a	0.65	0.025	Ma													-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. V[A]DM: Site mc08, Site V [A] DM.	pmagpy-2.60	4.336e-05	1.5080000000000002e-06	3.4789999999999996	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM		i	5.703e+22	3.0	1.984e+21	5.942e+22	3.0	2.067e+21					
mc09	McMurdo		mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h:mc09a	0.07400000000000001	0.0075	Ma	3.6	A	259.9	-82.7	234.2	8.0	8.0	0.0	p	n	7.9701	0.0	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	DE-SPEC	Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc09	McMurdo	mc09b : mc09d:mc09a	mc09b : mc09d:mc09a	0.07400000000000001	0.0075	Ma													-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	IE-SPEC	Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Intensity included in Pmag_Results.	pmagpy-2.60	2.71e-05	1.007e-06	3.715	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc09	McMurdo		mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h:mc09a	0.07400000000000001	0.0075	Ma	3.6		259.9	-82.7	234.2	8.0			p	n	7.9701	0.0	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Kristin Lawrence	DE-SITE	Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. VGP: Site (geog. coord) A comp: mc09, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							6.1	6.9	69.5	30.4	8.0
mc09	McMurdo	mc09b : mc09d:mc09a	mc09b : mc09d:mc09a	0.07400000000000001	0.0075	Ma													-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Kristin Lawrence	IE-SITE	Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. V[A]DM: Site mc09, Site V [A] DM.	pmagpy-2.60	2.71e-05	1.007e-06	3.715	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM		i	3.567e+22	3.0	1.325e+21	3.588e+22	3.0	1.333e+21					
mc10	McMurdo		mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h:mc10a	4.0	4.0	Ma	4.1	A	335.3	-78.6	184.5	8.0	8.0	0.0	p	n	7.9621	0.0	-77.57	166.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc10	McMurdo	mc10d	mc10d	4.0	4.0	Ma													-77.57	166.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	3.737e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc10	McMurdo		mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h:mc10a	4.0	4.0	Ma	4.1		335.3	-78.6	184.5	8.0			p	n	7.9621	0.0	-77.57	166.23	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc10, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							4.5	7.9	78.2	116.5	8.0
mc100	McMurdo		mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2:mc100a1	0.86	0.115	Ma	2.6	A	9.9	-76.6	582.7	7.0	5.0	2.0	p	n	6.9914	0.0	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc100	McMurdo		mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2:mc100a1	0.86	0.115	Ma	2.6		9.9	-76.6	582.7	7.0			p	n	6.9914	0.0	-78.30199999999999	162.9	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc100, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.3	5.0	75.9	180.6	7.0
mc101	McMurdo		mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1:mc101a1	1.065	0.004	Ma	3.1	A	38.5	-80.6	460.8	6.0	6.0	0.0	p	n	5.9891	0.0	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc101	McMurdo		mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1:mc101a1	1.065	0.004	Ma	3.1		38.5	-80.6	460.8	6.0			p	n	5.9891	0.0	-78.306	162.928	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc101, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							3.8	6.0	78.4	239.0	6.0
mc102	McMurdo		mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1:mc102a1	0.264	0.01	Ma	3.4	A	150.4	75.7	326.5	7.0	6.0	1.0	p	r	6.9832	0.0	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc102	McMurdo		mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1:mc102a1	0.264	0.01	Ma	3.4		150.4	75.7	326.5	7.0			p	n	6.9832	0.0	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc102, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.8	6.6	-72.3	295.8	7.0
mc103	McMurdo		mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2:mc103a1	1.421	0.015	Ma	1.8	A	138.2	73.6	1460.2	6.0	6.0	0.0	p	r	5.9966	0.0	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc103	McMurdo	mc103e	mc103e1	1.421	0.015	Ma													-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	2.1e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc103	McMurdo		mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2:mc103a1	1.421	0.015	Ma	1.8		138.2	73.6	1460.2	6.0			p	n	5.9966	0.0	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc103, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							1.3	3.5	-67.0	283.3	6.0
mc104	McMurdo		mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1:mc104a1	0.29	0.01	Ma	3.2	A	72.1	-77.2	367.4	7.0	5.0	2.0	p	n	6.9864	0.0	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc104	McMurdo		mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1:mc104a1	0.29	0.01	Ma	3.2		72.1	-77.2	367.4	7.0			p	n	6.9864	0.0	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc104, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.9	6.2	66.5	262.2	7.0
mc105	McMurdo		mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1:mc105a1	0.86	0.035	Ma	2.1	A	193.2	69.5	671.0	8.0	8.0	0.0	p	r	7.9896	0.0	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc105	McMurdo	mc105c : mc105d : mc105j:mc105a	mc105c1 : mc105d1 : mc105j1:mc105a2	0.86	0.035	Ma													-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.862e-05	1.917e-06	6.697	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc105	McMurdo		mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1:mc105a1	0.86	0.035	Ma	2.1		193.2	69.5	671.0	8.0			p	n	7.9896	0.0	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc105, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							1.2	4.1	-64.5	1.8	8.0
mc105	McMurdo	mc105c : mc105d : mc105j:mc105a	mc105c1 : mc105d1 : mc105j1:mc105a2	0.86	0.035	Ma													-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc105, Site V [A] DM.	pmagpy-2.60	2.862e-05	1.917e-06	6.697	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	3.759e+22	4.0	2.518e+21	4.328e+22	4.0	2.898e+21					
mc106	McMurdo		mc106b1 : mc106c1 : mc106d1 : mc106e1:mc106a1	13.42	0.09	Ma	3.8	A	19.5	-76.7	410.8	5.0	5.0	0.0	p	n	4.9903	0.0	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
