Slecetion criteria:
specimen_int_mad	specimen_drats	specimen_b_beta	specimen_g	specimen_f	specimen_int_ptrm_n	specimen_dang	specimen_n	specimen_q	specimen_gap_max	specimen_frac	specimen_scat	specimen_fvds	specimen_md
15.000000	30.000000	0.100000	0.000000	0.000000	2.000000	15.000000	3.000000	0.000000	0.500000	0.000000	0.000000	0.200000	100000.000000
--------------------------------
er_sample_name	er_specimen_name	specimen_int_corr_anisotropy	Anisotropy_code	specimen_int_corr_nlt	specimen_lab_field_dc_uT	specimen_int_min_uT	specimen_int_max_uT	WARNING
0335x064091	0335x0640914	1.00	-	-	40.0	18.8	19.4	WARNING: No Anistropy correction
0335x064091	0335x0640915	1.00	-	-	40.0	13.3	18.8	WARNING: No Anistropy correction
0335x072002	0335x0720021	1.00	-	-	50.0	7.1	9.9	WARNING: No Anistropy correction
0335x072002	0335x0720023	1.00	-	-	50.0	4.3	6.0	WARNING: No Anistropy correction
0335x091058	0335x0910582	1.00	-	-	50.0	28.4	36.3	WARNING: No Anistropy correction
0335x091058	0335x0910583	1.00	-	-	50.0	12.4	16.2	WARNING: No Anistropy correction
0335x091058	0335x0910584	1.00	-	-	40.0	17.7	22.3	WARNING: No Anistropy correction
0335x091058	0335x0910585	1.00	-	-	40.0	16.1	20.7	WARNING: No Anistropy correction
0335x094127	0335x0941271	1.00	-	-	40.0	17.7	25.1	WARNING: No Anistropy correction
0335x094127	0335x0941272	1.00	-	-	40.0	18.0	22.9	WARNING: No Anistropy correction
0335x094127	0335x0941273	1.00	-	-	40.0	11.5	17.5	WARNING: No Anistropy correction
0335x094129	0335x0941291	1.00	-	-	50.0	15.9	21.4	WARNING: No Anistropy correction
0335x101145	0335x1011452	1.00	-	-	50.0	15.6	22.2	WARNING: No Anistropy correction
0335x101145	0335x1011453	1.00	-	-	50.0	22.5	28.8	WARNING: No Anistropy correction
0335x103141	0335x1031411	1.00	-	-	50.0	15.5	20.2	WARNING: No Anistropy correction
0335x103141	0335x1031412	1.00	-	-	50.0	18.5	21.9	WARNING: No Anistropy correction
0335x121103	0335x1211031	1.00	-	-	50.0	19.9	26.9	WARNING: No Anistropy correction
0335x132054	0335x1320543	1.00	-	-	50.0	13.2	17.0	WARNING: No Anistropy correction
0335x133006	0335x1330061	1.00	-	-	50.0	12.5	17.7	WARNING: No Anistropy correction
0335x133006	0335x1330062	1.00	-	-	40.0	18.8	32.2	WARNING: No Anistropy correction
0335x133006	0335x1330063	1.00	-	-	40.0	18.7	33.5	WARNING: No Anistropy correction
0335x133006	0335x1330064	1.00	-	-	40.0	16.9	17.7	WARNING: No Anistropy correction
0395a301p01	0395a301p012	1.00	-	-	30.0	9.7	15.9	WARNING: No Anistropy correction
0395a332p14	0395a332p141	1.00	-	-	30.0	8.4	10.7	WARNING: No Anistropy correction
0395a411p02	0395a411p021	1.00	-	-	30.0	8.3	12.0	WARNING: No Anistropy correction
0395a541p6b	0395a541p6b1	1.00	-	-	30.0	17.0	20.5	WARNING: No Anistropy correction
0395a542p08	0395a542p081	1.00	-	-	30.0	18.0	23.3	WARNING: No Anistropy correction
0395a542p08	0395a542p082	1.00	-	-	30.0	32.5	47.9	WARNING: No Anistropy correction
0395a601p08	0395a601p081	1.00	-	-	30.0	18.9	18.9	WARNING: No Anistropy correction
0395a661000	0395a6610001	1.00	-	-	30.0	43.3	73.6	WARNING: No Anistropy correction
0395x111p11	0395x111p112	1.00	-	-	30.0	5.6	5.6	WARNING: No Anistropy correction
0396b141028	0396b1410281	1.00	-	-	50.0	11.7	13.2	WARNING: No Anistropy correction
0396b141028	0396b1410282	1.00	-	-	40.0	12.3	16.6	WARNING: No Anistropy correction
0396b141028	0396b1410283	1.00	-	-	40.0	13.2	15.7	WARNING: No Anistropy correction
0396b141028	0396b1410284	1.00	-	-	40.0	10.9	17.1	WARNING: No Anistropy correction
0396b141p1b	0396b141p1b1	1.00	-	-	50.0	13.2	24.1	WARNING: No Anistropy correction
0396b143031	0396b1430313	1.00	-	-	40.0	9.9	15.5	WARNING: No Anistropy correction
0396b143031	0396b1430314	1.00	-	-	40.0	11.2	17.8	WARNING: No Anistropy correction
0396b143031	0396b1430315	1.00	-	-	40.0	13.7	23.0	WARNING: No Anistropy correction
0396b151039	0396b1510391	1.00	-	-	50.0	8.9	14.4	WARNING: No Anistropy correction
0396b151039	0396b1510392	1.00	-	-	40.0	11.4	13.3	WARNING: No Anistropy correction
0396b151039	0396b1510393	1.00	-	-	40.0	9.4	14.7	WARNING: No Anistropy correction
0396b241024	0396b2410241	1.00	-	-	50.0	11.5	11.8	WARNING: No Anistropy correction
0396b261p01	0396b261p011	1.00	-	-	50.0	8.2	13.9	WARNING: No Anistropy correction
0396b261p1b	0396b261p1b1	1.00	-	-	50.0	9.3	15.2	WARNING: No Anistropy correction
0407x462021	0407x4620211	1.00	-	-	40.0	22.2	35.7	WARNING: No Anistropy correction
0407x462021	0407x4620213	1.00	-	-	40.0	13.9	22.3	WARNING: No Anistropy correction
0407x463051	0407x4630511	1.00	-	-	40.0	17.4	25.7	WARNING: No Anistropy correction
0407x463051	0407x4630513	1.00	-	-	40.0	20.9	35.6	WARNING: No Anistropy correction
0407x464057	0407x4640571	1.00	-	-	40.0	29.0	38.1	WARNING: No Anistropy correction
0407x464057	0407x4640573	1.00	-	-	40.0	26.0	37.9	WARNING: No Anistropy correction
0407x464057	0407x4640575	1.00	-	-	40.0	26.7	31.6	WARNING: No Anistropy correction
0407x473137	0407x4731372	1.00	-	-	40.0	24.7	30.8	WARNING: No Anistropy correction
0407x474086	0407x4740861	1.00	-	-	40.0	14.9	39.4	WARNING: No Anistropy correction
0410a017004	0410a0170041	1.00	-	-	40.0	6.8	11.9	WARNING: No Anistropy correction
0410a017004	0410a0170042	1.00	-	-	40.0	5.7	6.8	WARNING: No Anistropy correction
0410a025013	0410a0250131	1.00	-	-	40.0	7.1	12.9	WARNING: No Anistropy correction
0410a043026	0410a0430261	1.00	-	-	40.0	8.4	9.6	WARNING: No Anistropy correction
0410a043026	0410a0430262	1.00	-	-	40.0	8.3	11.2	WARNING: No Anistropy correction
0410a043026	0410a0430263	1.00	-	-	40.0	10.6	14.4	WARNING: No Anistropy correction
0410a063045	0410a0630451	1.00	-	-	40.0	5.3	7.2	WARNING: No Anistropy correction
0410a371106	0410a3711062	1.00	-	-	40.0	6.8	8.7	WARNING: No Anistropy correction
0417d022p2a	0417d022p2a1	1.00	-	-	40.0	7.4	11.0	WARNING: No Anistropy correction
0417d022p2a	0417d022p2a4	1.00	-	-	40.0	9.2	14.7	WARNING: No Anistropy correction
0417d022p2b	0417d022p2b1	1.00	-	-	40.0	11.2	16.0	WARNING: No Anistropy correction
0417d022p2b	0417d022p2b4	1.00	-	-	40.0	8.9	10.1	WARNING: No Anistropy correction
0417d022p2d	0417d022p2d2	1.00	-	-	40.0	9.0	16.3	WARNING: No Anistropy correction
0417d022p2d	0417d022p2d4	1.00	-	-	40.0	7.6	11.5	WARNING: No Anistropy correction
0417d022p2e	0417d022p2e1	1.00	-	-	40.0	17.5	19.4	WARNING: No Anistropy correction
0417d022p2e	0417d022p2e3	1.00	-	-	40.0	15.8	18.5	WARNING: No Anistropy correction
0417d022p4a	0417d022p4a1	1.00	-	-	40.0	4.6	10.8	WARNING: No Anistropy correction
0417d022p4a	0417d022p4a3	1.00	-	-	40.0	4.8	12.5	WARNING: No Anistropy correction
0417d022p4c	0417d022p4c3	1.00	-	-	40.0	8.4	14.2	WARNING: No Anistropy correction
0417d022p4c	0417d022p4c4	1.00	-	-	40.0	8.1	13.0	WARNING: No Anistropy correction
0418a030p1c	0418a030p1c1	1.00	-	-	40.0	3.8	8.2	WARNING: No Anistropy correction
0418a030p1d	0418a030p1d1	1.00	-	-	40.0	12.6	23.4	WARNING: No Anistropy correction
0418a035p2a	0418a035p2a4	1.00	-	-	40.0	28.4	40.9	WARNING: No Anistropy correction
0418a035p2a	0418a035p2a5	1.00	-	-	40.0	26.6	41.1	WARNING: No Anistropy correction
0418a035p2b	0418a035p2b4	1.00	-	-	40.0	20.3	23.0	WARNING: No Anistropy correction
0418a035p2b	0418a035p2b5	1.00	-	-	40.0	8.9	13.5	WARNING: No Anistropy correction
0418a035p2c	0418a035p2c2	1.00	-	-	40.0	13.5	16.5	WARNING: No Anistropy correction
0418a035p2d	0418a035p2d3	1.00	-	-	40.0	3.2	6.5	WARNING: No Anistropy correction
0418a035p2d	0418a035p2d4	1.00	-	-	40.0	11.9	12.7	WARNING: No Anistropy correction
0418a066001	0418a0660013	1.00	-	-	40.0	9.5	10.7	WARNING: No Anistropy correction
0418a066001	0418a0660014	1.00	-	-	40.0	12.6	16.0	WARNING: No Anistropy correction
0418a066004	0418a0660042	1.00	-	-	40.0	23.1	44.2	WARNING: No Anistropy correction
0418a066004	0418a0660043	1.00	-	-	40.0	19.1	28.4	WARNING: No Anistropy correction
0418a067003	0418a0670033	1.00	-	-	40.0	9.1	11.6	WARNING: No Anistropy correction
0418a067003	0418a0670034	1.00	-	-	40.0	9.3	11.6	WARNING: No Anistropy correction
0420x141000	0420x1410001	1.00	-	-	30.0	11.7	14.8	WARNING: No Anistropy correction
0420x141000	0420x1410002	1.00	-	-	30.0	18.9	23.2	WARNING: No Anistropy correction
0420x171000	0420x1710001	1.00	-	-	30.0	11.2	21.3	WARNING: No Anistropy correction
0423x05cp02	0423x05cp022	1.00	-	-	30.0	7.5	12.3	WARNING: No Anistropy correction
0423x061p03	0423x061p032	1.00	-	-	30.0	6.0	10.3	WARNING: No Anistropy correction
0423x081p01	0423x081p011	1.00	-	-	30.0	12.3	12.3	WARNING: No Anistropy correction
0423x081p01	0423x081p012	1.00	-	-	50.0	19.5	22.4	WARNING: No Anistropy correction
0447a143076	0447a1430762	1.00	-	-	50.0	24.4	48.8	WARNING: No Anistropy correction
0447a172054	0447a1720541	1.00	-	-	50.0	29.8	41.3	WARNING: No Anistropy correction
0447a182119	0447a1821191	1.00	-	-	50.0	7.3	10.8	WARNING: No Anistropy correction
0447a182119	0447a1821192	1.00	-	-	50.0	8.6	13.5	WARNING: No Anistropy correction
0447a254001	0447a2540013	1.00	-	-	50.0	28.7	32.5	WARNING: No Anistropy correction
0448a171p1w	0448a171p1w1	1.00	-	-	30.0	31.5	44.3	WARNING: No Anistropy correction
0456a131p06	0456a131p061	1.00	-	-	30.0	15.9	20.2	WARNING: No Anistropy correction
0462a394p07	0462a394p071	1.00	-	-	40.0	13.3	42.2	WARNING: No Anistropy correction
0462a394p07	0462a394p072	1.00	-	-	40.0	15.5	21.4	WARNING: No Anistropy correction
0462a394p10	0462a394p102	1.00	-	-	40.0	11.8	16.2	WARNING: No Anistropy correction
0462a394p10	0462a394p103	1.00	-	-	40.0	9.7	13.0	WARNING: No Anistropy correction
0462a541p8c	0462a541p8c1	1.00	-	-	40.0	44.5	61.4	WARNING: No Anistropy correction
0462a581p8b	0462a581p8b1	1.00	-	-	40.0	9.9	19.7	WARNING: No Anistropy correction
0462a581p8c	0462a581p8c1	1.00	-	-	40.0	14.2	25.9	WARNING: No Anistropy correction
0462a596p5a	0462a596p5a1	1.00	-	-	40.0	6.9	8.8	WARNING: No Anistropy correction
0462a623p7b	0462a623p7b3	1.00	-	-	40.0	11.2	30.4	WARNING: No Anistropy correction
0462a693p03	0462a693p032	1.00	-	-	40.0	9.7	20.5	WARNING: No Anistropy correction
0469x461p01	0469x461p011	1.00	-	-	30.0	10.7	20.9	WARNING: No Anistropy correction
0469x461p01	0469x461p012	1.00	-	-	30.0	9.6	12.6	WARNING: No Anistropy correction
0470a081091	0470a0810911	1.00	-	-	50.0	20.2	35.6	WARNING: No Anistropy correction
0470a085075	0470a0850751	1.00	-	-	50.0	31.3	45.2	WARNING: No Anistropy correction
0470a085075	0470a0850752	1.00	-	-	40.0	25.1	52.4	WARNING: No Anistropy correction
0470a085075	0470a0850753	1.00	-	-	40.0	33.1	46.2	WARNING: No Anistropy correction
0470a085075	0470a0850754	1.00	-	-	40.0	36.4	57.4	WARNING: No Anistropy correction
0470a121018	0470a1210181	1.00	-	-	50.0	13.0	24.6	WARNING: No Anistropy correction
0470a131039	0470a1310392	1.00	-	-	40.0	26.5	39.0	WARNING: No Anistropy correction
0470a131039	0470a1310393	1.00	-	-	40.0	33.7	45.6	WARNING: No Anistropy correction
0470a131039	0470a1310394	1.00	-	-	40.0	25.4	36.9	WARNING: No Anistropy correction
0470a131039	0470a1310395	1.00	-	-	40.0	23.3	39.6	WARNING: No Anistropy correction
0470a131039	0470a1310396	1.00	-	-	40.0	31.4	31.6	WARNING: No Anistropy correction
0470a131039	0470a1310397	1.00	-	-	40.0	33.9	38.5	WARNING: No Anistropy correction
0474a463000	0474a4630001	1.00	-	-	30.0	16.6	21.0	WARNING: No Anistropy correction
0474a463000	0474a4630002	1.00	-	-	30.0	16.7	35.4	WARNING: No Anistropy correction
0474a473000	0474a4730002	1.00	-	-	30.0	21.2	26.4	WARNING: No Anistropy correction
0474a481p13	0474a481p132	1.00	-	-	30.0	21.3	28.5	WARNING: No Anistropy correction
0474a483p01	0474a483p011	1.00	-	-	30.0	12.8	17.5	WARNING: No Anistropy correction
0474a483p01	0474a483p012	1.00	-	-	30.0	22.6	23.3	WARNING: No Anistropy correction
0474a484p09	0474a484p091	1.00	-	-	30.0	15.4	17.7	WARNING: No Anistropy correction
0474a484p09	0474a484p092	1.00	-	-	30.0	10.0	10.7	WARNING: No Anistropy correction
0474a491000	0474a4910001	1.00	-	-	30.0	13.4	14.7	WARNING: No Anistropy correction
0474a491000	0474a4910002	1.00	-	-	30.0	11.8	12.1	WARNING: No Anistropy correction
0474a492p04	0474a492p041	1.00	-	-	30.0	22.2	28.0	WARNING: No Anistropy correction
0474a492p04	0474a492p042	1.00	-	-	30.0	19.8	24.3	WARNING: No Anistropy correction
0482d111p03	0482d111p031	1.00	-	-	30.0	26.2	26.2	WARNING: No Anistropy correction
0482d112p04	0482d112p042	1.00	-	-	30.0	14.0	15.6	WARNING: No Anistropy correction
0482d113p3a	0482d113p3a2	1.00	-	-	30.0	31.2	42.4	WARNING: No Anistropy correction
0483b121000	0483b1210001	1.00	-	-	30.0	9.3	11.4	WARNING: No Anistropy correction
0483b121000	0483b1210002	1.00	-	-	30.0	8.1	11.7	WARNING: No Anistropy correction
0483b201p13	0483b201p131	1.00	-	-	30.0	26.6	31.1	WARNING: No Anistropy correction
0483b201p13	0483b201p132	1.00	-	-	30.0	36.3	59.6	WARNING: No Anistropy correction
0483b211p06	0483b211p061	1.00	-	-	30.0	35.8	46.8	WARNING: No Anistropy correction
0483b212p1a	0483b212p1a1	1.00	-	-	30.0	4.9	5.1	WARNING: No Anistropy correction
0483b221p01	0483b221p011	1.00	-	-	30.0	3.2	3.7	WARNING: No Anistropy correction
0483b221p1a	0483b221p1a2	1.00	-	-	30.0	5.8	6.5	WARNING: No Anistropy correction
0483b221p7c	0483b221p7c2	1.00	-	-	30.0	28.6	33.0	WARNING: No Anistropy correction
0483b222p03	0483b222p031	1.00	-	-	30.0	5.8	5.8	WARNING: No Anistropy correction
0483b222p03	0483b222p032	1.00	-	-	30.0	13.2	42.7	WARNING: No Anistropy correction
0483b231p1b	0483b231p1b1	1.00	-	-	30.0	6.5	9.9	WARNING: No Anistropy correction
0483b232p8a	0483b232p8a1	1.00	-	-	30.0	38.6	56.2	WARNING: No Anistropy correction
0483b241p7b	0483b241p7b1	1.00	-	-	30.0	7.1	8.6	WARNING: No Anistropy correction
0483b291p2b	0483b291p2b1	1.00	-	-	30.0	10.8	11.5	WARNING: No Anistropy correction
0483b303p4c	0483b303p4c1	1.00	-	-	30.0	20.7	22.2	WARNING: No Anistropy correction
0483b303p4c	0483b303p4c2	1.00	-	-	30.0	12.8	14.3	WARNING: No Anistropy correction
0483b323p07	0483b323p071	1.00	-	-	30.0	4.9	5.8	WARNING: No Anistropy correction
0483b323p7b	0483b323p7b1	1.00	-	-	30.0	10.9	10.9	WARNING: No Anistropy correction
0483x211p06	0483x211p062	1.00	-	-	30.0	29.3	40.1	WARNING: No Anistropy correction
0483x212p08	0483x212p082	1.00	-	-	30.0	52.3	61.0	WARNING: No Anistropy correction
0483x213p01	0483x213p011	1.00	-	-	30.0	23.2	28.7	WARNING: No Anistropy correction
0483x213p01	0483x213p012	1.00	-	-	30.0	14.9	16.5	WARNING: No Anistropy correction
0483x221p01	0483x221p011	1.00	-	-	30.0	30.9	43.0	WARNING: No Anistropy correction
0483x231p8a	0483x231p8a1	1.00	-	-	30.0	28.9	54.1	WARNING: No Anistropy correction
0495x471p05	0495x471p051	1.00	-	-	30.0	14.3	15.1	WARNING: No Anistropy correction
0495x481p10	0495x481p101	1.00	-	-	30.0	13.0	20.4	WARNING: No Anistropy correction
0495x482p06	0495x482p061	1.00	-	-	30.0	16.6	20.1	WARNING: No Anistropy correction
0495x483p03	0495x483p031	1.00	-	-	30.0	11.7	23.9	WARNING: No Anistropy correction
0495x483p03	0495x483p032	1.00	-	-	30.0	15.0	24.0	WARNING: No Anistropy correction
0504b041p01	0504b041p012	1.00	-	-	40.0	41.3	53.4	WARNING: No Anistropy correction
0504b103p01	0504b103p011	1.00	-	-	40.0	30.6	33.1	WARNING: No Anistropy correction
0504b321p01	0504b321p012	1.00	-	-	40.0	16.8	16.8	WARNING: No Anistropy correction
0504b542p01	0504b542p011	1.00	-	-	40.0	6.8	22.5	WARNING: No Anistropy correction
0510x111000	0510x1110002	1.00	-	-	30.0	15.5	21.8	WARNING: No Anistropy correction
0520x301091	0520x3010911	1.00	-	-	50.0	7.5	11.6	WARNING: No Anistropy correction
0520x311020	0520x3110201	1.00	-	-	50.0	19.6	23.3	WARNING: No Anistropy correction
0520x311020	0520x3110202	1.00	-	-	50.0	32.1	45.1	WARNING: No Anistropy correction
0522b032p02	0522b032p022	1.00	-	-	50.0	10.0	21.9	WARNING: No Anistropy correction
0522b033000	0522b0330002	1.00	-	-	50.0	16.6	19.6	WARNING: No Anistropy correction
0522b041p02	0522b041p023	1.00	-	-	50.0	13.2	16.0	WARNING: No Anistropy correction
0522b051p01	0522b051p011	1.00	-	-	50.0	14.2	14.4	WARNING: No Anistropy correction
0522b051p01	0522b051p012	1.00	-	-	50.0	14.6	25.6	WARNING: No Anistropy correction
0525a005p6b	0525a005p6b1	1.00	-	-	50.0	48.0	86.3	WARNING: No Anistropy correction
0525a005p6b	0525a005p6b4	1.00	-	-	50.0	42.5	88.1	WARNING: No Anistropy correction
0525a592p3h	0525a592p3h2	1.00	-	-	50.0	48.9	76.7	WARNING: No Anistropy correction
0525a592p3h	0525a592p3h3	1.00	-	-	50.0	32.7	79.9	WARNING: No Anistropy correction
0525a594p1r	0525a594p1r1	1.00	-	-	50.0	60.6	72.8	WARNING: No Anistropy correction
0525a594p1r	0525a594p1r3	1.00	-	-	50.0	60.0	80.7	WARNING: No Anistropy correction
0534a1282p09	0534a1282p092	1.00	-	-	40.0	13.0	17.9	WARNING: No Anistropy correction
0543a124p04	0543a124p041	1.00	-	-	40.0	3.8	3.8	WARNING: No Anistropy correction
0543a132p03	0543a132p031	1.00	-	-	40.0	5.6	7.9	WARNING: No Anistropy correction
0543a132p03	0543a132p034	1.00	-	-	40.0	10.4	12.2	WARNING: No Anistropy correction
0543a152p3a	0543a152p3a1	1.00	-	-	40.0	8.3	13.9	WARNING: No Anistropy correction
0543a152p3a	0543a152p3a4	1.00	-	-	40.0	8.5	9.0	WARNING: No Anistropy correction
0556x031140	0556x0311401	1.00	-	-	40.0	10.2	17.0	WARNING: No Anistropy correction
0556x031140	0556x0311402	1.00	-	-	40.0	13.4	14.2	WARNING: No Anistropy correction
0556x041091	0556x0410912	1.00	-	-	40.0	21.6	21.6	WARNING: No Anistropy correction
0556x041091	0556x0410913	1.00	-	-	40.0	7.3	12.4	WARNING: No Anistropy correction
0556x041091	0556x0410914	1.00	-	-	40.0	6.7	10.8	WARNING: No Anistropy correction
0556x041091	0556x0410915	1.00	-	-	40.0	7.0	11.9	WARNING: No Anistropy correction
0556x051116	0556x0511164	1.00	-	-	40.0	18.6	25.7	WARNING: No Anistropy correction
0556x051116	0556x0511165	1.00	-	-	40.0	20.2	23.0	WARNING: No Anistropy correction
0556x051116	0556x0511166	1.00	-	-	40.0	14.9	25.0	WARNING: No Anistropy correction
0556x052084	0556x0520841	1.00	-	-	40.0	12.3	14.0	WARNING: No Anistropy correction
0556x052084	0556x0520843	1.00	-	-	40.0	10.8	14.0	WARNING: No Anistropy correction
0556x052084	0556x0520845	1.00	-	-	40.0	12.6	15.3	WARNING: No Anistropy correction
0556x052084	0556x0520846	1.00	-	-	40.0	10.5	10.5	WARNING: No Anistropy correction
0556x062055	0556x0620551	1.00	-	-	40.0	19.9	34.8	WARNING: No Anistropy correction
0556x062055	0556x0620552	1.00	-	-	40.0	15.4	32.4	WARNING: No Anistropy correction
0556x062055	0556x0620553	1.00	-	-	40.0	18.7	34.0	WARNING: No Anistropy correction
0556x084002	0556x0840021	1.00	-	-	40.0	18.9	27.6	WARNING: No Anistropy correction
0556x084002	0556x0840022	1.00	-	-	40.0	18.5	27.5	WARNING: No Anistropy correction
0559a073011	0559a0730111	1.00	-	-	40.0	8.6	11.9	WARNING: No Anistropy correction
0559a073011	0559a0730112	1.00	-	-	40.0	8.2	12.0	WARNING: No Anistropy correction
0559a073011	0559a0730113	1.00	-	-	40.0	7.9	12.1	WARNING: No Anistropy correction
0559x021142	0559x0211421	1.00	-	-	50.0	13.1	23.1	WARNING: No Anistropy correction
0559x031011	0559x0310112	1.00	-	-	40.0	8.0	9.2	WARNING: No Anistropy correction
0559x031011	0559x0310113	1.00	-	-	40.0	6.9	7.8	WARNING: No Anistropy correction
0559x031011	0559x0310114	1.00	-	-	40.0	7.2	8.3	WARNING: No Anistropy correction
0559x031011	0559x0310116	1.00	-	-	40.0	8.8	9.6	WARNING: No Anistropy correction
0559x051002	0559x0510022	1.00	-	-	50.0	6.5	15.1	WARNING: No Anistropy correction
0562x011p05	0562x011p051	1.00	-	-	50.0	5.6	12.1	WARNING: No Anistropy correction
