tab 	sites
bed_dip	bed_dip_direction	citations	conglomerate_test	contact_test	description	dir_dec	dir_inc	dir_k	dir_n_samples	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon	vgp_n_samples
		This study				144.3	-47	679	5	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		8			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 8	140.7	-64.8		1	p	n	100			48.680014		Osler Volcanics, Nipigon Strait, Lower Reversed	271.973994	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	8	63.7776075599249	192.735742121	1
20	145.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			9			
		This study				110.0	-56.6	321	3	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		9			
		This study				121.0	-39.1	321	3	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		9			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 9	110.0	-56.6		1	p	n	100			48.676652		Osler Volcanics, Nipigon Strait, Lower Reversed	271.940536	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	9	39.3249568770275	196.487854549	1
30	134.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			10			
		This study				128.2	-42	59	5	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		10			
		This study				129.7	-12.1	59	5	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		10			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 10	128.2	-42		1	p	n	100			48.664307		Osler Volcanics, Nipigon Strait, Lower Reversed	271.930409	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	10	42.8964500089465	169.93390175	1
30	132.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			11			
		This study				88.3	-59.1	456	3	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		11			
		This study				106.7	-33.9	456	3	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		11			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 11	88.3	-59.1		1	p	n	100			48.657548		Osler Volcanics, Nipigon Strait, Lower Reversed	271.928069	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	11	27.7951240482415	211.800334777	1
40	132.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			12			
		This study				118.6	-48.9	240	5	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		12			
		This study				123.2	-9.6	240	5	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		12			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 12	118.6	-48.9		1	p	n	100			48.65743		Osler Volcanics, Nipigon Strait, Lower Reversed	271.921876	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	12	40.3665891534885	183.175792001	1
35	120.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			13			
		This study				128.1	-38	886	3	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		13			
		This study				126.4	-3.3	886	3	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		13			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 13	128.1	-38		1	p	n	100			48.651106		Osler Volcanics, Nipigon Strait, Lower Reversed	271.914755	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	13	40.7568820623877	167.304340503	1
20	120.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			14			
		This study				108.2	-55.8	121	6	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		14			
		This study				111.9	-36.2	121	6	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		14			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 14	108.2	-55.8		1	p	n	100			48.648101		Osler Volcanics, Nipigon Strait, Lower Reversed	271.917061	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	14	37.6670868845014	196.752533703	1
30	115.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			15			
		This study				118.5	-46	402	6	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		15			
		This study				117.6	-16.1	402	6	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		15			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 15	118.5	-46		1	p	n	100			48.646972		Osler Volcanics, Nipigon Strait, Lower Reversed	271.90239	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	15	38.6895102061663	180.853175484	1
45	110.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			16			
		This study				106.0	-54.2	125	6	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		16			
		This study				107.7	-9.3	125	6	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		16			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 16	106.0	-54.2		1	p	n	100			48.639491		Osler Volcanics, Nipigon Strait, Lower Reversed	271.89768	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	16	35.2620282856413	196.544170834	1
25	110.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			17			
		This study				93.7	-54.1	362	4	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		17			
		This study				99.1	-29.8	362	4	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		17			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 17	93.7	-54.1		1	p	n	100			48.634582		Osler Volcanics, Nipigon Strait, Lower Reversed	271.887024	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	17	27.4920710502451	204.126214855	1
12	155.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			18			
		This study				116.0	-53	224	4	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		18			
		This study				123.8	-43.2	224	4	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		18			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 18	116.0	-53		1	p	n	100			48.605248		Osler Volcanics, Nipigon Strait, Lower Reversed	271.835216	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	18	41.0179152727302	188.806201512	1
12	133.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			19			
		This study				131.7	-64.9	871	4	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		19			
		This study				132.1	-53	871	4	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		19			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 19	131.7	-64.9		1	p	n	100			48.607343		Osler Volcanics, Nipigon Strait, Lower Reversed	271.825585	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	19	58.0163418751781	197.301218345	1
