tab delimited	er_locations
er_location_name	location_type	location_begin_lat	location_begin_lon	location_end_lat	location_end_lon	continent_ocean	country	region	er_scientist_mail_names	er_citation_names
Wulan Wula Hu	Region	34.536	90.227	34.536	90.227	Asia	China	Tibet	Peter C. Lippert	This study
Ejumaima	Region	32.219	86.63	32.219	86.805	Asia	China	Tibet	Peter C. Lippert	This study
Nading Co	Region	32.685	85.575	32.737	85.604	Asia	China	Tibet	Peter C. Lippert	This study
>>>>>>>>>>
tab delimited	er_sites
er_site_name	er_location_name	site_definition	site_class	site_lithology	site_type	site_lat	site_lon	site_bed_dip_direction	site_bed_dip	magic_method_codes	er_scientist_mail_names	er_citation_names
06X053	Wulan Wula Hu	WWH-3	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	-0.8	275.2	45.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X061	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	-3.8	245.2	41.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X062	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	0	274.5	31.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X063	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	0	271.5	46.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X064	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	3	327	26.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X065	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	3	249.5	22	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X079	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	0	339.5	15.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X080	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	-2	5	24	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X081	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	-1.9	290.6	36.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X082	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	-0.8	320.7	15	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X083	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	-1.6	298.9	37.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X084	Wulan Wula Hu	WWH-4	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	-2	323	49	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
