tab 	sites
age	age_high	age_low	age_unit	citations	criteria	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1.5848	1.5848	1.5848	Ma	This study	ACCEPT	2.5	Fit 1	214.4	-49.3	505	7	8	8	0	r	7.9861	0	Extrusive	Lava Flow	33.0444	Basaltic Lava	Golan-Heights	35.68352	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH11B:GH11C:GH11D:GH11E:GH11F:GH11G:GH11H	GH11	pmagpy-3.16.0: demag_gui.v.3.0	GH11B1:GH11C1:GH11D1:GH11D2:GH11E1:GH11F1:GH11G1:GH11H1	3.3	2.2	-60.7	301.9
0.7094	0.7094	0.7094	Ma	This study	ACCEPT	4.6	Fit 1	2.2	44.9	176	7	7	7	0	n	6.966	0	Extrusive	Lava Flow	32.98555	Basaltic Lava	Golan-Heights	35.74288	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH12A:GH12C:GH12D:GH12E:GH12F:GH12G:GH12H	GH12	pmagpy-3.16.0: demag_gui.v.3.0	GH12A1:GH12C1:GH12D1:GH12E1:GH12F2:GH12G2:GH12H2	5.8	3.7	83.2	198.8
1.35	2.6	0.1	Ma	This study	ACCEPT	6.1	Fit 1	25.3	59.8	83	7	8	8	0	n	7.9158	0	Extrusive	Lava Flow	33.00856	Basaltic Lava	Golan-Heights	35.82204	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH13A:GH13B:GH13C:GH13D:GH13E:GH13F:GH13H	GH13	pmagpy-3.16.0: demag_gui.v.3.0	GH13A1:GH13B1:GH13C1:GH13D1:GH13D2:GH13E1:GH13F1:GH13H2	9.2	6.9	68.4	97.8
1.35	2.6	0.1	Ma	This study	ACCEPT	13.4	Fit 1	348.8	49.7	14	8	10	10	0	n	9.3554	0	Extrusive	Lava Flow	33.17375	Basaltic Lava	Golan-Heights	35.77575	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DIR-AF:LP-DC5:DE-FM	g	i	GH14A:GH14B:GH14C:GH14D:GH14E:GH14F:GH14G:GH14H	GH14	pmagpy-3.16.0: demag_gui.v.3.0	GH14A2:GH14B1:GH14B2:GH14C1:GH14D1:GH14D2:GH14E2:GH14F2:GH14G2:GH14H1	17.8	11.9	80.1	293.2
0.8415	0.8415	0.8415	Ma	This study	ACCEPT	3.2	Fit 1	196.1	-43.3	348	5	7	7	0	r	6.9828	0	Extrusive	Lava Flow	33.23632	Basaltic Lava	Golan-Heights	35.75634	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH15A:GH15B:GH15C:GH15D:GH15F	GH15	pmagpy-3.16.0: demag_gui.v.3.0	GH15A1:GH15A2:GH15B1:GH15C1:GH15C2:GH15D1:GH15F1	4	2.5	-73.9	331.3
1.35	2.6	0.1	Ma	This study	ACCEPT	3.1	Fit 1	2.7	57.8	470	5	6	6	0	n	5.9894	0	Extrusive	Lava Flow	33.21511	Basaltic Lava	Golan-Heights	35.74377	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH16B:GH16C:GH16D:GH16G:GH16H	GH16	pmagpy-3.16.0: demag_gui.v.3.0	GH16B2:GH16C2:GH16D2:GH16G1:GH16G2:GH16H2	4.6	3.3	84.3	57.7
0.1053	0.1053	0.1053	Ma	This study	ACCEPT	3.5	Fit 1	9.5	47.2	247	7	8	8	0	n	7.9717	0	Extrusive	Lava Flow	33.20363	Basaltic Lava	Golan-Heights	35.73782	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH17A:GH17B:GH17D:GH17E:GH17F:GH17G:GH17H	GH17	pmagpy-3.16.0: demag_gui.v.3.0	GH17A1:GH17B2:GH17D2:GH17E1:GH17E2:GH17F2:GH17G1:GH17H2	4.5	2.9	80.5	153.9
0.8912	0.8912	0.8912	Ma	This study	ACCEPT	4.1	Fit 1	183.8	-47.8	185	8	8	8	0	r	7.9622	0	Extrusive	Lava Flow	33.22599	Basaltic Lava	Golan-Heights	35.72582	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH18A:GH18B:GH18C:GH18D:GH18E:GH18G:GH18H:GH18I	GH18	pmagpy-3.16.0: demag_gui.v.3.0	GH18A1:GH18B1:GH18C1:GH18D1:GH18E1:GH18G1:GH18H1:GH18I1	5.3	3.5	-84.6	357.9
1.35	2.6	0.1	Ma	This study	ACCEPT	2.3	Fit 1	180.9	-52.2	883	6	6	6	0	r	5.9943	0	Extrusive	Lava Flow	33.22658	Basaltic Lava	Golan-Heights	35.724	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH19A:GH19B:GH19C:GH19F:GH19G:GH19H	GH19	pmagpy-3.16.0: demag_gui.v.3.0	GH19A1:GH19B1:GH19C1:GH19F1:GH19G1:GH19H1	3.2	2.2	-89.1	334.6
1.35	2.6	0.1	Ma	This study	ACCEPT	3.5	Fit 1	1.0	52.7	301	6	7	7	0	n	6.9801	0	Extrusive	Lava Flow	33.146	Basaltic Lava	Golan-Heights	35.77943	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH20B:GH20C:GH20E:GH20F:GH20G:GH20H	GH20	pmagpy-3.16.0: demag_gui.v.3.0	GH20B1:GH20C1:GH20E2:GH20F1:GH20F2:GH20G2:GH20H2	4.8	3.3	89.2	116.5
