tab 	sites
age	age_high	age_low	age_unit	citations	criteria	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1.35	2.6	0.1	Ma	This study	ACCEPT	3.1	Fit 1	2.5	49.9	323	7	8	8	0	n	7.9783	0	Extrusive	Lava Flow	33.13217	Basaltic Lava	Golan-Heights	35.72959	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH42A:GH42B:GH42C:GH42D:GH42E:GH42G:GH42H	GH42	pmagpy-3.16.0: demag_gui.v.3.0	GH42A1:GH42B1:GH42C1:GH42D1:GH42E1:GH42G1:GH42H1:GH42H2	4.1	2.8	86.8	174.0
0.1088	0.1088	0.1088	Ma	This study	ACCEPT	5.2	Fit 1	19.9	51.1	134	6	7	7	0	n	6.9551	0	Extrusive	Lava Flow	33.12978	Basaltic Lava	Golan-Heights	35.68269	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH43B:GH43D:GH43E:GH43F:GH43G:GH43H	GH43	pmagpy-3.16.0: demag_gui.v.3.0	GH43B1:GH43D1:GH43E1:GH43F1:GH43F2:GH43G1:GH43H1	7	4.8	73.2	124.8
1.35	2.6	0.1	Ma	This study	ACCEPT	4	Fit 1	230.7	-58	374	5	5	5	0	r	4.9893	0	Extrusive	Lava Flow	33.12659	Basaltic Lava	Golan-Heights	35.68304	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH44A:GH44B:GH44C:GH44E:GH44F	GH44	pmagpy-3.16.0: demag_gui.v.3.0	GH44A1:GH44B1:GH44C1:GH44E1:GH44F1	5.9	4.3	-49.1	283.0
1.35	2.6	0.1	Ma	This study	ACCEPT	3.9	Fit 1	31.5	49.1	235	7	7	7	0	n	6.9745	0	Extrusive	Lava Flow	32.68955	Basaltic Lava	Golan-Heights	35.66908	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH45A:GH45B:GH45C:GH45D:GH45F:GH45G:GH45H	GH45	pmagpy-3.16.0: demag_gui.v.3.0	GH45A1:GH45B1:GH45C1:GH45D1:GH45F1:GH45G1:GH45H1	5.2	3.4	63.1	122.9
1.35	2.6	0.1	Ma	This study	ACCEPT	5.5	Fit 1	24.0	46.7	147	6	6	6	0	n	5.966	0	Extrusive	Lava Flow	32.68919	Basaltic Lava	Golan-Heights	35.66756	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH46A:GH46B:GH46D:GH46E:GH46F:GH46H	GH46	pmagpy-3.16.0: demag_gui.v.3.0	GH46A1:GH46B1:GH46D1:GH46E1:GH46F1:GH46H1	7.1	4.6	68.8	132.2
4.7	5.53	3.86	Ma	This study	ACCEPT	2.5	Fit 1	151.5	-53.1	577	6	7	7	0	r	6.9896	0	Extrusive	Lava Flow	32.76036	Basaltic Lava	Golan-Heights	35.73468	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH47B:GH47C:GH47D:GH47E:GH47F:GH47H	GH47	pmagpy-3.16.0: demag_gui.v.3.0	GH47B1:GH47C1:GH47D1:GH47E1:GH47F1:GH47F2:GH47H1	3.5	2.4	-66.2	135.8
4.7	5.53	3.86	Ma	This study	ACCEPT	2.7	Fit 1	144.3	-65.1	359	8	9	9	0	r	8.9777	0	Extrusive	Lava Flow	32.77044	Basaltic Lava	Golan-Heights	35.7453	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH48A:GH48B:GH48C:GH48D:GH48E:GH48F:GH48G:GH48H	GH48	pmagpy-3.16.0: demag_gui.v.3.0	GH48A1:GH48B1:GH48B2:GH48C1:GH48D1:GH48E1:GH48F1:GH48G1:GH48H1	4.4	3.5	-59.5	164.4
4.7	5.53	3.86	Ma	This study	ACCEPT	3.8	Fit 1	175.0	-57.6	257	7	7	7	0	r	6.9766	0	Extrusive	Lava Flow	32.84762	Basaltic Lava	Golan-Heights	35.77367	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH49A:GH49B:GH49C:GH49D:GH49F:GH49G:GH49H	GH49	pmagpy-3.16.0: demag_gui.v.3.0	GH49A1:GH49B1:GH49C1:GH49D1:GH49F2:GH49G1:GH49H1	5.6	4.1	-83.3	180.1
4.7	5.53	3.86	Ma	This study	ACCEPT	2.8	Fit 1	165.1	-29.8	389	7	8	8	0	r	7.982	0	Extrusive	Lava Flow	32.85442	Basaltic Lava	Golan-Heights	35.75322	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH50A:GH50B:GH50C:GH50D:GH50F:GH50G:GH50H	GH50	pmagpy-3.16.0: demag_gui.v.3.0	GH50A1:GH50B1:GH50C1:GH50D1:GH50F1:GH50F2:GH50G1:GH50H1	3.1	1.7	-68.4	77.9
4.7	5.53	3.86	Ma	This study	ACCEPT	180	Fit 1	133.0	-7.8	3	2	3	3	0	r	2.2214	0	Extrusive	Lava Flow	32.85407	Basaltic Lava	Golan-Heights	35.75411	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DIR-AF:LP-DC5:DE-FM	g	i	GH51A:GH51G	GH51	pmagpy-3.16.0: demag_gui.v.3.0	GH51A1:GH51A2:GH51G1	180	91.3	-37.5	102.6
4.7	5.53	3.86	Ma	This study	ACCEPT	3.4	Fit 1	160.6	-34.2	268	8	8	8	0	r	7.9739	0	Extrusive	Lava Flow	32.80608	Basaltic Lava	Golan-Heights	35.67796	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH52A:GH52B:GH52C:GH52D:GH52E:GH52F:GH52G:GH52H	GH52	pmagpy-3.16.0: demag_gui.v.3.0	GH52A1:GH52B1:GH52C1:GH52D1:GH52E1:GH52F1:GH52G1:GH52H1	3.9	2.2	-67.7	91.5
4.91	5.01	4.81	Ma	This study	ACCEPT	3.5	Fit 1	160.0	-54.2	489	5	5	5	0	r	4.9918	0	Extrusive	Lava Flow	32.7833981	Basaltic Lava	Golan-Heights	35.69913731	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	af1-1:af1-2:af1-4:af1-5:af1-6	af1	pmagpy-3.16.0: demag_gui.v.3.0	af1-1a:af1-2a:af1-4a:af1-5a:af1-6a	4.9	3.5	-73.3	137.9
4.69	5.01	4.37	Ma	This study	ACCEPT	5.7	Fit 1	156.8	-56.6	1948	2	2	2	0	r	1.9995	0	Extrusive	Lava Flow	32.7833981	Basaltic Lava	Golan-Heights	35.69913731	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	af2-19:af2-20	af2	pmagpy-3.16.0: demag_gui.v.3.0	af2-19a:af2-20a	8.3	6	-70.5	145.2
4.69	5.01	4.37	Ma	This study	ACCEPT	5.9	Fit 1	151.5	-55.4	1782	2	2	2	0	r	1.9994	0	Extrusive	Lava Flow	32.7833981	Basaltic Lava	Golan-Heights	35.69913731	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	af3-13:af3-14	af3	pmagpy-3.16.0: demag_gui.v.3.0	af3-13a:af3-14a	8.4	6	-66.3	141.3
4.69	5.01	4.37	Ma	This study	ACCEPT	5	Fit 1	153.0	-52.2	2485	2	2	2	0	r	1.9996	0	Extrusive	Lava Flow	32.7833981	Basaltic Lava	Golan-Heights	35.69913731	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	af4-7:af4-8	af4	pmagpy-3.16.0: demag_gui.v.3.0	af4-7a:af4-8a	6.9	4.7	-67.4	133.2
4.59	4.81	4.37	Ma	This study	ACCEPT	4.6	Fit 1	149.8	-55.5	2976	2	2	2	0	r	1.9997	0	Extrusive	Lava Flow	32.7833981	Basaltic Lava	Golan-Heights	35.69913731	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	af5-1:af5-2	af5	pmagpy-3.16.0: demag_gui.v.3.0	af5-1a:af5-2a	6.6	4.7	-65	141.6
4.88	4.95	4.81	Ma	This study	ACCEPT	17.3	Fit 1	206.0	-29.7	210	2	2	2	0	r	1.9952	0	Extrusive	Lava Flow	32.735786	Basaltic Lava	Golan-Heights	35.651932	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	mh1-37:mh1-38	mh1	pmagpy-3.16.0: demag_gui.v.3.0	mh1-37a:mh1-38a	19.2	10.6	-61.1	335.0
4.54	4.95	4.12	Ma	This study	ACCEPT	2.8	Fit 1	200.1	-35.5	578	6	6	6	0	r	5.9914	0	Extrusive	Lava Flow	32.735786	Basaltic Lava	Golan-Heights	35.651932	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	mh2-1:mh2-2:mh2-3:mh2-4:mh2-5:mh2-6	mh2	pmagpy-3.16.0: demag_gui.v.3.0	mh2-1a:mh2-2a:mh2-3a:mh2-4a:mh2-5a:mh2-6a	3.2	1.9	-67.8	336.8
4.54	4.95	4.12	Ma	This study	ACCEPT	1.8	Fit 1	205.4	-32.4	1450	6	6	6	0	r	5.9966	0	Extrusive	Lava Flow	32.735786	Basaltic Lava	Golan-Heights	35.651932	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	mh3-10:mh3-11:mh3-12:mh3-7:mh3-8:mh3-9	mh3	pmagpy-3.16.0: demag_gui.v.3.0	mh3-10a:mh3-11a:mh3-12a:mh3-7a:mh3-8a:mh3-9a	2	1.1	-62.6	333.0
4.54	4.95	4.12	Ma	This study	ACCEPT	14	Fit 1	197.1	-31.3	319	2	2	2	0	r	1.9969	0	Extrusive	Lava Flow	32.735786	Basaltic Lava	Golan-Heights	35.651932	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	mh4-31:mh4-32	mh4	pmagpy-3.16.0: demag_gui.v.3.0	mh4-31a:mh4-32a	15.7	8.8	-67.9	347.3
4.54	4.95	4.12	Ma	This study	ACCEPT	7.3	Fit 1	196.4	-34	1174	2	2	2	0	r	1.9991	0	Extrusive	Lava Flow	32.735786	Basaltic Lava	Golan-Heights	35.651932	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	mh5-26:mh5-28	mh5	pmagpy-3.16.0: demag_gui.v.3.0	mh5-26a:mh5-28a	8.3	4.8	-69.6	345.4
4.5	4.88	4.12	Ma	This study	ACCEPT	6.6	Fit 1	205.3	-31.4	105	1	6	6	0	r	5.9522	0	Extrusive	Lava Flow	32.735786	Basaltic Lava	Golan-Heights	35.651932	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	mh6-1	mh6	pmagpy-3.16.0: demag_gui.v.3.0	mh6-13:mh6-14:mh6-15:mh6-16:mh6-17:mh6-18	7.4	4.1	-62.3	334.2
4.2	4.53	3.86	Ma	This study	ACCEPT	10.8	Fit 1	196.9	-28.8	51	5	5	5	0	r	4.9214	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd1-1:nd1-2:nd1-3:nd1-4:nd1-5	nd1	pmagpy-3.16.0: demag_gui.v.3.0	nd1-1a:nd1-2a:nd1-3a:nd1-4a:nd1-5a	11.9	6.5	-66.7	350.6
4.2	4.53	3.86	Ma	This study	ACCEPT	7.2	Fit 1	183.7	-36.5	293	3	3	3	0	r	2.9932	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd10-56:nd10-57:nd10-59	nd10	pmagpy-3.16.0: demag_gui.v.3.0	nd10-56a:nd10-57a:nd10-59a	8.4	4.9	-77	20.2
4.2	4.53	3.86	Ma	This study	ACCEPT	6.5	Fit 1	176.2	-37.7	199	4	4	4	0	r	3.9849	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd11-64:nd11-65:nd11-66:nd11-67	nd11	pmagpy-3.16.0: demag_gui.v.3.0	nd11-64a:nd11-65a:nd11-66a:nd11-67a	7.7	4.5	-77.8	52.7
4.2	4.53	3.86	Ma	This study	ACCEPT	4.2	Fit 1	176.6	-36.4	340	5	5	5	0	r	4.9882	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd12-6:nd12-69:nd12-70:nd12-71:nd12-7	nd12	pmagpy-3.16.0: demag_gui.v.3.0	nd12-68:nd12-69a:nd12-70a:nd12-71a:nd12-73	4.9	2.9	-77	50.1
4.2	4.53	3.86	Ma	This study	ACCEPT	29.8	Fit 1	178.6	-41.2	8	5	5	5	0	r	4.4688	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd13-74:nd13-75:nd13-76:nd13-77:nd13-79	nd13	pmagpy-3.16.0: demag_gui.v.3.0	nd13-74a:nd13-75a:nd13-76a:nd13-77a:nd13-79a	36.3	22.1	-80.7	43.7
4.2	4.53	3.86	Ma	This study	ACCEPT	3.9	Fit 1	178.8	-34.7	298	6	6	6	0	r	5.9832	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd14-80:nd14-81:nd14-8:nd14-83:nd14-84:nd14-85	nd14	pmagpy-3.16.0: demag_gui.v.3.0	nd14-80a:nd14-81a:nd14-82:nd14-83a:nd14-84a:nd14-85a	4.5	2.6	-76.2	40.5
4.2	4.53	3.86	Ma	This study	ACCEPT	3.4	Fit 1	186.2	-37	514	5	5	5	0	r	4.9922	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd15-87:nd15-88:nd15-89:nd15-90:nd15-91	nd15	pmagpy-3.16.0: demag_gui.v.3.0	nd15-87a:nd15-88a:nd15-89a:nd15-90a:nd15-91a	4	2.3	-76.6	10.0
3.97	4.08	3.86	Ma	This study	ACCEPT	4.7	Fit 1	176.0	-34.4	268	5	5	5	0	r	4.9851	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd16-93:nd16-94:nd16-95:nd16-96:nd16-97	nd16	pmagpy-3.16.0: demag_gui.v.3.0	nd16-93a:nd16-94a:nd16-95a:nd16-96a:nd16-97a	5.4	3.1	-75.5	51.1
4.2	4.53	3.86	Ma	This study	ACCEPT	3.9	Fit 1	202.5	-40.1	289	6	6	6	0	r	5.9827	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd2-10:nd2-11:nd2-12:nd2-7:nd2-8:nd2-9	nd2	pmagpy-3.16.0: demag_gui.v.3.0	nd2-10a:nd2-11a:nd2-12a:nd2-7a:nd2-8a:nd2-9a	4.7	2.8	-67.8	326.9
4.2	4.53	3.86	Ma	This study	ACCEPT	6.2	Fit 1	200.1	-35.8	153	5	5	5	0	r	4.9739	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd3-14:nd3-15:nd3-16:nd3-17:nd3-18	nd3	pmagpy-3.16.0: demag_gui.v.3.0	nd3-14a:nd3-15a:nd3-16a:nd3-17a:nd3-18a	7.2	4.2	-67.8	336.9
4.2	4.53	3.86	Ma	This study	ACCEPT	6.1	Fit 1	184.7	-27.3	230	4	4	4	0	r	3.9869	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd4-20:nd4-21:nd4-22:nd4-23	nd4	pmagpy-3.16.0: demag_gui.v.3.0	nd4-20a:nd4-21a:nd4-22a:nd4-23a	6.6	3.6	-71.1	21.6
4.2	4.53	3.86	Ma	This study	ACCEPT	11.4	Fit 1	194.7	-27.2	485	2	2	2	0	r	1.9979	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	nd5-25:nd5-26	nd5	pmagpy-3.16.0: demag_gui.v.3.0	nd5-25a:nd5-26a	12.4	6.8	-67.2	356.4
4.2	4.53	3.86	Ma	This study	ACCEPT	3.2	Fit 1	191.5	-35.8	356	7	7	7	0	r	6.9832	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd6-31:nd6-32:nd6-33:nd6-34:nd6-35:nd6-36:nd6-37	nd6	pmagpy-3.16.0: demag_gui.v.3.0	nd6-31a:nd6-32a:nd6-33a:nd6-34a:nd6-35a:nd6-36a:nd6-37a	3.7	2.2	-73.4	354.8
4.2	4.53	3.86	Ma	This study	ACCEPT	3.3	Fit 1	184.4	-36	420	6	6	6	0	r	5.9881	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd7-38:nd7-39:nd7-40:nd7-41:nd7-42:nd7-43	nd7	pmagpy-3.16.0: demag_gui.v.3.0	nd7-38a:nd7-39a:nd7-40a:nd7-41a:nd7-42a:nd7-43a	3.8	2.2	-76.5	17.8
4.2	4.53	3.86	Ma	This study	ACCEPT	6.7	Fit 1	181.2	-40.3	130	5	5	5	0	r	4.9691	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd8-44:nd8-4:nd8-46:nd8-47:nd8-48	nd8	pmagpy-3.16.0: demag_gui.v.3.0	nd8-44a:nd8-45:nd8-46a:nd8-47a:nd8-48a	8.1	4.9	-80	29.4
4.2	4.53	3.86	Ma	This study	ACCEPT	5.9	Fit 1	184.4	-35.4	169	3	5	5	0	r	4.9764	0	Extrusive	Lava Flow	32.89943	Basaltic Lava	Golan-Heights	35.76627	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	nd9-5:nd9-51:nd9-53	nd9	pmagpy-3.16.0: demag_gui.v.3.0	nd9-50:nd9-51b:nd9-53a:nd9-54:nd9-55	6.8	3.9	-76.1	18.3
4.82	5.19	4.45	Ma	This study	ACCEPT	8.1	Fit 1	168.9	-31.5	944	2	2	2	0	r	1.9989	0	Extrusive	Lava Flow	32.80937	Basaltic Lava	Golan-Heights	35.741991	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	ne1-1:ne1-2	ne1	pmagpy-3.16.0: demag_gui.v.3.0	ne1-1a:ne1-2a	9.1	5.1	-71.3	70.8
4.8	5.19	4.4	Ma	This study	ACCEPT	3.1	Fit 1	164.1	-30.5	616	5	5	5	0	r	4.9935	0	Extrusive	Lava Flow	32.80937	Basaltic Lava	Golan-Heights	35.741991	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	ne2-10:ne2-11:ne2-7:ne2-8:ne2-9	ne2	pmagpy-3.16.0: demag_gui.v.3.0	ne2-10a:ne2-11a:ne2-7a:ne2-8a:ne2-9a	3.5	1.9	-68.2	80.8
4.8	5.19	4.4	Ma	This study	ACCEPT	1.9	Fit 1	160.3	-32.9	4004	3	3	3	0	r	2.9995	0	Extrusive	Lava Flow	32.80937	Basaltic Lava	Golan-Heights	35.741991	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	ne3-13:ne3-14:ne3-15	ne3	pmagpy-3.16.0: demag_gui.v.3.0	ne3-13a:ne3-14a:ne3-15a	2.2	1.2	-66.9	90.5
4.8	5.19	4.4	Ma	This study	ACCEPT	7	Fit 1	163.2	-31.1	120	5	5	5	0	r	4.9667	0	Extrusive	Lava Flow	32.80937	Basaltic Lava	Golan-Heights	35.741991	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	ne4-19:ne4-20:ne4-21:ne4-22:ne4-23	ne4	pmagpy-3.16.0: demag_gui.v.3.0	ne4-19a:ne4-20a:ne4-21a:ne4-22a:ne4-23a	7.8	4.4	-67.9	83.2
4.8	5.19	4.4	Ma	This study	ACCEPT	3.3	Fit 1	168.4	-57.6	413	6	6	6	0	r	5.9879	0	Extrusive	Lava Flow	32.80937	Basaltic Lava	Golan-Heights	35.741991	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	ne5-25:ne5-26:ne5-27:ne5-28:ne5-29:ne5-30	ne5	pmagpy-3.16.0: demag_gui.v.3.0	ne5-25a:ne5-26a:ne5-27a:ne5-28a:ne5-29a:ne5-30a	4.8	3.5	-79.1	158.9
4.8	5.19	4.4	Ma	This study	ACCEPT	2.7	Fit 1	175.1	-56.4	628	6	6	6	0	r	5.992	0	Extrusive	Lava Flow	32.80937	Basaltic Lava	Golan-Heights	35.741991	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	ne6-31:ne6-32:ne6-33:ne6-34:ne6-35:ne6-36	ne6	pmagpy-3.16.0: demag_gui.v.3.0	ne6-31a:ne6-32a:ne6-33a:ne6-34a:ne6-35a:ne6-36a	3.9	2.8	-84.2	173.1
4.55	4.7	4.4	Ma	This study	ACCEPT	2.2	Fit 1	190.6	-55.1	771	7	7	7	0	r	6.9922	0	Extrusive	Lava Flow	32.80937	Basaltic Lava	Golan-Heights	35.741991	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	ne7-37:ne7-38:ne7-39:ne7-40:ne7-41:ne7-42:ne7-43	ne7	pmagpy-3.16.0: demag_gui.v.3.0	ne7-37a:ne7-38a:ne7-39a:ne7-40a:ne7-41a:ne7-42a:ne7-43a	3.1	2.2	-80.8	285.0
5.45	5.53	5.37	Ma	This study	ACCEPT	2.8	Fit 1	169.3	-53.1	587	6	6	6	0	r	5.9915	0	Extrusive	Lava Flow	32.848164	Basaltic Lava	Golan-Heights	35.736884	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	ns1-1:ns1-2:ns1-3:ns1-4:ns1-5:ns1-6	ns1	pmagpy-3.16.0: demag_gui.v.3.0	ns1-1a:ns1-2a:ns1-3a:ns1-4a:ns1-5a:ns1-6a	3.9	2.7	-81	133.9
4.72	5.53	3.9	Ma	This study	ACCEPT	8.9	Fit 1	178.3	-53.6	790	2	2	2	0	r	1.9987	0	Extrusive	Lava Flow	32.848164	Basaltic Lava	Golan-Heights	35.736884	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	ns2-12:ns2-8	ns2	pmagpy-3.16.0: demag_gui.v.3.0	ns2-12a:ns2-8a	12.4	8.7	-88.1	168.6
4.72	5.53	3.9	Ma	This study	ACCEPT	2	Fit 1	162.4	-33.9	1136	6	6	6	0	r	5.9956	0	Extrusive	Lava Flow	32.848164	Basaltic Lava	Golan-Heights	35.736884	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	ns3-13:ns3-14:ns3-15:ns3-16:ns3-17:ns3-18	ns3	pmagpy-3.16.0: demag_gui.v.3.0	ns3-13a:ns3-14a:ns3-15a:ns3-16a:ns3-17a:ns3-18a	2.3	1.3	-68.7	87.9
4.72	5.53	3.9	Ma	This study	ACCEPT	2.9	Fit 1	165.7	-27.3	519	6	6	6	0	r	5.9904	0	Extrusive	Lava Flow	32.848164	Basaltic Lava	Golan-Heights	35.736884	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	ns4-19:ns4-20:ns4-21:ns4-22:ns4-23:ns4-24	ns4	pmagpy-3.16.0: demag_gui.v.3.0	ns4-19a:ns4-20a:ns4-21a:ns4-22a:ns4-23a:ns4-24a	3.2	1.7	-67.5	74.4
4.72	5.53	3.9	Ma	This study	ACCEPT	4.7	Fit 1	166.8	-23.6	206	6	6	6	0	r	5.9758	0	Extrusive	Lava Flow	32.848164	Basaltic Lava	Golan-Heights	35.736884	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	ns5-25:ns5-26:ns5-27:ns5-28:ns5-29:ns5-30	ns5	pmagpy-3.16.0: demag_gui.v.3.0	ns5-25a:ns5-26a:ns5-27a:ns5-28a:ns5-29a:ns5-30a	5	2.7	-66.2	69.3
4.06	4.22	3.9	Ma	This study	ACCEPT	16.5	Fit 1	164.0	-30.4	230	2	2	2	0	r	1.9957	0	Extrusive	Lava Flow	32.848164	Basaltic Lava	Golan-Heights	35.736884	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	ns6-31:ns6-34	ns6	pmagpy-3.16.0: demag_gui.v.3.0	ns6-31a:ns6-34a	18.4	10.2	-68.1	80.8
