Label Id,Exp,Site,Hole,Core,Core Type,Section,Section Half,Interval Top (cm) on SHLF, Interval Bot (cm) on SHLF,Top Depth (m),Bottom Depth (m),Depth Method,Top Offset (cm) on Parent Sample,Bottom Offset (cm) on Parent Sample,Volume (cc),Sample Type,Sampling Tool,Sample Name,Comments,Request Number,Request Code,Test,Text Id,Repository,Sample Date Logged,Sample Changed On,Sample Entered By
318-U1359B-2H-1-W 40/42-Tauxe,318,U1359,B,2,H,1,W,40,42,8.1,8.12,CCSF-A,40,42,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354692,,6/18/10 14:02,6/18/10 14:02,RUMFORD
318-U1359B-2H-1-W 60/62-Tauxe,318,U1359,B,2,H,1,W,60,62,8.3,8.32,CCSF-A,60,62,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354702,,6/18/10 14:02,6/18/10 14:02,RUMFORD
318-U1359B-2H-1-W 91/93-Tauxe,318,U1359,B,2,H,1,W,91,93,8.61,8.63,CCSF-A,91,93,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354682,,6/18/10 14:02,7/1/10 10:20,RUMFORD
318-U1359B-2H-1-W 114/116-Tauxe,318,U1359,B,2,H,1,W,114,116,8.84,8.86,CCSF-A,114,116,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354712,,6/18/10 14:02,6/30/10 16:37,RUMFORD
318-U1359B-2H-2-W 0/2-Tauxe,318,U1359,B,2,H,2,W,0,2,9.2,9.22,CCSF-A,0,2,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354762,,6/18/10 14:02,6/18/10 14:02,RUMFORD
318-U1359B-2H-2-W 17/19-Tauxe,318,U1359,B,2,H,2,W,17,19,9.37,9.39,CCSF-A,17,19,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354772,,6/18/10 14:02,6/30/10 16:37,RUMFORD
318-U1359B-2H-2-W 41/43-Tauxe,318,U1359,B,2,H,2,W,41,43,9.61,9.63,CCSF-A,41,43,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354782,,6/18/10 14:02,7/1/10 10:33,RUMFORD
318-U1359B-2H-2-W 60/62-Tauxe,318,U1359,B,2,H,2,W,60,62,9.8,9.82,CCSF-A,60,62,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354792,,6/18/10 14:02,6/18/10 14:02,RUMFORD
318-U1359B-2H-2-W 100/102-Tauxe,318,U1359,B,2,H,2,W,100,102,10.2,10.22,CCSF-A,100,102,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354822,,6/18/10 14:02,6/18/10 14:02,RUMFORD
318-U1359B-2H-2-W 117/119-Tauxe,318,U1359,B,2,H,2,W,117,119,10.37,10.39,CCSF-A,117,119,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354832,,6/18/10 14:02,6/30/10 16:37,RUMFORD
318-U1359B-2H-3-W 2/4-Tauxe,318,U1359,B,2,H,3,W,2,4,10.72,10.74,CCSF-A,2,4,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354852,,6/18/10 14:02,7/1/10 10:33,RUMFORD
318-U1359B-2H-3-W 15/17-Tauxe,318,U1359,B,2,H,3,W,15,17,10.85,10.87,CCSF-A,15,17,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354862,,6/18/10 14:02,7/1/10 10:33,RUMFORD
318-U1359B-2H-3-W 42/44-Tauxe,318,U1359,B,2,H,3,W,42,44,11.12,11.14,CCSF-A,42,44,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354872,,6/18/10 14:02,7/1/10 10:20,RUMFORD
318-U1359B-2H-3-W 60/62-Tauxe,318,U1359,B,2,H,3,W,60,62,11.3,11.32,CCSF-A,60,62,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354882,,6/18/10 14:02,6/18/10 14:02,RUMFORD
318-U1359B-2H-3-W 100/102-Tauxe,318,U1359,B,2,H,3,W,100,102,11.7,11.72,CCSF-A,100,102,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354912,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-2H-3-W 120/122-Tauxe,318,U1359,B,2,H,3,W,120,122,11.9,11.92,CCSF-A,120,122,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354922,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-2H-3-W 135/137-Tauxe,318,U1359,B,2,H,3,W,135,137,12.05,12.07,CCSF-A,135,137,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354932,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-2H-4-W 0/2-Tauxe,318,U1359,B,2,H,4,W,0,2,12.2,12.22,CCSF-A,0,2,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354942,,6/18/10 14:03,6/18/10 14:03,RUMFORD
