tab 	er_sites
er_citation_names	er_expedition_name	er_location_name	er_site_name	site_class	site_definition	site_lat	site_lithology	site_lon	site_type
This study	318	U1359C	318-U1359C-015H-1-W-80	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-015H-2-W-64	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-015H-3-W-76	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-015H-4-W-63	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-015H-5-W-76	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-015H-6-W-67	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-015H-7-W-6	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-015H-CC-W-15	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-016H-1-W-136	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-016H-2-W-87	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-016H-3-W-77	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-016H-4-W-73	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-016H-5-W-78	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-016H-6-W-104	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-016H-7-W-45	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-016H-CC-W-11	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-017H-1-W-79	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-017H-2-W-80	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-017H-3-W-60	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-017H-4-W-85	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-017H-5-W-67	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-017H-6-W-47	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-018H-1-W-82	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-018H-2-W-54	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-018H-3-W-65	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-018H-4-W-81	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-018H-5-W-70	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-018H-6-W-80	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-018H-7-W-8	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.05	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.1	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.15	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.2	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.25	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.3	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.35	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.4	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.05	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.1	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.15	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.2	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.25	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.3	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.35	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.4	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.1	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.15	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.2	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.25	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.3	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.35	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.4	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.45	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.5	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.55	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.6	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.65	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.7	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.75	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.8	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.85	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.9	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.95	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.05	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.1	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.15	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.2	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.25	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.3	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.35	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.4	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.1	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.15	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.2	Sedimentary	s	-64.8541	Not Specified	143.9604	Sediment Layer
