tab 	er_specimens
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_method_codes	specimen_class	specimen_core_depth	specimen_lithology	specimen_type
This study	318	U1359C	318-U1359C-015H-1-W-80	318-U1359C-015H-1-W-80	318-U1359C-015H-1-W-80		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-015H-2-W-64	318-U1359C-015H-2-W-64	318-U1359C-015H-2-W-64		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-015H-3-W-76	318-U1359C-015H-3-W-76	318-U1359C-015H-3-W-76		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-015H-4-W-63	318-U1359C-015H-4-W-63	318-U1359C-015H-4-W-63		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-015H-5-W-76	318-U1359C-015H-5-W-76	318-U1359C-015H-5-W-76		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-015H-6-W-67	318-U1359C-015H-6-W-67	318-U1359C-015H-6-W-67		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-015H-7-W-6	318-U1359C-015H-7-W-6	318-U1359C-015H-7-W-6		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-015H-CC-W-15	318-U1359C-015H-CC-W-15	318-U1359C-015H-CC-W-15		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-016H-1-W-136	318-U1359C-016H-1-W-136	318-U1359C-016H-1-W-136		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-016H-2-W-87	318-U1359C-016H-2-W-87	318-U1359C-016H-2-W-87		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-016H-3-W-77	318-U1359C-016H-3-W-77	318-U1359C-016H-3-W-77		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-016H-4-W-73	318-U1359C-016H-4-W-73	318-U1359C-016H-4-W-73		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-016H-5-W-78	318-U1359C-016H-5-W-78	318-U1359C-016H-5-W-78		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-016H-6-W-104	318-U1359C-016H-6-W-104	318-U1359C-016H-6-W-104		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-016H-7-W-45	318-U1359C-016H-7-W-45	318-U1359C-016H-7-W-45		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-016H-CC-W-11	318-U1359C-016H-CC-W-11	318-U1359C-016H-CC-W-11		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-017H-1-W-79	318-U1359C-017H-1-W-79	318-U1359C-017H-1-W-79		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-017H-2-W-80	318-U1359C-017H-2-W-80	318-U1359C-017H-2-W-80		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-017H-3-W-60	318-U1359C-017H-3-W-60	318-U1359C-017H-3-W-60		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-017H-4-W-85	318-U1359C-017H-4-W-85	318-U1359C-017H-4-W-85		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-017H-5-W-67	318-U1359C-017H-5-W-67	318-U1359C-017H-5-W-67		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-017H-6-W-47	318-U1359C-017H-6-W-47	318-U1359C-017H-6-W-47		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-018H-1-W-82	318-U1359C-018H-1-W-82	318-U1359C-018H-1-W-82		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-018H-2-W-54	318-U1359C-018H-2-W-54	318-U1359C-018H-2-W-54		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-018H-3-W-65	318-U1359C-018H-3-W-65	318-U1359C-018H-3-W-65		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-018H-4-W-81	318-U1359C-018H-4-W-81	318-U1359C-018H-4-W-81		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-018H-5-W-70	318-U1359C-018H-5-W-70	318-U1359C-018H-5-W-70		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-018H-6-W-80	318-U1359C-018H-6-W-80	318-U1359C-018H-6-W-80		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-018H-7-W-8	318-U1359C-018H-7-W-8	318-U1359C-018H-7-W-8		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.05	318-U1359C-001H_1A-1.05	318-U1359C-001H_1A-1.05		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.1	318-U1359C-001H_1A-1.1	318-U1359C-001H_1A-1.1		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.15	318-U1359C-001H_1A-1.15	318-U1359C-001H_1A-1.15		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.2	318-U1359C-001H_1A-1.2	318-U1359C-001H_1A-1.2		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.25	318-U1359C-001H_1A-1.25	318-U1359C-001H_1A-1.25		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.3	318-U1359C-001H_1A-1.3	318-U1359C-001H_1A-1.3		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.35	318-U1359C-001H_1A-1.35	318-U1359C-001H_1A-1.35		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_1A-1.4	318-U1359C-001H_1A-1.4	318-U1359C-001H_1A-1.4		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1	318-U1359C-001H_2A-1	318-U1359C-001H_2A-1		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.05	318-U1359C-001H_2A-1.05	318-U1359C-001H_2A-1.05		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.1	318-U1359C-001H_2A-1.1	318-U1359C-001H_2A-1.1		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.15	318-U1359C-001H_2A-1.15	318-U1359C-001H_2A-1.15		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.2	318-U1359C-001H_2A-1.2	318-U1359C-001H_2A-1.2		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.25	318-U1359C-001H_2A-1.25	318-U1359C-001H_2A-1.25		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.3	318-U1359C-001H_2A-1.3	318-U1359C-001H_2A-1.3		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.35	318-U1359C-001H_2A-1.35	318-U1359C-001H_2A-1.35		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_2A-1.4	318-U1359C-001H_2A-1.4	318-U1359C-001H_2A-1.4		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.1	318-U1359C-001H_4A-0.1	318-U1359C-001H_4A-0.1		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.15	318-U1359C-001H_4A-0.15	318-U1359C-001H_4A-0.15		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.2	318-U1359C-001H_4A-0.2	318-U1359C-001H_4A-0.2		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.25	318-U1359C-001H_4A-0.25	318-U1359C-001H_4A-0.25		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.3	318-U1359C-001H_4A-0.3	318-U1359C-001H_4A-0.3		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.35	318-U1359C-001H_4A-0.35	318-U1359C-001H_4A-0.35		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.4	318-U1359C-001H_4A-0.4	318-U1359C-001H_4A-0.4		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.45	318-U1359C-001H_4A-0.45	318-U1359C-001H_4A-0.45		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.5	318-U1359C-001H_4A-0.5	318-U1359C-001H_4A-0.5		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.55	318-U1359C-001H_4A-0.55	318-U1359C-001H_4A-0.55		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.6	318-U1359C-001H_4A-0.6	318-U1359C-001H_4A-0.6		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.65	318-U1359C-001H_4A-0.65	318-U1359C-001H_4A-0.65		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.7	318-U1359C-001H_4A-0.7	318-U1359C-001H_4A-0.7		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.75	318-U1359C-001H_4A-0.75	318-U1359C-001H_4A-0.75		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.8	318-U1359C-001H_4A-0.8	318-U1359C-001H_4A-0.8		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.85	318-U1359C-001H_4A-0.85	318-U1359C-001H_4A-0.85		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.9	318-U1359C-001H_4A-0.9	318-U1359C-001H_4A-0.9		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-0.95	318-U1359C-001H_4A-0.95	318-U1359C-001H_4A-0.95		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1	318-U1359C-001H_4A-1	318-U1359C-001H_4A-1		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.05	318-U1359C-001H_4A-1.05	318-U1359C-001H_4A-1.05		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.1	318-U1359C-001H_4A-1.1	318-U1359C-001H_4A-1.1		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.15	318-U1359C-001H_4A-1.15	318-U1359C-001H_4A-1.15		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.2	318-U1359C-001H_4A-1.2	318-U1359C-001H_4A-1.2		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.25	318-U1359C-001H_4A-1.25	318-U1359C-001H_4A-1.25		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.3	318-U1359C-001H_4A-1.3	318-U1359C-001H_4A-1.3		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.35	318-U1359C-001H_4A-1.35	318-U1359C-001H_4A-1.35		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_4A-1.4	318-U1359C-001H_4A-1.4	318-U1359C-001H_4A-1.4		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.1	318-U1359C-001H_5A-0.1	318-U1359C-001H_5A-0.1		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.15	318-U1359C-001H_5A-0.15	318-U1359C-001H_5A-0.15		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.2	318-U1359C-001H_5A-0.2	318-U1359C-001H_5A-0.2		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.25	318-U1359C-001H_5A-0.25	318-U1359C-001H_5A-0.25		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.3	318-U1359C-001H_5A-0.3	318-U1359C-001H_5A-0.3		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.35	318-U1359C-001H_5A-0.35	318-U1359C-001H_5A-0.35		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.4	318-U1359C-001H_5A-0.4	318-U1359C-001H_5A-0.4		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.45	318-U1359C-001H_5A-0.45	318-U1359C-001H_5A-0.45		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.5	318-U1359C-001H_5A-0.5	318-U1359C-001H_5A-0.5		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.55	318-U1359C-001H_5A-0.55	318-U1359C-001H_5A-0.55		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.6	318-U1359C-001H_5A-0.6	318-U1359C-001H_5A-0.6		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.65	318-U1359C-001H_5A-0.65	318-U1359C-001H_5A-0.65		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.7	318-U1359C-001H_5A-0.7	318-U1359C-001H_5A-0.7		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.75	318-U1359C-001H_5A-0.75	318-U1359C-001H_5A-0.75		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.8	318-U1359C-001H_5A-0.8	318-U1359C-001H_5A-0.8		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.85	318-U1359C-001H_5A-0.85	318-U1359C-001H_5A-0.85		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.9	318-U1359C-001H_5A-0.9	318-U1359C-001H_5A-0.9		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-001H_5A-0.95	318-U1359C-001H_5A-0.95	318-U1359C-001H_5A-0.95		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.35	318-U1359C-005H_1A-0.35	318-U1359C-005H_1A-0.35		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.4	318-U1359C-005H_1A-0.4	318-U1359C-005H_1A-0.4		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.45	318-U1359C-005H_1A-0.45	318-U1359C-005H_1A-0.45		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.5	318-U1359C-005H_1A-0.5	318-U1359C-005H_1A-0.5		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.55	318-U1359C-005H_1A-0.55	318-U1359C-005H_1A-0.55		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.6	318-U1359C-005H_1A-0.6	318-U1359C-005H_1A-0.6		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.65	318-U1359C-005H_1A-0.65	318-U1359C-005H_1A-0.65		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.7	318-U1359C-005H_1A-0.7	318-U1359C-005H_1A-0.7		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.75	318-U1359C-005H_1A-0.75	318-U1359C-005H_1A-0.75		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.8	318-U1359C-005H_1A-0.8	318-U1359C-005H_1A-0.8		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.85	318-U1359C-005H_1A-0.85	318-U1359C-005H_1A-0.85		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.9	318-U1359C-005H_1A-0.9	318-U1359C-005H_1A-0.9		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-0.95	318-U1359C-005H_1A-0.95	318-U1359C-005H_1A-0.95		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-1	318-U1359C-005H_1A-1	318-U1359C-005H_1A-1		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-1.05	318-U1359C-005H_1A-1.05	318-U1359C-005H_1A-1.05		Sedimentary		Not Specified	Sediment Layer
This study	318	U1359C	318-U1359C-005H_1A-1.1	318-U1359C-005H_1A-1.1	318-U1359C-005H_1A-1.1		Sedimentary		Not Specified	Sediment Layer
