tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	318	U1359B		318-U1359B-002H-1-W-40	318-U1359B-002H-1-W-40	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	8.1	8.1	2010:06:18:14:02:00.00	0	-64.9041	Not Specified	143.9609	Sediment Layer
This study	318	U1359B		318-U1359B-002H-1-W-60	318-U1359B-002H-1-W-60	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	8.3	8.3	2010:06:18:14:02:00.00	0	-64.9041	Not Specified	143.9609	Sediment Layer
This study	318	U1359B		318-U1359B-002H-1-W-91	318-U1359B-002H-1-W-91	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	8.61	8.61	2010:06:18:14:02:00.00	0	-64.9041	Not Specified	143.9609	Sediment Layer
This study	318	U1359B		318-U1359B-002H-1-W-114	318-U1359B-002H-1-W-114	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	8.84	8.84	2010:06:18:14:02:00.00	0	-64.9041	Not Specified	143.9609	Sediment Layer
This study	318	U1359B		318-U1359B-002H-2-W-0	318-U1359B-002H-2-W-0	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	9.2	9.2	2010:06:18:14:02:00.00	0	-64.9041	Not Specified	143.9609	Sediment Layer
This study	318	U1359B		318-U1359B-002H-2-W-17	318-U1359B-002H-2-W-17	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	9.37	9.37	2010:06:18:14:02:00.00	0	-64.9041	Not Specified	143.9609	Sediment Layer
This study	318	U1359B		318-U1359B-002H-2-W-41	318-U1359B-002H-2-W-41	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	9.61	9.61	2010:06:18:14:02:00.00	0	-64.9041	Not Specified	143.9609	Sediment Layer
This study	318	U1359B		318-U1359B-002H-2-W-60	318-U1359B-002H-2-W-60	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	9.8	9.8	2010:06:18:14:02:00.00	0	-64.9041	Not Specified	143.9609	Sediment Layer
This study	318	U1359B		318-U1359B-002H-2-W-100	318-U1359B-002H-2-W-100	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	10.2	10.2	2010:06:18:14:02:00.00	0	-64.9041	Not Specified	143.9609	Sediment Layer
This study	318	U1359B		318-U1359B-002H-2-W-117	318-U1359B-002H-2-W-117	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	10.37	10.37	2010:06:18:14:02:00.00	0	-64.9041	Not Specified	143.9609	Sediment Layer
