tab	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
2.87	2.401189	2.802507	0.507296	0.327047 : 0.324763 : 0.348190 : 0.001667 : -0.010545 : 0.017499	6.0	0.013985	ATRM	0.360102 : 152.0 : -59.7	0.326992 : 234.2 : 4.5	0.312905 : 141.6 : 29.9	This study	Critical F: 3.1059									hz05b3;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b4	Archeologic	Ceramic	6.39e-05	0.06	c	1.06	1.0	0.78	6.4	0.85	0.84	0.89	2.22	12.0	6.0	12.56	6e-05	Not Specified	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b4
2.01	0.420894	0.582323	0.045002	0.329712 : 0.323798 : 0.346489 : 0.001474 : 0.008516 : 0.006894	6.0	0.022263	ATRM	0.351577 : 43.9 : 64.9	0.327551 : 347.9 : -14.7	0.320872 : 263.3 : 19.9	This study	Critical F: 3.1059									hz05b4;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b5	Archeologic	Ceramic	6.850000000000001e-05	0.05	c	1.05	0.99	2.2	7.24	0.9	0.88	0.9	4.38	13.0	6.0	16.51	6e-05	Not Specified	863.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b5
1.27	2.747861	1.41865	2.034583	0.312526 : 0.335458 : 0.352015 : -0.000942 : -0.003543 : 0.016097	6.0	0.013923	ATRM	0.358329 : 154.5 : -68.5	0.334878 : 86.4 : 8.3	0.306793 : 179.4 : 19.6	This study	Critical F: 3.1059									hz05b5;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b5
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b6	Archeologic	Ceramic	7.950000000000001e-05	0.03	c	1.0	0.98	1.51	2.39	0.85	0.96	0.91	3.53	13.0	6.0	26.68	6e-05	Not Specified	863.0	373.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b6
6.13	25.428449	14.386189	17.448585	0.307029 : 0.347900 : 0.345071 : -0.009560 : 0.012877 : -0.002383	6.0	0.004966	ATRM	0.360870 : 102.1 : 39.6	0.334233 : 283.6 : 50.3	0.304898 : 192.7 : 0.7	This study	Critical F: 3.1059									hz05b6;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b6
	0.336368	0.216856	0.203719	0.330540 : 0.339839 : 0.329621 : 0.002654 : 0.006218 : -0.003469	9.0	0.014604	AARM	0.342853 : 84.9 : 24.0	0.333235 : 10.8 : -31.8	0.323913 : 144.9 : -48.3	This study	Critical F: 2.6848									hz05b6;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	b	hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b7	Archeologic	Ceramic	8.09e-05	0.02	c	1.0	0.98	1.59	1.25	0.75	0.8	0.9	3.19	12.0	6.0	33.52	6e-05	Not Specified	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b7
2.75	17.549169	17.082489	5.837202	0.320030 : 0.342800 : 0.337169 : -0.011796 : 0.014025 : -0.000445	6.0	0.004662	ATRM	0.356808 : 108.2 : 34.4	0.329560 : 319.0 : 51.4	0.313632 : 29.0 : -15.2	This study	Critical F: 3.1059									hz05b7;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b7
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c1	Archeologic	Ceramic	8.809999999999999e-05	0.02	c	1.0	0.95	0.77	2.17	0.79	0.79	0.88	2.42	10.0	6.0	29.38	6e-05	Not Specified	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c1
1.06	1.295841	1.459568	0.304165	0.341203 : 0.331542 : 0.327255 : -0.002397 : 0.000262 : 0.004132	6.0	0.006756	ATRM	0.342785 : 348.3 : 14.4	0.331242 : 81.5 : 12.3	0.325973 : 210.4 : 70.9	This study	Critical F: 3.1059									hz05c1;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c2	Archeologic	Ceramic	8.609999999999999e-05	0.02	c	1.0	0.96	0.83	2.37	0.8	0.82	0.89	1.57	11.0	5.0	31.02	6e-05	Not Specified	833.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c2
1.48	3.987221	0.554942	5.219226	0.337347 : 0.323227 : 0.339427 : -0.014194 : 0.003368 : -0.000743	6.0	0.007642	ATRM	0.346930 : 326.8 : -18.2	0.338880 : 345.2 : 70.9	0.314190 : 58.6 : -5.6	This study	Critical F: 3.1059									hz05c2;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c3	Archeologic	Ceramic	8.6e-05	0.02	c	1.02	0.95	1.59	2.88	0.82	0.77	0.89	3.7	13.0	5.0	29.84	6e-05	Not Specified	833.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c3
2.46	3.937268	2.524062	2.397924	0.318136 : 0.346635 : 0.335229 : -0.010237 : -0.005275 : 0.004472	6.0	0.008533	ATRM	0.352344 : 109.4 : -20.7	0.333172 : 87.2 : 67.8	0.314484 : 196.5 : 7.7	This study	Critical F: 3.1059									hz05c3;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c4	Archeologic	Ceramic	8.68e-05	0.02	c	1.0	0.96	0.22	2.85	0.81	0.84	0.89	0.92	11.0	6.0	30.99	6e-05	Not Specified	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c4
0.84	3.375713	2.089359	2.130349	0.340808 : 0.325203 : 0.333989 : -0.018114 : -0.004216 : 0.002122	6.0	0.009876	ATRM	0.353588 : 325.9 : 11.9	0.333399 : 175.6 : 76.4	0.313013 : 57.3 : 6.5	This study	Critical F: 3.1059									hz05c4;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c5	Archeologic	Ceramic	8.41e-05	0.03	c	1.03	0.96	1.09	2.12	0.82	0.83	0.89	2.48	13.0	5.0	28.76	6e-05	Not Specified	833.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c5
1.38	4.049385	4.712055	0.863548	0.339079 : 0.317826 : 0.343095 : -0.001442 : 0.002373 : 0.013251	6.0	0.008523	ATRM	0.354510 : 2.1 : 49.4	0.328345 : 161.8 : 38.8	0.317145 : 80.1 : -10.1	This study	Critical F: 3.1059									hz05c5;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c6	Archeologic	Ceramic	8.48e-05	0.01	c	1.02	0.96	0.91	0.05	0.77	0.78	0.89	2.18	11.0	5.0	87.01	6e-05	Not Specified	833.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c6
