tab	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07c2	Archeologic	Ceramic	6.409999999999999e-05	0.05	c	0.96	0.98	0.28	1.13	0.67	0.78	0.86	2.47	10.0	5.0	11.49	6e-05	Not Specified	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c2
2.81	6.194615	0.086414	10.573134	0.315717 : 0.349811 : 0.334472 : -0.007259 : -0.008082 : -0.027150	6.0	0.012169	ATRM	0.355359 : 233.3 : 47.4	0.350300 : 298.8 : -20.8	0.294342 : 13.3 : 35.2	This study	Critical F: 3.1059									hz07c2;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07c3	Archeologic	Ceramic	6.27e-05	0.05	c	0.94	0.98	1.16	1.18	0.65	0.71	0.86	4.62	10.0	5.0	10.34	6e-05	Not Specified	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c3
1.35	2.726437	0.295594	3.762031	0.341843 : 0.336533 : 0.321624 : -0.001407 : -0.021662 : -0.001410	6.0	0.01308	ATRM	0.351998 : 272.3 : 35.4	0.341940 : 179.7 : 3.6	0.306062 : 264.6 : -54.4	This study	Critical F: 3.1059									hz07c3;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c3
											This study											Archeologic	Ceramic																Not Specified						hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07c5	Archeologic	Ceramic	4.23e-05	0.03	c	1.25	0.98	0.95	5.53	0.74	0.72	0.85	4.02	10.0	6.0	21.7	6e-05	Not Specified	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c5
2.18	54.417327	49.15804	20.855578	0.310359 : 0.291750 : 0.397891 : -0.035838 : 0.028427 : -0.021387	6.0	0.009204	ATRM	0.413988 : 134.4 : 65.5	0.322727 : 326.4 : 24.1	0.263285 : 54.4 : -4.5	This study	Critical F: 3.1059									hz07c5;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c5
											This study											Archeologic	Ceramic																Not Specified						hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07c7	Archeologic	Ceramic	5.820000000000001e-05	0.02	c	1.04	0.95	0.68	2.86	0.68	0.78	0.88	2.29	10.0	6.0	27.65	6e-05	Not Specified	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c7
2.09	6.15954	1.649011	6.600893	0.330963 : 0.322195 : 0.346842 : 0.025793 : 0.001038 : -0.014787	6.0	0.011628	ATRM	0.361496 : 212.2 : 39.2	0.340378 : 56.9 : 48.1	0.298127 : 312.6 : 12.5	This study	Critical F: 3.1059									hz07c7;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c7
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07c8	Archeologic	Ceramic	6.330000000000001e-05	0.05	c	0.97	0.95	0.58	0.54	0.68	0.73	0.88	4.54	11.0	6.0	12.68	6e-05	Not Specified	863.0	473.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c8
6.21	4.051996	2.160922	2.923111	0.330463 : 0.334247 : 0.335290 : 0.000832 : -0.006171 : 0.019847	6.0	0.009311	ATRM	0.353743 : 161.6 : -48.4	0.334385 : 252.8 : -1.1	0.311871 : 163.7 : 41.6	This study	Critical F: 3.1059									hz07c8;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c8
	0.46667	0.366648	0.222967	0.334165 : 0.336760 : 0.329074 : 0.005396 : 0.000094 : 0.004615	9.0	0.010611	AARM	0.341753 : 227.4 : -14.1	0.332667 : 306.6 : 36.7	0.325581 : 154.7 : 49.8	This study	Critical F: 2.6848									hz07c8;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	b	hz07c	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c8
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d1	Archeologic	Ceramic	7.219999999999999e-05	0.02	c	0.97	0.94	1.08	3.22	0.78	0.78	0.88	1.79	10.0	5.0	30.18	6e-05	Not Specified	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d1
2.29	8.981155	10.415262	1.934988	0.322264 : 0.352623 : 0.325113 : 0.027548 : -0.001975 : -0.001608	6.0	0.009655	ATRM	0.369041 : 59.4 : -3.3	0.324976 : 78.7 : 86.5	0.305983 : 329.5 : 1.1	This study	Critical F: 3.1059									hz07d1;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d2	Archeologic	Ceramic	6.69e-05	0.01	c	1.05	0.93	1.28	6.83	0.81	0.79	0.89	2.81	11.0	6.0	73.83	6e-05	Not Specified	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d2
1.38	11.91396	13.333543	2.84565	0.315640 : 0.336054 : 0.348306 : 0.007176 : -0.014912 : -0.016174	6.0	0.007365	ATRM	0.364544 : 56.1 : -52.8	0.326513 : 99.7 : 28.8	0.308943 : 357.2 : 21.4	This study	Critical F: 3.1059									hz07d2;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d3	Archeologic	Ceramic	7.329999999999999e-05	0.01	c	0.99	0.95	1.71	3.69	0.94	0.93	0.89	3.71	13.0	5.0	77.79	6e-05	Not Specified	833.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d3
0.78	6.290778	5.672615	2.418757	0.330570 : 0.333545 : 0.335886 : 0.001563 : -0.019327 : 0.000050	6.0	0.00698	ATRM	0.354123 : 266.3 : 46.6	0.330614 : 1.5 : 4.8	0.315263 : 276.0 : -43.0	This study	Critical F: 3.1059									hz07d3;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d4	Archeologic	Ceramic	6.670000000000001e-05	0.02	c	1.11	0.93	1.42	5.54	0.88	0.85	0.9	2.72	12.0	6.0	42.5	6e-05	Not Specified	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d4
3.14	13.972315	22.06037	0.575219	0.314512 : 0.323171 : 0.362316 : -0.004550 : 0.018083 : -0.000742	6.0	0.007556	ATRM	0.369492 : 96.7 : 68.3	0.319306 : 131.4 : -18.1	0.311202 : 217.6 : 11.5	This study	Critical F: 3.1059									hz07d4;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d5	Archeologic	Ceramic	7.709999999999999e-05	0.01	c	0.98	0.94	0.43	5.22	0.8	0.82	0.87	1.05	10.0	6.0	55.4	6e-05	Not Specified	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d5
3.9	10.312673	13.21458	1.568553	0.346562 : 0.328248 : 0.325190 : 0.029269 : 0.006571 : 0.007614	6.0	0.009201	ATRM	0.370301 : 216.5 : -12.5	0.322998 : 204.0 : 77.2	0.306701 : 125.9 : -2.7	This study	Critical F: 3.1059									hz07d5;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d6	Archeologic	Ceramic	7.74e-05	0.01	c	0.99	0.94	0.19	7.0	0.81	0.82	0.87	0.56	10.0	6.0	67.03	6e-05	Not Specified	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d6
1.76	14.592951	17.498486	2.828307	0.316800 : 0.350109 : 0.333091 : -0.010366 : 0.015272 : 0.000094	6.0	0.005821	ATRM	0.360906 : 103.2 : 28.1	0.326469 : 317.6 : 57.1	0.312625 : 21.8 : -15.7	This study	Critical F: 3.1059									hz07d6;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07d	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d6
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07e1	Archeologic	Ceramic	8.3e-05	0.05	c	0.99	0.94	0.54	11.73	0.86	0.77	0.86	1.41	11.0	6.0	14.9	6e-05	Not Specified	863.0	473.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07e	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e1
5.89	4.963464	4.824757	1.655228	0.350108 : 0.335452 : 0.314440 : 0.011644 : 0.005548 : 0.004522	6.0	0.009051	ATRM	0.357567 : 29.7 : 8.8	0.329451 : 301.2 : -9.1	0.312983 : 256.4 : 77.3	This study	Critical F: 3.1059									hz07e1;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07e	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e1
	0.745068	0.112549	0.956285	0.341366 : 0.337548 : 0.321086 : 0.001485 : -0.001132 : -0.004511	9.0	0.01226	AARM	0.342863 : 198.1 : 12.0	0.337046 : 107.9 : 1.1	0.320091 : 12.7 : 77.9	This study	Critical F: 2.6848									hz07e1;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	b	hz07e	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07e2	Archeologic	Ceramic	7.54e-05	0.03	c	1.06	0.93	1.77	0.87	0.97	0.87	0.89	3.38	14.0	6.0	30.52	6e-05	Not Specified	863.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07e	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e2
4.49	2.998308	2.889937	1.017364	0.338868 : 0.317249 : 0.343883 : 0.005500 : -0.003379 : -0.011335	6.0	0.009942	ATRM	0.353996 : 14.6 : -49.5	0.330093 : 11.3 : 40.5	0.315911 : 102.7 : 1.7	This study	Critical F: 3.1059									hz07e2;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz07e	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e2
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07e3	Archeologic	Ceramic	7.96e-05	0.03	c	1.02	0.94	1.42	2.5	0.81	0.75	0.86	2.79	11.0	6.0	20.04	6e-05	Not Specified	863.0	473.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07e	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e3
7.24	4.77371	5.207863	1.221053	0.333724 : 0.356999 : 0.309278 : -0.023134 : 0.002458 : -0.013327	6.0	0.014693	ATRM	0.372601 : 123.3 : 8.4	0.325180 : 38.0 : -29.5	0.302219 : 18.9 : 59.1	This study	Critical F: 3.1059									hz07e3;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz07e	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e3
	3.951967	2.75365	2.19658	0.323253 : 0.358609 : 0.318138 : -0.007552 : -0.000275 : -0.012565	9.0	0.01191	AARM	0.360287 : 282.6 : -3.4	0.332338 : 195.5 : 40.6	0.307375 : 188.7 : -49.2	This study	Critical F: 2.6848									hz07e3;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	g	hz07e	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e3
											This study											Archeologic	Ceramic																Not Specified						hz07e	pmagpy-3.4.1: thellier_gui.v.3.0	hz07e5
											This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz09a1	Archeologic	Ceramic	6.9e-05	0.02	c	1.0	0.95	1.36	1.02	0.83	0.83	0.88	4.61	10.0	5.0	34.48	6e-05	Not Specified	833.0	473.0	K	DA-CR:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09a	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a1
											This study											Archeologic	Ceramic																Not Specified						hz09a	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a2
											This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz09a3	Archeologic	Ceramic	6.979999999999999e-05	0.03	c	1.0	0.95	0.89	0.24	0.85	0.82	0.88	2.74	10.0	6.0	23.11	6e-05	Not Specified	863.0	523.0	K	DA-CR:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09a	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a3
											This study											Archeologic	Ceramic																Not Specified						hz09a	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz09a5	Archeologic	Ceramic	7.23e-05	0.01	c	1.0	0.95	2.01	7.54	0.92	0.94	0.91	4.93	13.0	6.0	62.01	6e-05	Not Specified	863.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09a	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a5
4.99	7.090829	1.266691	8.707512	0.341781 : 0.338131 : 0.320088 : -0.000149 : 0.022944 : -0.008580	6.0	0.009106	ATRM	0.355663 : 295.7 : -34.4	0.341169 : 23.4 : 3.3	0.303168 : 288.5 : 55.3	This study	Critical F: 3.1059									hz09a5;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz09a	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a5
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz09a6	Archeologic	Ceramic	6.75e-05	0.02	c	1.01	0.95	2.5	2.93	0.82	0.79	0.88	4.21	10.0	5.0	32.18	6e-05	Not Specified	833.0	473.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09a	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a6
6.22	3.76073	3.332749	1.490191	0.348174 : 0.316425 : 0.335401 : -0.013308 : -0.000449 : 0.012319	6.0	0.011148	ATRM	0.358937 : 162.3 : -26.8	0.330155 : 138.3 : 61.1	0.310908 : 67.2 : -10.1	This study	Critical F: 3.1059									hz09a6;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz09a	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a6
	1.010879	1.109632	0.254461	0.348380 : 0.325778 : 0.325842 : -0.006432 : 0.003716 : 0.007037	9.0	0.014739	AARM	0.351476 : 347.9 : 13.4	0.329519 : 91.2 : 44.1	0.319005 : 245.1 : 42.8	This study	Critical F: 2.6848									hz09a6;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	b	hz09a	pmagpy-3.4.1: thellier_gui.v.3.0	hz09a6
											This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz09b1	Archeologic	Ceramic	5.16e-05	0.06	u	1.0		0.49	3.23	0.75	0.86	0.88	2.48	10.0	5.0	10.65	6e-05	Not Specified	833.0	473.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09b	pmagpy-3.4.1: thellier_gui.v.3.0	hz09b1
											This study											Archeologic	Ceramic																Not Specified						hz09b	pmagpy-3.4.1: thellier_gui.v.3.0	hz09b2
											This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz09b3	Archeologic	Ceramic	5.34e-05	0.09	u	1.0		1.28	2.35	0.7	0.81	0.88	4.16	10.0	5.0	7.1	6e-05	Not Specified	833.0	473.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz09b	pmagpy-3.4.1: thellier_gui.v.3.0	hz09b3
											This study											Archeologic	Ceramic																Not Specified						hz10a	pmagpy-3.4.1: thellier_gui.v.3.0	hz10a1
											This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz10a2	Archeologic	Ceramic	4.120000000000001e-05	0.04	u	1.0		1.9	7.35	0.87	0.72	0.87	4.97	11.0	6.0	21.36	6e-05	Not Specified	863.0	473.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10a	pmagpy-3.4.1: thellier_gui.v.3.0	hz10a2
											This study											Archeologic	Ceramic																Not Specified						hz10a	pmagpy-3.4.1: thellier_gui.v.3.0	hz10a3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10b1	Archeologic	Ceramic	8.159999999999999e-05	0.04	c	1.0	0.95	2.06	0.23	0.94	0.86	0.86	4.39	12.0	5.0	20.5	6e-05	Not Specified	803.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10b	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b1
2.44	1.706323	1.918102	0.402654	0.329546 : 0.338995 : 0.331459 : 0.006192 : -0.008911 : 0.000214	6.0	0.008181	ATRM	0.346463 : 250.3 : 29.0	0.330439 : 186.6 : -38.7	0.323098 : 134.9 : 37.7	This study	Critical F: 3.1059									hz10b1;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz10b	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10b2	Archeologic	Ceramic	8.190000000000001e-05	0.02	c	1.0	0.94	1.5	3.77	0.89	0.89	0.89	3.53	12.0	5.0	34.2	6e-05	Not Specified	803.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10b	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b2
6.46	3.889498	0.267498	5.781765	0.316161 : 0.352380 : 0.331459 : -0.010973 : -0.005364 : -0.020631	6.0	0.013646	ATRM	0.355456 : 286.4 : -1.7	0.345475 : 19.0 : -56.6	0.299070 : 15.4 : 33.3	This study	Critical F: 3.1059									hz10b2;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz10b	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10b3	Archeologic	Ceramic	8.190000000000001e-05	0.03	c	1.0	0.94	0.95	5.2	0.91	0.94	0.9	2.25	12.0	5.0	29.81	6e-05	Not Specified	803.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10b	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b3
8.03	5.969903	6.421093	1.583732	0.332201 : 0.335237 : 0.332562 : 0.014864 : -0.018429 : -0.004433	6.0	0.008839	ATRM	0.359693 : 236.3 : 33.3	0.328019 : 177.4 : -38.2	0.312288 : 119.8 : 34.2	This study	Critical F: 3.1059									hz10b3;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz10b	pmagpy-3.4.1: thellier_gui.v.3.0	hz10b3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10c1	Archeologic	Ceramic	6.42e-05	0.04	c	1.07	0.96	1.07	3.47	0.83	0.83	0.87	3.04	11.0	5.0	18.03	6e-05	Not Specified	833.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10c	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c1
3.06	17.873301	16.422683	6.644089	0.313137 : 0.353749 : 0.333114 : 0.006595 : 0.053880 : -0.021510	6.0	0.013079	ATRM	0.399195 : 97.9 : 40.4	0.324240 : 24.7 : -18.8	0.276564 : 133.7 : -43.6	This study	Critical F: 3.1059									hz10c1;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz10c	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10c2	Archeologic	Ceramic	5.97e-05	0.03	c	1.12	0.96	1.8	3.72	0.76	0.77	0.86	3.8	9.0	5.0	22.02	6e-05	Not Specified	833.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10c	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c2
2.72	7.102495	4.745934	4.139142	0.303587 : 0.329363 : 0.367050 : 0.022756 : -0.011119 : -0.020365	6.0	0.015288	ATRM	0.379395 : 225.8 : 60.9	0.332295 : 68.2 : 27.2	0.288310 : 333.3 : 9.5	This study	Critical F: 3.1059									hz10c2;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz10c	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c2
5.07	11.601113	6.325918	8.216727	0.357354 : 0.330866 : 0.311780 : -0.003411 : -0.011727 : -0.026208	6.0	0.009683	ATRM	0.369381 : 3.1 : -24.9	0.334937 : 280.7 : 16.0	0.295682 : 220.2 : -59.7	This study	Critical F: 3.1059									hz10c3;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz10c	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c3
											This study											Archeologic	Ceramic																Not Specified						hz10c	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c4
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz10c5	Archeologic	Ceramic	6.979999999999999e-05	0.02	c	0.93	0.95	1.08	0.24	0.77	0.79	0.86	2.98	9.0	5.0	34.45	6e-05	Not Specified	833.0	523.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz10c	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c5
5.26	7.672992	5.511457	4.113789	0.331599 : 0.354131 : 0.314270 : -0.011151 : -0.017988 : 0.022036	6.0	0.011789	ATRM	0.370698 : 120.8 : -25.3	0.331558 : 39.5 : 17.8	0.297743 : 160.8 : 58.3	This study	Critical F: 3.1059									hz10c5;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz10c	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c5
	2.119838	0.605805	2.211361	0.342905 : 0.341862 : 0.315234 : -0.005245 : -0.010057 : 0.005811	9.0	0.012415	AARM	0.351146 : 313.3 : 17.5	0.337481 : 221.4 : 5.9	0.311373 : 113.5 : 71.5	This study	Critical F: 2.6848									hz10c5;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	b	hz10c	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c5
