tab 	samples																			
azimuth	citations	cooling_rate	criteria	description	dip	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	result_type	sample	site	software_packages	specimens
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz06a, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	6.78E-05	3.12E-06	4.61	7	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz06a	hz06	thellier_gui.v.2.29:pmagpy-3.3.2	hz06a1:hz06a2:hz06a3:hz06a4:hz06a5:hz06a6:hz06a7
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.07E-05	7.56E-07	1.07	5	33.017	Not Specified	35.568	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz06b	hz06	thellier_gui.v.2.29:pmagpy-3.3.2	hz06b1:hz06b2:hz06b3:hz06b4:hz06b5
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz06b, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	7.07E-05	7.56E-07	1.07	5	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz06b	hz06	thellier_gui.v.2.29:pmagpy-3.3.2	hz06b1:hz06b2:hz06b3:hz06b4:hz06b5
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.77E-05	3.42E-08	0.04	3	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz06c	hz06	thellier_gui.v.2.29:pmagpy-3.3.2	hz06c1:hz06c2:hz06c3
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz06c, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	7.77E-05	3.42E-08	0.04	3	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz06c	hz06	thellier_gui.v.2.29:pmagpy-3.3.2	hz06c1:hz06c2:hz06c3
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.44E-05	2.10E-07	0.33	4	33.017	Not Specified	35.568	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz07a	hz07	thellier_gui.v.2.29:pmagpy-3.3.2	hz07a1:hz07a2:hz07a4:hz07a5
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz07a, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	6.44E-05	2.10E-07	0.33	4	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz07a	hz07	thellier_gui.v.2.29:pmagpy-3.3.2	hz07a1:hz07a2:hz07a4:hz07a5
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.20E-05	4.99E-07	0.69	5	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz07b	hz07	thellier_gui.v.2.29:pmagpy-3.3.2	hz07b1:hz07b2:hz07b3:hz07b4:hz07b5
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz07b, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	7.20E-05	4.99E-07	0.69	5	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz07b	hz07	thellier_gui.v.2.29:pmagpy-3.3.2	hz07b1:hz07b2:hz07b3:hz07b4:hz07b5
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.71E-05	3.26E-06	5.72	5	33.017	Not Specified	35.568	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz07c	hz07	thellier_gui.v.2.29:pmagpy-3.3.2	hz07c2:hz07c3:hz07c5:hz07c7:hz07c8
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz07c, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	5.71E-05	3.26E-06	5.72	5	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz07c	hz07	thellier_gui.v.2.29:pmagpy-3.3.2	hz07c2:hz07c3:hz07c5:hz07c7:hz07c8
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.86E-05	2.80E-06	4.08	6	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz07d	hz07	thellier_gui.v.2.29:pmagpy-3.3.2	hz07d1:hz07d2:hz07d3:hz07d4:hz07d5:hz07d6
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz07d, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	6.86E-05	2.80E-06	4.08	6	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz07d	hz07	thellier_gui.v.2.29:pmagpy-3.3.2	hz07d1:hz07d2:hz07d3:hz07d4:hz07d5:hz07d6
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.58E-05	1.54E-06	2.03	3	33.017	Not Specified	35.568	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz07e	hz07	thellier_gui.v.2.29:pmagpy-3.3.2	hz07e1:hz07e2:hz07e3
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz07e, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	7.58E-05	1.54E-06	2.03	3	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz07e	hz07	thellier_gui.v.2.29:pmagpy-3.3.2	hz07e1:hz07e2:hz07e3
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.62E-05	1.63E-06	2.47	4	33.017	Not Specified	35.568	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz09a	hz09	thellier_gui.v.2.29:pmagpy-3.3.2	hz09a1:hz09a3:hz09a5:hz09a6
