specimen	treatment	treatment_type	moment	dec_s	inc_s
sr01a2	200.1	T	3.16E-02	171.5	32.1
sr01a2	200.3	T	3.09E-02	171.4	30.3
sr01a2	250	T	3.03E-02	171.4	29.5
sr01a2	250.1	T	3.14E-02	171.9	33.7
sr01a2	300	T	2.92E-02	172.2	30.1
sr01a2	200.2	T	3.00E-02	171.3	32.4
sr01a2	300.1	T	3.07E-02	172	34.7
sr01a2	300.3	T	2.89E-02	171.8	30.7
sr01a2	350	T	2.71E-02	172.2	30.4
sr01a2	350.1	T	2.94E-02	172.1	37.3
sr01a2	400	T	2.35E-02	172.8	30.2
sr01a2	300.2	T	2.53E-02	173.1	37.4
sr01a2	400.1	T	2.82E-02	174.2	45.3
sr01a2	400.3	T	2.23E-02	172.9	31.4
sr01a2	450	T	1.66E-02	172.2	29.9
sr01a2	450.1	T	2.69E-02	173.1	57.9
sr01a2	500	T	1.28E-02	172.6	30
sr01a2	400.2	T	2.01E-02	174.4	55.5
sr01a2	500.1	T	2.39E-02	172.4	62.7
sr01a2	500.3	T	1.21E-02	172.4	31.4
sr01a2	525	T	8.50E-03	172.7	30.2
sr01a2	525.1	T	2.58E-02	167.4	73.5
sr01a2	550	T	4.06E-03	172.4	30.9
sr01a2	500.2	T	1.95E-02	160.7	79.5
sr01a2	550.1	T	3.00E-02	163.2	82.6
sr01a2	550.3	T	3.66E-03	173.5	36.9
sr01a2	575	T	1.77E-03	173	32.2
sr01a2	575.1	T	3.29E-02	128.9	84.2
