tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	magic_method_codes	sample_alteration	sample_alteration_type	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_date	sample_declination_correction	sample_dip	sample_lat	sample_lithology	sample_lon	sample_orientation_flag	sample_time_zone	sample_type
This study	Ejumaima	07EJ001	Peter C. Lippert	EJU-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	169.5	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	-4	38	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ002	Peter C. Lippert	EJU-1	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	167	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	40	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ003	Peter C. Lippert	EJU-1	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	172	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	37	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ004	Peter C. Lippert	EJU-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	226.5	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	2.5	25	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ005	Peter C. Lippert	EJU-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	216.8	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	1.80000000000001	50	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ006	Peter C. Lippert	EJU-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	213.8	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	-2.19999999999999	37	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ007	Peter C. Lippert	EJU-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	223.57	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	-0.430000000000007	37	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ008	Peter C. Lippert	EJU-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	220.4	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0.400000000000006	36	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ009	Peter C. Lippert	EJU-2	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	190.6	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	-1.4	23	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ010	Peter C. Lippert	EJU-2	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	125.3	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	2.30000000000001	26	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ011	Peter C. Lippert	EJU-2	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	137	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	1	30	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ012	Peter C. Lippert	EJU-2	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	151.3	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	2.30000000000001	27	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ013	Peter C. Lippert	EJU-2	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	210	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	1	51	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ014	Peter C. Lippert	EJU-2	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	136.8	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	1.80000000000001	28	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ015	Peter C. Lippert	EJU-2	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	143.2	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	3.19999999999999	29	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ016	Peter C. Lippert	EJU-2	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	145.57	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	3.56999999999999	25	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ017	Peter C. Lippert	EJU-3	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	213	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	44	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ018	Peter C. Lippert	EJU-3	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	209	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	34	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ019	Peter C. Lippert	EJU-3	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	211	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	36	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ020	Peter C. Lippert	EJU-3	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	122.7	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	2.69999999999999	33	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ021	Peter C. Lippert	EJU-3	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	151	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	4	49	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ022	Peter C. Lippert	EJU-3	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	138.4	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	3.40000000000001	34	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ023	Peter C. Lippert	EJU-3	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	127	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	8	32	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ024	Peter C. Lippert	EJU-3	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	134	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	37	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ025	Peter C. Lippert	EJU-3	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	151	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	36	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ026	Peter C. Lippert	EJU-4	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	138.2	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	3.19999999999999	32	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ027	Peter C. Lippert	EJU-4	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	163	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	1	30	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ028	Peter C. Lippert	EJU-4	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	134.9	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	4.90000000000001	61	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ029	Peter C. Lippert	EJU-4	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	88	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	45	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ030	Peter C. Lippert	EJU-4	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	145	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	53	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ031	Peter C. Lippert	EJU-4	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	129	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	66	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ032	Peter C. Lippert	EJU-5	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	129.65	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	-2	25	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ033	Peter C. Lippert	EJU-5	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	133.65	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	-3	31	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ034	Peter C. Lippert	EJU-5	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	106.9	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	-4	40	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ035	Peter C. Lippert	EJU-5	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	101.78	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	-2	25	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ036	Peter C. Lippert	EJU-5	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	162	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	35	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
This study	Ejumaima	07EJ037	Peter C. Lippert	EJU-5	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	136.52	21	117	Extrusive : Igneous : Subaerial	2007:09:24:00:00:00.00	0	29	32.219	Basalt : Basaltic Lava : Trachybasalt	86.63	g	+8 GMT	Lava Flow
