tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	magic_method_codes	specimen_alteration	specimen_alteration_type	specimen_azimuth	specimen_class	specimen_dip	specimen_lithology	specimen_type
This study	Ejumaima	07EJ001	Peter C. Lippert	EJU-1	07EJ001a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	169.5	Extrusive : Igneous : Subaerial	38	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ001	Peter C. Lippert	EJU-1	07EJ001b	LP-DC4:LP-DIR-T	Unaltered	Weathering	169.5	Extrusive : Igneous : Subaerial	38	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ002	Peter C. Lippert	EJU-1	07EJ002a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	167	Extrusive : Igneous : Subaerial	40	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ003	Peter C. Lippert	EJU-1	07EJ003a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	172	Extrusive : Igneous : Subaerial	37	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ004	Peter C. Lippert	EJU-1	07EJ004a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	226.5	Extrusive : Igneous : Subaerial	25	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ005	Peter C. Lippert	EJU-1	07EJ005a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	216.8	Extrusive : Igneous : Subaerial	50	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ006	Peter C. Lippert	EJU-1	07EJ006a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	213.8	Extrusive : Igneous : Subaerial	37	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ007	Peter C. Lippert	EJU-1	07EJ007a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	223.57	Extrusive : Igneous : Subaerial	37	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ008	Peter C. Lippert	EJU-1	07EJ008a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	220.4	Extrusive : Igneous : Subaerial	36	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ009	Peter C. Lippert	EJU-2	07EJ009a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	220.4	Extrusive : Igneous : Subaerial	36	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ009	Peter C. Lippert	EJU-2	07EJ009b	LP-DC4:LP-DIR-T	Unaltered	Weathering	190.6	Extrusive : Igneous : Subaerial	23	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ010	Peter C. Lippert	EJU-2	07EJ010a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	125.3	Extrusive : Igneous : Subaerial	26	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ011	Peter C. Lippert	EJU-2	07EJ011a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	137	Extrusive : Igneous : Subaerial	30	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ012	Peter C. Lippert	EJU-2	07EJ012a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	151.3	Extrusive : Igneous : Subaerial	27	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ013	Peter C. Lippert	EJU-2	07EJ013a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	210	Extrusive : Igneous : Subaerial	51	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ014	Peter C. Lippert	EJU-2	07EJ014a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	136.8	Extrusive : Igneous : Subaerial	28	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ015	Peter C. Lippert	EJU-2	07EJ015a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	143.2	Extrusive : Igneous : Subaerial	29	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ016	Peter C. Lippert	EJU-2	07EJ016a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	145.57	Extrusive : Igneous : Subaerial	25	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ016	Peter C. Lippert	EJU-2	07EJ016b	LP-DC4:LP-DIR-T	Unaltered	Weathering	145.57	Extrusive : Igneous : Subaerial	25	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ017	Peter C. Lippert	EJU-3	07EJ017a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	213	Extrusive : Igneous : Subaerial	44	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ018	Peter C. Lippert	EJU-3	07EJ018a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	209	Extrusive : Igneous : Subaerial	34	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ018	Peter C. Lippert	EJU-3	07EJ018b	LP-DC4:LP-DIR-T	Unaltered	Weathering	209	Extrusive : Igneous : Subaerial	34	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ019	Peter C. Lippert	EJU-3	07EJ019a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	211	Extrusive : Igneous : Subaerial	36	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ020	Peter C. Lippert	EJU-3	07EJ020a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	122.7	Extrusive : Igneous : Subaerial	33	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ021	Peter C. Lippert	EJU-3	07EJ021a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	151	Extrusive : Igneous : Subaerial	49	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ022	Peter C. Lippert	EJU-3	07EJ022a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	138.4	Extrusive : Igneous : Subaerial	34	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ023	Peter C. Lippert	EJU-3	07EJ023a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	127	Extrusive : Igneous : Subaerial	32	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ023	Peter C. Lippert	EJU-3	07EJ023b	LP-DC4:LP-DIR-T	Unaltered	Weathering	127	Extrusive : Igneous : Subaerial	32	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ024	Peter C. Lippert	EJU-3	07EJ024a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	134	Extrusive : Igneous : Subaerial	37	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Ejumaima	07EJ025	Peter C. Lippert	EJU-3	07EJ025a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	151	Extrusive : Igneous : Subaerial	36	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
