tab 	measurements
citations	experiment	instrument_codes	magn_moment	meas_field_dc	measurement_standard	measurement_temp	method_codes	number	quality	sample	scientists	site	specimen	treat_dc_field	treat_temp
This study	IS06a-1:LP-HYS	SIO-Maud	4.933e+01	5.613e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.886e+01	5.442e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.836e+01	5.270e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.787e+01	5.099e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.735e+01	4.928e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.683e+01	4.757e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.630e+01	4.586e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.573e+01	4.413e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.516e+01	4.242e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.455e+01	4.071e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.394e+01	3.899e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.329e+01	3.728e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.260e+01	3.555e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.190e+01	3.384e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.116e+01	3.213e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	4.039e+01	3.042e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	3.957e+01	2.870e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	3.872e+01	2.699e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	3.782e+01	2.526e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	3.686e+01	2.355e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	3.585e+01	2.182e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	3.476e+01	2.012e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	3.362e+01	1.839e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	3.238e+01	1.668e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	3.104e+01	1.496e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	2.961e+01	1.325e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	2.804e+01	1.154e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	2.632e+01	9.810e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	2.441e+01	8.100e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	2.226e+01	6.375e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	1.979e+01	4.665e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	1.684e+01	2.940e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	1.324e+01	1.230e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	8.615e+00	-4.800e-03	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	2.522e+00	-2.205e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.277e+00	-3.915e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-1.036e+01	-5.640e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-1.538e+01	-7.350e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-1.946e+01	-9.075e-02	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-2.279e+01	-1.079e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-2.555e+01	-1.251e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-2.787e+01	-1.422e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-2.984e+01	-1.593e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-3.155e+01	-1.766e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-3.306e+01	-1.937e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-3.441e+01	-2.108e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-3.563e+01	-2.280e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-3.677e+01	-2.451e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-3.780e+01	-2.624e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-3.876e+01	-2.795e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-3.966e+01	-2.966e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.050e+01	-3.138e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.129e+01	-3.309e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
