tab	samples
sample	site
is031c2	is031c
is031d2	is031d
is031e2	is031e
is031f1	is031f
is032c1	is032c
is032d2	is032d
is032f1	is032f
is032i2	is032i
is033b2	is033b
is033c2	is033c
is033e2	is033e
is033g1	is033g
is034c2	is034c
is034d2	is034d
is034e1	is034e
is034f2	is034f
is035a1	is035a
is035g1	is035g
is035h1	is035h
is036b2	is036b
is036c2	is036c
is036d2	is036d
is036h2	is036h
is037b2	is037b
is037c1	is037c
is037e2	is037e
is037h1	is037h
is037i1	is037i
is038b1	is038b
is038d1	is038d
is038e1	is038e
is039c2	is039c
is039d1	is039d
is039f1	is039f
is039g2	is039g
is040a2	is040a
is040b2	is040b
is040e2	is040e
is040g1	is040g
is041a2	is041a
is041b1	is041b
is041c2	is041c
is041f1	is041f
is042a2	is042a
is042c2	is042c
is042d1	is042d
is042g1	is042g
is043a1	is043a
is043c1	is043c
is043f2	is043f
is043g2	is043g
is044a2	is044a
is044c2	is044c
is044e2	is044e
is045a1	is045a
is045b2	is045b
is045e1	is045e
is045f2	is045f
is046a1	is046a
is046c2	is046c
is046d1	is046d
is046f1	is046f
is047a2	is047a
is047d1	is047d
is047e2	is047e
is047g1	is047g
is048a1	is048a
is048c2	is048c
is048h1	is048h
is048i2	is048i
is049a1	is049a
is049c3	is049c
is049d2	is049d
is049f2	is049f
is050a2	is050a
is050b1	is050b
is050e2	is050e
is050g1	is050g
is050h2	is050h
is051b1	is051b
is051c3	is051c
is051d1	is051d
is051f2	is051f
is051h3	is051h
is052b2	is052b
is052d1	is052d
is052g2	is052g
is052h1	is052h
is052j2	is052j
is053c2	is053c
is053d1	is053d
is053e2	is053e
is053f1	is053f
is053h2	is053h
is054d1	is054d
is054e3	is054e
is054g1	is054g
is054h2	is054h
is054i2	is054i
is054j1	is054j
is055a1	is055a
is055b1	is055b
is055d1	is055d
is055e2	is055e
is055f2	is055f
is055g3	is055g
is055h3	is055h
is056a1	is056a
is056c1	is056c
is056c4	is056c
is056e1	is056e
is056f3	is056f
is056g2	is056g
is056h3	is056h
is101a2	is101a
is101e2	is101e
is101f2	is101f
is101g2	is101g
is101h2	is101h
is102a1	is102a
is102a2	is102a
is102b1	is102b
is102c2	is102c
is102c3	is102c
is102e2	is102e
is102n2	is102n
is102o2	is102o
