tab	specimens
specimen	sample	volume	susc_chi_volume
is031c2	is031c2	0.0	 0.000e+00
is031d2	is031d2	0.0	 0.000e+00
is031e2	is031e2	0.0	 0.000e+00
is031f1	is031f1	0.0	 0.000e+00
is032c1	is032c1	0.0	 0.000e+00
is032d2	is032d2	0.0	 0.000e+00
is032f1	is032f1	0.0	 0.000e+00
is032i2	is032i2	0.0	 0.000e+00
is033b2	is033b2	0.0	 0.000e+00
is033c2	is033c2	0.0	 0.000e+00
is033e2	is033e2	0.0	 0.000e+00
is033g1	is033g1	0.0	 0.000e+00
is034c2	is034c2	0.0	 0.000e+00
is034d2	is034d2	0.0	 0.000e+00
is034e1	is034e1	0.0	 0.000e+00
is034f2	is034f2	0.0	 0.000e+00
is035a1	is035a1	0.0	 0.000e+00
is035g1	is035g1	0.0	 0.000e+00
is035h1	is035h1	0.0	 0.000e+00
is036b2	is036b2	0.0	 0.000e+00
is036c2	is036c2	0.0	 0.000e+00
is036d2	is036d2	0.0	 0.000e+00
is036h2	is036h2	0.0	 0.000e+00
is037b2	is037b2	0.0	 0.000e+00
is037c1	is037c1	0.0	 0.000e+00
is037e2	is037e2	0.0	 0.000e+00
is037h1	is037h1	0.0	 0.000e+00
is037i1	is037i1	0.0	 0.000e+00
is038b1	is038b1	0.0	 0.000e+00
is038d1	is038d1	0.0	 0.000e+00
is038e1	is038e1	0.0	 0.000e+00
is039c2	is039c2	0.0	 0.000e+00
is039d1	is039d1	0.0	 0.000e+00
is039f1	is039f1	0.0	 0.000e+00
is039g2	is039g2	0.0	 0.000e+00
is040a2	is040a2	0.0	 0.000e+00
is040b2	is040b2	0.0	 0.000e+00
is040e2	is040e2	0.0	 0.000e+00
is040g1	is040g1	0.0	 0.000e+00
is041a2	is041a2	0.0	 0.000e+00
is041b1	is041b1	0.0	 0.000e+00
is041c2	is041c2	0.0	 0.000e+00
is041f1	is041f1	0.0	 0.000e+00
is042a2	is042a2	0.0	 0.000e+00
is042c2	is042c2	0.0	 0.000e+00
is042d1	is042d1	0.0	 0.000e+00
is042g1	is042g1	0.0	 0.000e+00
is043a1	is043a1	0.0	 0.000e+00
is043c1	is043c1	0.0	 0.000e+00
is043f2	is043f2	0.0	 0.000e+00
is043g2	is043g2	0.0	 0.000e+00
is044a2	is044a2	0.0	 0.000e+00
is044c2	is044c2	0.0	 0.000e+00
is044e2	is044e2	0.0	 0.000e+00
is045a1	is045a1	0.0	 0.000e+00
is045b2	is045b2	0.0	 0.000e+00
is045e1	is045e1	0.0	 0.000e+00
is045f2	is045f2	0.0	 0.000e+00
is046a1	is046a1	0.0	 0.000e+00
is046c2	is046c2	0.0	 0.000e+00
is046d1	is046d1	0.0	 0.000e+00
is046f1	is046f1	0.0	 0.000e+00
is047a2	is047a2	0.0	 0.000e+00
is047d1	is047d1	0.0	 0.000e+00
is047e2	is047e2	0.0	 0.000e+00
is047g1	is047g1	0.0	 0.000e+00
is048a1	is048a1	0.0	 0.000e+00
is048c2	is048c2	0.0	 0.000e+00
is048h1	is048h1	0.0	 0.000e+00
is048i2	is048i2	0.0	 0.000e+00
is049a1	is049a1	0.0	 0.000e+00
is049c3	is049c3	0.0	 0.000e+00
is049d2	is049d2	0.0	 0.000e+00
is049f2	is049f2	0.0	 0.000e+00
is050a2	is050a2	0.0	 0.000e+00
is050b1	is050b1	0.0	 0.000e+00
is050e2	is050e2	0.0	 0.000e+00
is050g1	is050g1	0.0	 0.000e+00
is050h2	is050h2	0.0	 0.000e+00
is051b1	is051b1	0.0	 0.000e+00
is051c3	is051c3	0.0	 0.000e+00
is051d1	is051d1	0.0	 0.000e+00
is051f2	is051f2	0.0	 0.000e+00
is051h3	is051h3	0.0	 0.000e+00
is052b2	is052b2	0.0	 0.000e+00
is052d1	is052d1	0.0	 0.000e+00
is052g2	is052g2	0.0	 0.000e+00
is052h1	is052h1	0.0	 0.000e+00
is052j2	is052j2	0.0	 0.000e+00
is053c2	is053c2	0.0	 0.000e+00
is053d1	is053d1	0.0	 0.000e+00
is053e2	is053e2	0.0	 0.000e+00
is053f1	is053f1	0.0	 0.000e+00
is053h2	is053h2	0.0	 0.000e+00
is054d1	is054d1	0.0	 0.000e+00
is054e3	is054e3	0.0	 0.000e+00
is054g1	is054g1	0.0	 0.000e+00
is054h2	is054h2	0.0	 0.000e+00
is054i2	is054i2	0.0	 0.000e+00
is054j1	is054j1	0.0	 0.000e+00
is055a1	is055a1	0.0	 0.000e+00
is055b1	is055b1	0.0	 0.000e+00
is055d1	is055d1	0.0	 0.000e+00
is055e2	is055e2	0.0	 0.000e+00
is055f2	is055f2	0.0	 0.000e+00
is055g3	is055g3	0.0	 0.000e+00
is055h3	is055h3	0.0	 0.000e+00
is056a1	is056a1	0.0	 0.000e+00
is056c1	is056c1	0.0	 0.000e+00
is056c4	is056c4	0.0	 0.000e+00
is056e1	is056e1	0.0	 0.000e+00
