tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
Bowles	10.1029/2005GC001141			119.20	13.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.21E-07		273	11	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	4.23E+02
Bowles	10.1029/2005GC001141			121.10	14.2	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.23E-07		273	12	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	4.73E+02
Bowles	10.1029/2005GC001141			120.90	11.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.18E-07		273	13	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	4.98E+02
Bowles	10.1029/2005GC001141			121.30	15.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.21E-07		273	14	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	4.98E+02
Bowles	10.1029/2005GC001141			121.20	12.1	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.14E-07		273	15	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	5.23E+02
Bowles	10.1029/2005GC001141			122.30	15.3	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.17E-07		273	16	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	4.73E+02
Bowles	10.1029/2005GC001141			120.50	17.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.17E-07		273	17	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	5.23E+02
Bowles	10.1029/2005GC001141			121.70	14	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.09E-07		273	18	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	5.48E+02
Bowles	10.1029/2005GC001141			120.30	18.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.10E-07		273	19	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	5.48E+02
Bowles	10.1029/2005GC001141			121.30	13.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.01E-07		273	20	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	5.73E+02
Bowles	10.1029/2005GC001141			120.80	18.7	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.04E-07		273	21	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	5.23E+02
Bowles	10.1029/2005GC001141			122.70	21.1	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.04E-07		273	22	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	5.73E+02
Bowles	10.1029/2005GC001141			121.90	15.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	9.06E-08		273	23	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	5.98E+02
Bowles	10.1029/2005GC001141			120.00	29.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	9.76E-08		273	24	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	5.98E+02
Bowles	10.1029/2005GC001141			123.00	14.3	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	8.37E-08		273	25	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	6.23E+02
Bowles	10.1029/2005GC001141			122.40	26.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	9.00E-08		273	26	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	5.73E+02
Bowles	10.1029/2005GC001141			123.70	31.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	9.30E-08		273	27	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	6.23E+02
Bowles	10.1029/2005GC001141			124.20	16.2	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	7.96E-08		273	28	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	6.48E+02
Bowles	10.1029/2005GC001141			121.40	33	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	8.97E-08		273	29	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	6.48E+02
Bowles	10.1029/2005GC001141			121.50	12.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	7.26E-08		273	30	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	6.73E+02
Bowles	10.1029/2005GC001141			122.20	31.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	7.98E-08		273	31	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	6.23E+02
Bowles	10.1029/2005GC001141			123.30	37.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	8.79E-08		273	32	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	6.73E+02
Bowles	10.1029/2005GC001141			121.20	13.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	6.17E-08		273	33	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	6.98E+02
Bowles	10.1029/2005GC001141			120.30	43.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	8.14E-08		273	34	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	6.98E+02
Bowles	10.1029/2005GC001141			118.80	16.1	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	4.49E-08		273	35	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	7.23E+02
Bowles	10.1029/2005GC001141			119.90	46.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	6.71E-08		273	36	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	6.73E+02
Bowles	10.1029/2005GC001141			122.40	59.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	8.88E-08		273	37	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	7.23E+02
Bowles	10.1029/2005GC001141			116.10	15	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.09E-08		273	38	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	7.48E+02
Bowles	10.1029/2005GC001141			111.90	76.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	8.63E-08		273	39	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	7.48E+02
Bowles	10.1029/2005GC001141			113.60	1.3	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.07E-08		273	40	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			0	0	0	7.73E+02
Bowles	10.1029/2005GC001141			111.90	80.7	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	6.30E-08		273	41	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	7.23E+02
Bowles	10.1029/2005GC001141			110.30	84.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	9.09E-08		273	42	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1a	u			2.50E-05	0	90	7.73E+02
Bowles	10.1029/2005GC001141			285.60	25.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.50E-07		273	0	LT-NO:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	273
Bowles	10.1029/2005GC001141			289.00	25.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.48E-07		273	1	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	3.73E+02
Bowles	10.1029/2005GC001141			285.80	25.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.48E-07		273	2	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	3.73E+02
Bowles	10.1029/2005GC001141			287.20	24.1	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.45E-07		273	3	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	3.98E+02
Bowles	10.1029/2005GC001141			286.60	26.3	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.52E-07		273	4	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	3.98E+02
Bowles	10.1029/2005GC001141			287.80	24.9	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.45E-07		273	5	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	4.23E+02
Bowles	10.1029/2005GC001141			289.00	26.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.48E-07		273	6	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	3.73E+02
Bowles	10.1029/2005GC001141			287.00	26.7	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.50E-07		273	7	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	4.23E+02
Bowles	10.1029/2005GC001141			287.80	25.9	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.43E-07		273	8	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	4.48E+02
Bowles	10.1029/2005GC001141			287.40	26.9	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.48E-07		273	9	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	4.48E+02
Bowles	10.1029/2005GC001141			287.20	24.4	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.41E-07		273	10	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	4.73E+02
Bowles	10.1029/2005GC001141			287.80	26.3	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.42E-07		273	11	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	4.23E+02
Bowles	10.1029/2005GC001141			287.80	28	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.46E-07		273	12	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	4.73E+02
Bowles	10.1029/2005GC001141			285.90	25.5	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.37E-07		273	13	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	4.98E+02
Bowles	10.1029/2005GC001141			288.50	31.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.47E-07		273	14	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	4.98E+02
Bowles	10.1029/2005GC001141			289.90	26.5	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.29E-07		273	15	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	5.23E+02
Bowles	10.1029/2005GC001141			287.70	29.1	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.37E-07		273	16	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	4.73E+02
