tab 	rmag_anisotropy
anisotropy_n	anisotropy_s1	anisotropy_s2	anisotropy_s3	anisotropy_s4	anisotropy_s5	anisotropy_s6	anisotropy_sigma	anisotropy_tilt_correction	anisotropy_type	anisotropy_unit	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes
192	0.3329491	0.3361932	0.3308577	-0.0009170	0.0010523	0.0023963	1.118E-3	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-1H-3_W_88	XXX-UTESTA-1H-3_W_88	XXX-UTESTA-1H-3_W_88	XXX-UTESTA-1H-3_W_88:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3323312	0.3325699	0.3350989	-0.0004355	0.0003593	0.0016609	1.206E-4	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-1H-1_W_62	XXX-UTESTA-1H-1_W_62	XXX-UTESTA-1H-1_W_62	XXX-UTESTA-1H-1_W_62:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3323538	0.3337956	0.3338506	-0.0000992	0.0002665	0.0016289	6.117E-4	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-1H-2_W_87	XXX-UTESTA-1H-2_W_87	XXX-UTESTA-1H-2_W_87	XXX-UTESTA-1H-2_W_87:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3348446	0.3354391	0.3297163	0.0006276	0.0001902	0.0024168	1.177E-4	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-2H-1_W_87	XXX-UTESTA-2H-1_W_87	XXX-UTESTA-2H-1_W_87	XXX-UTESTA-2H-1_W_87:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3331453	0.3348591	0.3319955	-0.0006425	-0.0008032	-0.0003163	9.243E-5	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-2H-3_W_77	XXX-UTESTA-2H-3_W_77	XXX-UTESTA-2H-3_W_77	XXX-UTESTA-2H-3_W_77:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3320095	0.3355437	0.3324468	0.0001607	0.0001406	0.0010430	7.274E-5	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-2H-2_W_97	XXX-UTESTA-2H-2_W_97	XXX-UTESTA-2H-2_W_97	XXX-UTESTA-2H-2_W_97:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3353045	0.3357894	0.3289061	-0.0002772	0.0002376	0.0008969	2.235E-4	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-2H-4_W_70	XXX-UTESTA-2H-4_W_70	XXX-UTESTA-2H-4_W_70	XXX-UTESTA-2H-4_W_70:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3389008	0.3413588	0.3197404	-0.0006585	-0.0005648	-0.0000650	8.247E-5	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-3H-1_W_61	XXX-UTESTA-3H-1_W_61	XXX-UTESTA-3H-1_W_61	XXX-UTESTA-3H-1_W_61:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3382437	0.3423029	0.3194534	-0.0004878	0.0003797	0.0009394	7.795E-5	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-3H-2_W_86	XXX-UTESTA-3H-2_W_86	XXX-UTESTA-3H-2_W_86	XXX-UTESTA-3H-2_W_86:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3395586	0.3399925	0.3204490	0.0005286	-0.0033122	0.0012977	8.856E-5	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-3H-3_W_86	XXX-UTESTA-3H-3_W_86	XXX-UTESTA-3H-3_W_86	XXX-UTESTA-3H-3_W_86:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3356975	0.3393356	0.3249669	-0.0005389	-0.0007161	0.0002845	1.679E-4	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-3H-4_W_91	XXX-UTESTA-3H-4_W_91	XXX-UTESTA-3H-4_W_91	XXX-UTESTA-3H-4_W_91:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3408644	0.3441376	0.3149980	-0.0000724	-0.0010620	-0.0000129	7.769E-5	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-3H-5_W_90	XXX-UTESTA-3H-5_W_90	XXX-UTESTA-3H-5_W_90	XXX-UTESTA-3H-5_W_90:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3345650	0.3394035	0.3260315	-0.0000290	0.0011808	0.0005243	5.238E-4	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-4H-1_W_72	XXX-UTESTA-4H-1_W_72	XXX-UTESTA-4H-1_W_72	XXX-UTESTA-4H-1_W_72:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
192	0.3358755	0.3380131	0.3261114	0.0004159	-0.0004445	0.0009151	1.961E-4	-1	AMS	Normalized by trace		This study	UTESTA	XXX-UTESTA-4H-2_W_68	XXX-UTESTA-4H-2_W_68	XXX-UTESTA-4H-2_W_68	XXX-UTESTA-4H-2_W_68:LP-AN-MS	-ins IODP-KLY4S	LP-X:AE-H:LP-AN-MS
