tab 	er_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	specimen_volume
	This study	UTESTA	XXX-UTESTA-6H-3_W_62	XXX-UTESTA-6H-3_W_62	XXX-UTESTA-6H-3_W_62	XXX-UTESTA-6H-3_W_62:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-5H-3_W_50	XXX-UTESTA-5H-3_W_50	XXX-UTESTA-5H-3_W_50	XXX-UTESTA-5H-3_W_50:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-7H-5_W_73	XXX-UTESTA-7H-5_W_73	XXX-UTESTA-7H-5_W_73	XXX-UTESTA-7H-5_W_73:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-5H-4_W_75	XXX-UTESTA-5H-4_W_75	XXX-UTESTA-5H-4_W_75	XXX-UTESTA-5H-4_W_75:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-7H-7_W_39	XXX-UTESTA-7H-7_W_39	XXX-UTESTA-7H-7_W_39	XXX-UTESTA-7H-7_W_39:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-7H-2_W_72	XXX-UTESTA-7H-2_W_72	XXX-UTESTA-7H-2_W_72	XXX-UTESTA-7H-2_W_72:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-7H-3_W_86	XXX-UTESTA-7H-3_W_86	XXX-UTESTA-7H-3_W_86	XXX-UTESTA-7H-3_W_86:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-7H-6_W_48	XXX-UTESTA-7H-6_W_48	XXX-UTESTA-7H-6_W_48	XXX-UTESTA-7H-6_W_48:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-7H-1_W_100	XXX-UTESTA-7H-1_W_100	XXX-UTESTA-7H-1_W_100	XXX-UTESTA-7H-1_W_100:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-6H-2_W_28	XXX-UTESTA-6H-2_W_28	XXX-UTESTA-6H-2_W_28	XXX-UTESTA-6H-2_W_28:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
