tab 	specimens
citations	method_codes	result_quality	sample	specimen	specimen_name_alternatives	volume
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-52.5	999-U999A-1H-3-A-52.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-55.0	999-U999A-1H-3-A-55.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-17.5	999-U999A-1H-3-A-17.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-57.5	999-U999A-1H-3-A-57.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-15.0	999-U999A-1H-3-A-15.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-10.0	999-U999A-1H-3-A-10.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-37.5	999-U999A-1H-3-A-37.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-92.5	999-U999A-1H-3-A-92.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-95.0	999-U999A-1H-3-A-95.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-97.5	999-U999A-1H-3-A-97.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-100.0	999-U999A-1H-3-A-100.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-102.5	999-U999A-1H-3-A-102.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-0.0	999-U999A-1H-3-A-0.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-2.5	999-U999A-1H-3-A-2.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-5.0	999-U999A-1H-3-A-5.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-7.5	999-U999A-1H-3-A-7.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-10.0	999-U999A-1H-3-A-10.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-12.5	999-U999A-1H-3-A-12.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-15.0	999-U999A-1H-3-A-15.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-17.5	999-U999A-1H-3-A-17.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-7.5	999-U999A-1H-3-A-7.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-12.5	999-U999A-1H-3-A-12.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-17.5	999-U999A-1H-3-A-17.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-60.0	999-U999A-1H-3-A-60.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-62.5	999-U999A-1H-3-A-62.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-0.0	999-U999A-1H-3-A-0.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-2.5	999-U999A-1H-3-A-2.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-5.0	999-U999A-1H-3-A-5.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-7.5	999-U999A-1H-3-A-7.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-10.0	999-U999A-1H-3-A-10.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-12.5	999-U999A-1H-3-A-12.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-15.0	999-U999A-1H-3-A-15.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-17.5	999-U999A-1H-3-A-17.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-20.0	999-U999A-1H-3-A-20.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-22.5	999-U999A-1H-3-A-22.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-25.0	999-U999A-1H-3-A-25.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-27.5	999-U999A-1H-3-A-27.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-30.0	999-U999A-1H-3-A-30.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-32.5	999-U999A-1H-3-A-32.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-35.0	999-U999A-1H-3-A-35.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-40.0	999-U999A-1H-3-A-40.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-42.5	999-U999A-1H-3-A-42.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-45.0	999-U999A-1H-3-A-45.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-47.5	999-U999A-1H-3-A-47.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-65.0	999-U999A-1H-3-A-65.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-67.5	999-U999A-1H-3-A-67.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-70.0	999-U999A-1H-3-A-70.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-20.0	999-U999A-1H-3-A-20.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-22.5	999-U999A-1H-3-A-22.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-25.0	999-U999A-1H-3-A-25.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-27.5	999-U999A-1H-3-A-27.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-50.0	999-U999A-1H-3-A-50.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-30.0	999-U999A-1H-3-A-30.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-35.0	999-U999A-1H-3-A-35.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-37.5	999-U999A-1H-3-A-37.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-50.0	999-U999A-1H-3-A-50.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-47.5	999-U999A-1H-3-A-47.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-45.0	999-U999A-1H-3-A-45.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-42.5	999-U999A-1H-3-A-42.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-50.0	999-U999A-1H-3-A-50.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-32.5	999-U999A-1H-3-A-32.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-47.5	999-U999A-1H-3-A-47.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-40.0	999-U999A-1H-3-A-40.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-42.5	999-U999A-1H-3-A-42.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-77.5	999-U999A-1H-3-A-77.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-45.0	999-U999A-1H-3-A-45.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-5.0	999-U999A-1H-3-A-5.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-87.5	999-U999A-1H-3-A-87.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-85.0	999-U999A-1H-3-A-85.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-82.5	999-U999A-1H-3-A-82.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-80.0	999-U999A-1H-3-A-80.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-77.5	999-U999A-1H-3-A-77.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-75.0	999-U999A-1H-3-A-75.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-72.5	999-U999A-1H-3-A-72.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-70.0	999-U999A-1H-3-A-70.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-67.5	999-U999A-1H-3-A-67.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-65.0	999-U999A-1H-3-A-65.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-62.5	999-U999A-1H-3-A-62.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-75.0	999-U999A-1H-3-A-75.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-60.0	999-U999A-1H-3-A-60.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-55.0	999-U999A-1H-3-A-55.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-52.5	999-U999A-1H-3-A-52.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-2.5	999-U999A-1H-3-A-2.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-0.0	999-U999A-1H-3-A-0.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-45.0	999-U999A-1H-3-A-45.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-42.5	999-U999A-1H-3-A-42.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-40.0	999-U999A-1H-3-A-40.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-37.5	999-U999A-1H-3-A-37.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-35.0	999-U999A-1H-3-A-35.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-32.5	999-U999A-1H-3-A-32.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-30.0	999-U999A-1H-3-A-30.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-27.5	999-U999A-1H-3-A-27.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-25.0	999-U999A-1H-3-A-25.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-22.5	999-U999A-1H-3-A-22.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-57.5	999-U999A-1H-3-A-57.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-72.5	999-U999A-1H-3-A-72.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-90.0	999-U999A-1H-3-A-90.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-37.5	999-U999A-1H-3-A-37.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-35.0	999-U999A-1H-3-A-35.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-32.5	999-U999A-1H-3-A-32.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-7.5	999-U999A-1H-3-A-7.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-5.0	999-U999A-1H-3-A-5.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-2.5	999-U999A-1H-3-A-2.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-0.0	999-U999A-1H-3-A-0.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-40.0	999-U999A-1H-3-A-40.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-56.0	999-U999A-1H-1-A-56.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-24.0	999-U999A-1H-1-A-24.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-2.0	999-U999A-1H-1-A-2.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-0.0	999-U999A-1H-1-A-0.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-102.0	999-U999A-1H-1-A-102.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-100.0	999-U999A-1H-1-A-100.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-98.0	999-U999A-1H-1-A-98.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-96.0	999-U999A-1H-1-A-96.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-94.0	999-U999A-1H-1-A-94.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-90.0	999-U999A-1H-1-A-90.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-88.0	999-U999A-1H-1-A-88.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-86.0	999-U999A-1H-1-A-86.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-84.0	999-U999A-1H-1-A-84.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-82.0	999-U999A-1H-1-A-82.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-80.0	999-U999A-1H-1-A-80.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-78.0	999-U999A-1H-1-A-78.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-76.0	999-U999A-1H-1-A-76.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-26.0	999-U999A-1H-1-A-26.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-28.0	999-U999A-1H-1-A-28.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-30.0	999-U999A-1H-1-A-30.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-32.0	999-U999A-1H-1-A-32.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-34.0	999-U999A-1H-1-A-34.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-36.0	999-U999A-1H-1-A-36.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-92.0	999-U999A-1H-1-A-92.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-20.0	999-U999A-1H-1-A-20.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-14.0	999-U999A-1H-1-A-14.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-74.0	999-U999A-1H-1-A-74.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-58.0	999-U999A-1H-1-A-58.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-60.0	999-U999A-1H-1-A-60.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-62.0	999-U999A-1H-1-A-62.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-64.0	999-U999A-1H-1-A-64.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-66.0	999-U999A-1H-1-A-66.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-68.0	999-U999A-1H-1-A-68.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-70.0	999-U999A-1H-1-A-70.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-72.0	999-U999A-1H-1-A-72.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-52.0	999-U999A-1H-1-A-52.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-50.0	999-U999A-1H-1-A-50.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-48.0	999-U999A-1H-1-A-48.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-46.0	999-U999A-1H-1-A-46.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-44.0	999-U999A-1H-1-A-44.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-42.0	999-U999A-1H-1-A-42.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-40.0	999-U999A-1H-1-A-40.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-38.0	999-U999A-1H-1-A-38.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-4.0	999-U999A-1H-1-A-4.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-6.0	999-U999A-1H-1-A-6.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-8.0	999-U999A-1H-1-A-8.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-10.0	999-U999A-1H-1-A-10.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-12.0	999-U999A-1H-1-A-12.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-54.0	999-U999A-1H-1-A-54.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-16.0	999-U999A-1H-1-A-16.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-18.0	999-U999A-1H-1-A-18.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-22.0	999-U999A-1H-1-A-22.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-88.0	999-U999A-1H-1-A-88.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-100.0	999-U999A-1H-1-A-100.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-44.0	999-U999A-1H-1-A-44.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-42.0	999-U999A-1H-1-A-42.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-40.0	999-U999A-1H-1-A-40.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-38.0	999-U999A-1H-1-A-38.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-36.0	999-U999A-1H-1-A-36.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-34.0	999-U999A-1H-1-A-34.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-32.0	999-U999A-1H-1-A-32.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-30.0	999-U999A-1H-1-A-30.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-28.0	999-U999A-1H-1-A-28.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-102.0	999-U999A-1H-1-A-102.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-24.0	999-U999A-1H-1-A-24.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-22.0	999-U999A-1H-1-A-22.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-20.0	999-U999A-1H-1-A-20.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-18.0	999-U999A-1H-1-A-18.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-16.0	999-U999A-1H-1-A-16.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-14.0	999-U999A-1H-1-A-14.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-12.0	999-U999A-1H-1-A-12.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-10.0	999-U999A-1H-1-A-10.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-8.0	999-U999A-1H-1-A-8.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-6.0	999-U999A-1H-1-A-6.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-4.0	999-U999A-1H-1-A-4.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-2.0	999-U999A-1H-1-A-2.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-0.0	999-U999A-1H-1-A-0.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-46.0	999-U999A-1H-1-A-46.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-48.0	999-U999A-1H-1-A-48.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-26.0	999-U999A-1H-1-A-26.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-52.0	999-U999A-1H-1-A-52.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-70.0	999-U999A-1H-1-A-70.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-72.0	999-U999A-1H-1-A-72.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-74.0	999-U999A-1H-1-A-74.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-76.0	999-U999A-1H-1-A-76.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-78.0	999-U999A-1H-1-A-78.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-80.0	999-U999A-1H-1-A-80.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-68.0	999-U999A-1H-1-A-68.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-82.0	999-U999A-1H-1-A-82.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-86.0	999-U999A-1H-1-A-86.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-90.0	999-U999A-1H-1-A-90.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-92.0	999-U999A-1H-1-A-92.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-94.0	999-U999A-1H-1-A-94.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-96.0	999-U999A-1H-1-A-96.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-50.0	999-U999A-1H-1-A-50.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-84.0	999-U999A-1H-1-A-84.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-66.0	999-U999A-1H-1-A-66.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-98.0	999-U999A-1H-1-A-98.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-54.0	999-U999A-1H-1-A-54.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-56.0	999-U999A-1H-1-A-56.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-58.0	999-U999A-1H-1-A-58.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-60.0	999-U999A-1H-1-A-60.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-62.0	999-U999A-1H-1-A-62.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-1-A-64.0	999-U999A-1H-1-A-64.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-10.0	999-U999A-1H-3-A-10.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-17.5	999-U999A-1H-3-A-17.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-15.0	999-U999A-1H-3-A-15.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-12.5	999-U999A-1H-3-A-12.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-10.0	999-U999A-1H-3-A-10.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-7.5	999-U999A-1H-3-A-7.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-40.0	999-U999A-1H-3-A-40.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-42.5	999-U999A-1H-3-A-42.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-45.0	999-U999A-1H-3-A-45.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-47.5	999-U999A-1H-3-A-47.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-50.0	999-U999A-1H-3-A-50.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-55.0	999-U999A-1H-3-A-55.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-57.5	999-U999A-1H-3-A-57.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-60.0	999-U999A-1H-3-A-60.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-62.5	999-U999A-1H-3-A-62.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-65.0	999-U999A-1H-3-A-65.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-67.5	999-U999A-1H-3-A-67.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-70.0	999-U999A-1H-3-A-70.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-72.5	999-U999A-1H-3-A-72.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-75.0	999-U999A-1H-3-A-75.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-77.5	999-U999A-1H-3-A-77.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-80.0	999-U999A-1H-3-A-80.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-82.5	999-U999A-1H-3-A-82.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-85.0	999-U999A-1H-3-A-85.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-87.5	999-U999A-1H-3-A-87.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-20.0	999-U999A-1H-3-A-20.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-22.5	999-U999A-1H-3-A-22.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-32.5	999-U999A-1H-3-A-32.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-27.5	999-U999A-1H-3-A-27.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-7.5	999-U999A-1H-3-A-7.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-5.0	999-U999A-1H-3-A-5.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-2.5	999-U999A-1H-3-A-2.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-0.0	999-U999A-1H-3-A-0.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-15.0	999-U999A-1H-3-A-15.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-17.5	999-U999A-1H-3-A-17.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-20.0	999-U999A-1H-3-A-20.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-22.5	999-U999A-1H-3-A-22.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-25.0	999-U999A-1H-3-A-25.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-27.5	999-U999A-1H-3-A-27.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-30.0	999-U999A-1H-3-A-30.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-32.5	999-U999A-1H-3-A-32.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-35.0	999-U999A-1H-3-A-35.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-37.5	999-U999A-1H-3-A-37.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-90.0	999-U999A-1H-3-A-90.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-52.5	999-U999A-1H-3-A-52.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-50.0	999-U999A-1H-3-A-50.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-47.5	999-U999A-1H-3-A-47.5		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-45.0	999-U999A-1H-3-A-45.0		
This study	FS-C-DRILL-IODP	g	999-U999A-1H-3-A-42.5	999-U999A-1H-3-A-42.5		
