tab	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	external_database_ids	instrument_codes	magn_moment	magn_volume	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
This study	IN-LINE AF DEMAG:A. extruder	0	216.4	-62.0	999-U999A-1H-1-W-26.0_LP-DIR-AF	LORE[113378601]	IODP-SRM:IODP-SRM-AF	4.88089e-08	0.0069727	1	273.0	999-U999A-1H-1-W-26.0_LP-DIR-AF-14	LT-AF-Z:LP-DIR-AF	g	14	pmagpy-4.2.25-1	999-U999A-1H-1-W-26.0	u	2019-03-25T19:33:34Z	0.065	0.0	0	0	13	273.0
This study	IN-LINE AF DEMAG:A. extruder	0	218.3	-58.7	999-U999A-1H-1-W-26.0_LP-DIR-AF	LORE[113378621]	IODP-SRM:IODP-SRM-AF	1.85738e-08	0.0026534	1	273.0	999-U999A-1H-1-W-26.0_LP-DIR-AF-15	LT-AF-Z:LP-DIR-AF	g	15	pmagpy-4.2.25-1	999-U999A-1H-1-W-26.0	u	2019-03-25T19:40:24Z	0.075	0.0	0	0	14	273.0
This study	IN-LINE AF DEMAG:A. extruder	0	222.5	-55.2	999-U999A-1H-1-W-26.0_LP-DIR-AF	LORE[113378631]	IODP-SRM:IODP-SRM-AF	2.74785e-08	0.0039255	1	273.0	999-U999A-1H-1-W-26.0_LP-DIR-AF-16	LT-AF-Z:LP-DIR-AF	g	16	pmagpy-4.2.25-1	999-U999A-1H-1-W-26.0	u	2019-03-25T19:36:54Z	0.07	0.0	0	0	15	273.0
This study	IN-LINE AF DEMAG:A. extruder	0	242.8	-60.2	999-U999A-1H-1-W-26.0_LP-DIR-AF	LORE[113378661]	IODP-SRM:IODP-SRM-AF	9.4206e-09	0.0013458	1	273.0	999-U999A-1H-1-W-26.0_LP-DIR-AF-17	LT-AF-Z:LP-DIR-AF	g	17	pmagpy-4.2.25-1	999-U999A-1H-1-W-26.0	u	2019-03-25T19:44:02Z	0.08	0.0	0	0	16	273.0
This study	NRM:	0	219.6	-75.3	999-U999A-1H-2-W-140.0_LP-DIR-AF	LORE[113378351]	IODP-SRM	1.2747e-06	0.1821	1	273.0	999-U999A-1H-2-W-140.0_LP-DIR-AF-18	LT-NO:LP-DIR-AF	g	18	pmagpy-4.2.25-1	999-U999A-1H-2-W-140.0	u	2019-03-25T19:01:38Z	0.0	0.0	0	0	0	273.0
This study	IN-LINE AF DEMAG:	0	205.6	-74.3	999-U999A-1H-2-W-140.0_LP-DIR-AF	LORE[113378371]	IODP-SRM:IODP-SRM-AF	7.672699999999999e-07	0.10961	1	273.0	999-U999A-1H-2-W-140.0_LP-DIR-AF-19	LT-AF-Z:LP-DIR-AF	g	19	pmagpy-4.2.25-1	999-U999A-1H-2-W-140.0	u	2019-03-25T19:03:36Z	0.005	0.0	0	0	1	273.0
This study	IN-LINE AF DEMAG:	0	206.8	-67.5	999-U999A-1H-2-W-140.0_LP-DIR-AF	LORE[113378391]	IODP-SRM:IODP-SRM-AF	4.710720000000001e-07	0.06729600000000001	1	273.0	999-U999A-1H-2-W-140.0_LP-DIR-AF-20	LT-AF-Z:LP-DIR-AF	g	20	pmagpy-4.2.25-1	999-U999A-1H-2-W-140.0	u	2019-03-25T19:05:28Z	0.01	0.0	0	0	2	273.0
This study	IN-LINE AF DEMAG:	0	198.7	-65.5	999-U999A-1H-2-W-140.0_LP-DIR-AF	LORE[113378411]	IODP-SRM:IODP-SRM-AF	3.83936e-07	0.054848	1	273.0	999-U999A-1H-2-W-140.0_LP-DIR-AF-21	LT-AF-Z:LP-DIR-AF	g	21	pmagpy-4.2.25-1	999-U999A-1H-2-W-140.0	u	2019-03-25T19:07:28Z	0.015	0.0	0	0	3	273.0
This study	IN-LINE AF DEMAG:	0	206.7	-66.8	999-U999A-1H-2-W-140.0_LP-DIR-AF	LORE[113378431]	IODP-SRM:IODP-SRM-AF	3.1991399999999996e-07	0.045702	1	273.0	999-U999A-1H-2-W-140.0_LP-DIR-AF-22	LT-AF-Z:LP-DIR-AF	g	22	pmagpy-4.2.25-1	999-U999A-1H-2-W-140.0	u	2019-03-25T19:09:31Z	0.02	0.0	0	0	4	273.0
This study	IN-LINE AF DEMAG:	0	209.4	-65.7	999-U999A-1H-2-W-140.0_LP-DIR-AF	LORE[113378451]	IODP-SRM:IODP-SRM-AF	2.6244399999999996e-07	0.037492	1	273.0	999-U999A-1H-2-W-140.0_LP-DIR-AF-23	LT-AF-Z:LP-DIR-AF	g	23	pmagpy-4.2.25-1	999-U999A-1H-2-W-140.0	u	2019-03-25T19:11:41Z	0.025	0.0	0	0	5	273.0
