tab 	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	external_database_ids	instrument_codes	magn_moment	magn_volume	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
This study	IN-LINE AF DEMAG:	0	239.2	30.0	999-U999A-1H-1-A-100.0_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	7.862391074603196e-07	0.0057901	1	2.730e+02	999-U999A-1H-1-A-100.0_LP-DIR-AF-14	LT-AF-Z:LP-DIR-AF	g	13	pmagpy-4.2.25-1	999-U999A-1H-1-A-100.0	u	2019-01-25T02:22:20Z	0.01	0	0	0	3	2.730e+02
This study	IN-LINE AF DEMAG:	0	239.2	22.8	999-U999A-1H-1-A-100.0_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.266290009105081e-07	0.0039705	1	2.730e+02	999-U999A-1H-1-A-100.0_LP-DIR-AF-15	LT-AF-Z:LP-DIR-AF	g	14	pmagpy-4.2.25-1	999-U999A-1H-1-A-100.0	u	2019-01-25T02:25:24Z	0.02	0	0	0	4	2.730e+02
This study	NRM:	0	30.9	30.1	999-U999A-1H-1-A-102.0_LP-DIR-AF	LORE[113379371]	IODP-SRM	6.105480533094836e-07	0.0048104	1	2.730e+02	999-U999A-1H-1-A-102.0_LP-DIR-AF-16	LT-NO:LP-DIR-AF	g	15	pmagpy-4.2.25-1	999-U999A-1H-1-A-102.0	u	2019-03-23T23:02:45Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	29.7	27.1	999-U999A-1H-1-A-102.0_LP-DIR-AF	LORE[113379361]	IODP-SRM:IODP-SRM-AF	5.726359243009471e-07	0.0046302	1	2.730e+02	999-U999A-1H-1-A-102.0_LP-DIR-AF-17	LT-AF-Z:LP-DIR-AF	g	16	pmagpy-4.2.25-1	999-U999A-1H-1-A-102.0	u	2019-03-23T23:05:09Z	0.002	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	29.8	28.1	999-U999A-1H-1-A-102.0_LP-DIR-AF	LORE[113379381]	IODP-SRM:IODP-SRM-AF	5.613650068360157e-07	0.0045012	1	2.730e+02	999-U999A-1H-1-A-102.0_LP-DIR-AF-18	LT-AF-Z:LP-DIR-AF	g	17	pmagpy-4.2.25-1	999-U999A-1H-1-A-102.0	u	2019-03-23T23:07:35Z	0.004	0	0	0	2	2.730e+02
This study	NRM:	0	242.3	54.2	999-U999A-1H-1-A-102.5_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.381800882797518e-06	0.0093369	1	2.730e+02	999-U999A-1H-1-A-102.5_LP-DIR-AF-19	LT-NO:LP-DIR-AF	g	18	pmagpy-4.2.25-1	999-U999A-1H-1-A-102.5	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	237.0	31.6	999-U999A-1H-1-A-102.5_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	7.585166137930005e-07	0.005556	1	2.730e+02	999-U999A-1H-1-A-102.5_LP-DIR-AF-20	LT-AF-Z:LP-DIR-AF	g	19	pmagpy-4.2.25-1	999-U999A-1H-1-A-102.5	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	236.7	24.0	999-U999A-1H-1-A-102.5_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.027628234068227e-07	0.0037770000000000004	1	2.730e+02	999-U999A-1H-1-A-102.5_LP-DIR-AF-21	LT-AF-Z:LP-DIR-AF	g	20	pmagpy-4.2.25-1	999-U999A-1H-1-A-102.5	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	241.9	54.4	999-U999A-1H-1-A-105.0_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.4149173898146846e-06	0.0095554	1	2.730e+02	999-U999A-1H-1-A-105.0_LP-DIR-AF-22	LT-NO:LP-DIR-AF	g	21	pmagpy-4.2.25-1	999-U999A-1H-1-A-105.0	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	237.0	31.0	999-U999A-1H-1-A-105.0_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	7.63860331539739e-07	0.0056068	1	2.730e+02	999-U999A-1H-1-A-105.0_LP-DIR-AF-23	LT-AF-Z:LP-DIR-AF	g	22	pmagpy-4.2.25-1	999-U999A-1H-1-A-105.0	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	236.8	23.1	999-U999A-1H-1-A-105.0_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.047047789549847e-07	0.0038023	1	2.730e+02	999-U999A-1H-1-A-105.0_LP-DIR-AF-24	LT-AF-Z:LP-DIR-AF	g	23	pmagpy-4.2.25-1	999-U999A-1H-1-A-105.0	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	241.7	51.7	999-U999A-1H-1-A-107.5_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.450417958555395e-06	0.0098818	1	2.730e+02	999-U999A-1H-1-A-107.5_LP-DIR-AF-25	LT-NO:LP-DIR-AF	g	24	pmagpy-4.2.25-1	999-U999A-1H-1-A-107.5	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	238.1	27.2	999-U999A-1H-1-A-107.5_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	8.002841092387128e-07	0.0059516000000000005	1	2.730e+02	999-U999A-1H-1-A-107.5_LP-DIR-AF-26	LT-AF-Z:LP-DIR-AF	g	25	pmagpy-4.2.25-1	999-U999A-1H-1-A-107.5	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	238.3	19.1	999-U999A-1H-1-A-107.5_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.36092560011795e-07	0.004084900000000001	1	2.730e+02	999-U999A-1H-1-A-107.5_LP-DIR-AF-27	LT-AF-Z:LP-DIR-AF	g	26	pmagpy-4.2.25-1	999-U999A-1H-1-A-107.5	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	242.0	49.5	999-U999A-1H-1-A-110.0_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.4508583728607006e-06	0.0099601	1	2.730e+02	999-U999A-1H-1-A-110.0_LP-DIR-AF-28	LT-NO:LP-DIR-AF	g	27	pmagpy-4.2.25-1	999-U999A-1H-1-A-110.0	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	238.6	23.4	999-U999A-1H-1-A-110.0_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	8.145929097408104e-07	0.0061311000000000004	1	2.730e+02	999-U999A-1H-1-A-110.0_LP-DIR-AF-29	LT-AF-Z:LP-DIR-AF	g	28	pmagpy-4.2.25-1	999-U999A-1H-1-A-110.0	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	238.9	15.1	999-U999A-1H-1-A-110.0_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.534318020316506e-07	0.0042574	1	2.730e+02	999-U999A-1H-1-A-110.0_LP-DIR-AF-30	LT-AF-Z:LP-DIR-AF	g	29	pmagpy-4.2.25-1	999-U999A-1H-1-A-110.0	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	245.4	49.3	999-U999A-1H-1-A-112.5_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.4566786579750522e-06	0.010006999999999999	1	2.730e+02	999-U999A-1H-1-A-112.5_LP-DIR-AF-31	LT-NO:LP-DIR-AF	g	30	pmagpy-4.2.25-1	999-U999A-1H-1-A-112.5	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	241.8	22.4	999-U999A-1H-1-A-112.5_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	8.110425482057029e-07	0.006122	1	2.730e+02	999-U999A-1H-1-A-112.5_LP-DIR-AF-32	LT-AF-Z:LP-DIR-AF	g	31	pmagpy-4.2.25-1	999-U999A-1H-1-A-112.5	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	242.2	13.9	999-U999A-1H-1-A-112.5_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.543666832521594e-07	0.0042748000000000005	1	2.730e+02	999-U999A-1H-1-A-112.5_LP-DIR-AF-33	LT-AF-Z:LP-DIR-AF	g	32	pmagpy-4.2.25-1	999-U999A-1H-1-A-112.5	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	249.6	50.7	999-U999A-1H-1-A-115.0_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.506873694109762e-06	0.010301000000000001	1	2.730e+02	999-U999A-1H-1-A-115.0_LP-DIR-AF-34	LT-NO:LP-DIR-AF	g	33	pmagpy-4.2.25-1	999-U999A-1H-1-A-115.0	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	247.2	25.7	999-U999A-1H-1-A-115.0_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	8.242241551301441e-07	0.0061585	1	2.730e+02	999-U999A-1H-1-A-115.0_LP-DIR-AF-35	LT-AF-Z:LP-DIR-AF	g	34	pmagpy-4.2.25-1	999-U999A-1H-1-A-115.0	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	247.7	17.5	999-U999A-1H-1-A-115.0_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.567939490511727e-07	0.0042591999999999994	1	2.730e+02	999-U999A-1H-1-A-115.0_LP-DIR-AF-36	LT-AF-Z:LP-DIR-AF	g	35	pmagpy-4.2.25-1	999-U999A-1H-1-A-115.0	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	252.7	52.4	999-U999A-1H-1-A-117.5_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.610846745193347e-06	0.010951	1	2.730e+02	999-U999A-1H-1-A-117.5_LP-DIR-AF-37	LT-NO:LP-DIR-AF	g	36	pmagpy-4.2.25-1	999-U999A-1H-1-A-117.5	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	249.9	30.6	999-U999A-1H-1-A-117.5_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	8.92020353243131e-07	0.006555199999999999	1	2.730e+02	999-U999A-1H-1-A-117.5_LP-DIR-AF-38	LT-AF-Z:LP-DIR-AF	g	37	pmagpy-4.2.25-1	999-U999A-1H-1-A-117.5	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	250.1	23.4	999-U999A-1H-1-A-117.5_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.967045182500296e-07	0.004490999999999999	1	2.730e+02	999-U999A-1H-1-A-117.5_LP-DIR-AF-39	LT-AF-Z:LP-DIR-AF	g	38	pmagpy-4.2.25-1	999-U999A-1H-1-A-117.5	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
