tab 	sites
age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
0.65	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.7	A	38.5	-78.3	429.5	8		8	0	n	7.9837	0									McMurdo		DA-DIR-GEO:DE-FM			mc08	pmagpy-2.60	mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h:mc08a											
0.65	0.025	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00004336	0.000001508	3.479	3			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc08b : mc08g:mc08a	mc08	pmagpy-2.60	mc08b : mc08g:mc08a											
0.65	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.7		38.5	-78.3	429.5	8	8				7.9837	0							-77.8		McMurdo	166.83	DE-DI:DE-FM	i		mc08	pmagpy-2.60	mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h:mc08a							2.8	5.2	75.1	234.6	8
0.65	0.025	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00004336	0.000001508	3.479	3	-77.8		McMurdo	166.83	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM	i	mc08b : mc08g:mc08a	mc08	pmagpy-2.60	mc08b : mc08g:mc08a	5.703E+22	3	1.984E+21	5.942E+22	3	2.067E+21					
																																mc08													
				This study		Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus.													Extrusive:Igneous	Lava Flow					-77.55	Trachyte	McMurdo	166.2				mc09													
0.074	0.0075	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.6	A	259.9	-82.7	234.2	8		8	0	n	7.9701	0									McMurdo		DA-DIR-GEO:DE-FM			mc09	pmagpy-2.60	mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h:mc09a											
0.074	0.0075	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.0000271	0.000001007	3.715	3			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc09b : mc09d:mc09a	mc09	pmagpy-2.60	mc09b : mc09d:mc09a											
0.074	0.0075	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.6		259.9	-82.7	234.2	8	8				7.9701	0							-77.55		McMurdo	166.2	DE-DI:DE-FM	i		mc09	pmagpy-2.60	mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h:mc09a							6.1	6.9	69.5	30.4	8
0.074	0.0075	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.0000271	0.000001007	3.715	3	-77.55		McMurdo	166.2	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM	i	mc09b : mc09d:mc09a	mc09	pmagpy-2.60	mc09b : mc09d:mc09a	3.567E+22	3	1.325E+21	3.588E+22	3	1.333E+21					
																																mc09													
4	4	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.1	A	335.3	-78.6	184.5	8		8	0	n	7.9621	0	Extrusive:Igneous	Lava Flow					-77.57	Basalt	McMurdo	166.23	DA-DIR-GEO:DE-FM			mc10	pmagpy-2.60	mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h:mc10a											
4	4	Ma	Lisa Tauxe	This study	IE-SPEC																0.00003737	0	0	1			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc10d	mc10	pmagpy-2.60	mc10d											
4	4	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.1		335.3	-78.6	184.5	8	8				7.9621	0							-77.57		McMurdo	166.23	DE-DI:DE-FM	i		mc10	pmagpy-2.60	mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h:mc10a							4.5	7.9	78.2	116.5	8
																																mc10													
0.86	0.115	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.6	A	9.9	-76.6	582.7	7		5	2	n	6.9914	0	Extrusive:Igneous	Lava Flow					-78.302	Basalt	McMurdo	162.9	DA-DIR-GEO:DE-FM			mc100	pmagpy-2.60	mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2:mc100a1											
0.86	0.115	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.6		9.9	-76.6	582.7	7	7				6.9914	0							-78.302		McMurdo	162.9	DE-DI:DE-FM	i		mc100	pmagpy-2.60	mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2:mc100a1							2.3	5	75.9	180.6	7
																																mc100													
1.065	0.004	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	38.5	-80.6	460.8	6		6	0	n	5.9891	0	Extrusive:Igneous	Lava Flow					-78.306	Basalt	McMurdo	162.928	DA-DIR-GEO:DE-FM			mc101	pmagpy-2.60	mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1:mc101a1											
1.065	0.004	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.1		38.5	-80.6	460.8	6	6				5.9891	0							-78.306		McMurdo	162.928	DE-DI:DE-FM	i		mc101	pmagpy-2.60	mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1:mc101a1							3.8	6	78.4	239	6
																																mc101													
0.264	0.01	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.4	A	150.4	75.7	326.5	7		6	1	r	6.9832	0	Extrusive:Igneous	Lava Flow					-78.235	Basalt	McMurdo	163.352	DA-DIR-GEO:DE-FM			mc102	pmagpy-2.60	mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1:mc102a1											
0.264	0.01	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.4		150.4	75.7	326.5	7	7				6.9832	0							-78.235		McMurdo	163.352	DE-DI:DE-FM	i		mc102	pmagpy-2.60	mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1:mc102a1							2.8	6.6	-72.3	295.8	7
																																mc102													
1.421	0.015	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.8	A	138.2	73.6	1460.2	6		6	0	r	5.9966	0	Extrusive:Igneous	Lava Flow					-78.235	Basalt	McMurdo	163.36	DA-DIR-GEO:DE-FM			mc103	pmagpy-2.60	mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2:mc103a1											
1.421	0.015	Ma	Lisa Tauxe	This study	IE-SPEC																0.000021	0	0	1			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc103e	mc103	pmagpy-2.60	mc103e1											
1.421	0.015	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	1.8		138.2	73.6	1460.2	6	6				5.9966	0							-78.235		McMurdo	163.36	DE-DI:DE-FM	i		mc103	pmagpy-2.60	mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2:mc103a1							1.3	3.5	-67	283.3	6
																																mc103													
0.29	0.01	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.2	A	72.1	-77.2	367.4	7		5	2	n	6.9864	0	Extrusive:Igneous	Lava Flow					-78.238	Basalt	McMurdo	163.401	DA-DIR-GEO:DE-FM			mc104	pmagpy-2.60	mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1:mc104a1											
0.29	0.01	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.2		72.1	-77.2	367.4	7	7				6.9864	0							-78.238		McMurdo	163.401	DE-DI:DE-FM	i		mc104	pmagpy-2.60	mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1:mc104a1							2.9	6.2	66.5	262.2	7
																																mc104													
0.86	0.035	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.1	A	193.2	69.5	671	8		8	0	r	7.9896	0	Extrusive:Igneous	Lava Flow					-78.245	Basalt	McMurdo	163.231	DA-DIR-GEO:DE-FM			mc105	pmagpy-2.60	mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1:mc105a1											
0.86	0.035	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00002862	0.000001917	6.697	4			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc105c : mc105d : mc105j:mc105a	mc105	pmagpy-2.60	mc105c1 : mc105d1 : mc105j1:mc105a2											
