tab 	specimens
analyst_names	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	experiment_names	geologic_classes	geologic_types	hyst_bc	hyst_bcr	hyst_mr_moment	hyst_ms_moment	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_dang	int_drats	int_f	int_fvds	int_gamma	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	software_packages	specimen
@ltauxe														This study				186.5	44			-1	mc01a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					1.3481e-05	-0.337	0.078	0.026	u	8.5	3.4	0.847	0.844	3	4.9	-1	10	5	9.5	0.9523	4e-05	Trachyte	823	423	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc01a	pmagpy-2.60	mc01a
@ltauxe														This study			A	160.6	-2.7	2.6	11	0	mc01a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Trachyte	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFP : DA-DIR-GEO	mc01a	pmagpy-2.58	mc01a
@ltauxe														This study			A	256.5	75	1.7	8	0	mc01b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Trachyte	773	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc01b	pmagpy-2.58	mc01b
@ltauxe														This study				163.3	32.3			-1	mc01b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					1.385e-05	-0.346	0.068	0.024	u	4.3	7.9	0.849	0.689	8.3	1.9	-1	10	4	10.9	0.9628	4e-05	Trachyte	798	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc01b	pmagpy-2.60	mc01b
@ltauxe														This study			A	258.5	77.3	1.6	4	0	mc01c-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Trachyte	823	723	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc01c	pmagpy-2.58	mc01c
@ltauxe														This study			A	284.6	73.6	5	10	0	mc01d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Trachyte	823	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc01d	pmagpy-2.58	mc01d
@ltauxe														This study				171.6	15.8			-1	mc01d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					1.8708e-05	-0.468	0.032	0.015	u	7.6	1.8	0.815	0.741	2.3	4.8	-1	10	5	21.9	0.992	4e-05	Trachyte	798	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc01d	pmagpy-2.60	mc01d
@ltauxe														This study			A	279.4	78.8	1.3	4	0	mc01e-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Trachyte	823	723	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc01e	pmagpy-2.58	mc01e
@ltauxe														This study			A	220.7	82.4	1.3	16	0	mc01f-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Trachyte	0.18	0	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc01f	pmagpy-2.58	mc01f
@ltauxe														This study			A	159	-0.5	5.6	11	0	mc01g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Trachyte	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFP : DA-DIR-GEO	mc01g	pmagpy-2.58	mc01g
