tab 	images
citations	file	keywords	location	photographers	site	timestamp	title	type
This study	P1310045_1.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc165	2004:01:31:00:00:00.00	MC165 detail of A-H	Outcrop
This study	P2020025.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc166	2004:02:02:00:00:00.00	Jasper Konter orienting samples	Outcrop
This study	P2020026.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc166	2004:02:02:00:00:00.00	MC166 detail of samples	Outcrop
This study	P2020027.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc166	2004:02:02:00:00:00.00	MC166 detail of samples	Outcrop
This study	P2020028.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc166	2004:02:02:00:00:00.00	MC166 detail of samples	Outcrop
This study	P2020038.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc167	2004:02:03:00:00:00.00	MC167 detail of samples	Outcrop
This study	P2020050.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc168	2004:02:03:00:00:00.00	MC168 detail of samples	Outcrop
This study	P2020051.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc168	2004:02:03:00:00:00.00	MC168 detail of samples	Outcrop
This study	P2020053.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc168	2004:02:03:00:00:00.00	view from outcrop	Landscape
This study	P2020054.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc168	2004:02:03:00:00:00.00	Jasper Konter taking sun compass reading	Outcrop
This study	P2030059.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc169	2004:02:03:00:00:00.00	MC169 samples A-D	Outcrop
This study	P2030060.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc169	2004:02:03:00:00:00.00	MC169 samples E-G	Outcrop
This study	P2030064.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc169	2004:02:03:00:00:00.00	MC169 overview	Outcrop
This study	P2030065.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc169	2004:02:03:00:00:00.00	view from MC169	Landscape
This study	P2030030.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc170	2004:02:04:00:00:00.00	MC170 detail of samples	Outcrop
This study	P2030031.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc170	2004:02:04:00:00:00.00	MC170 detail of samples	Outcrop
This study	DSC_0079.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
This study	DSC_0080.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
This study	DSC_0081.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
This study	DSC_0082.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
