tab 	sites																																														
	age	age_sigma	age_unit	analysts	citations	criterion	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
	1.18	0.005	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.2	A	258.6	78.6	215.9	7		6	1	r	6.9745	0	Igneous : Extrusive	Lava Flow					-77.85	Trachyte	McMurdo	166.64	DE-FM : DA-DIR-GEO			mc01	pmagpy-2.60	mc01a : mc01b : mc01c : mc01d : mc01e : mc01f : mc01h												
	1.18	0.005	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00001654	0.000003374	20.4	4	-77.85	Trachyte	McMurdo	166.64	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT		mc01a : mc01b : mc01d : mc01g	mc01	pmagpy-2.60	mc01a : mc01b : mc01d : mc01g												
	1.18	0.005	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc01, Site VGPA comp: (geog. coord)."	4.2	A	258.6	78.6	215.9	7	7				6.9745	0	Igneous : Extrusive	Lava Flow					-77.85	Trachyte	McMurdo	166.64	DE-FM : DE-DI	i		mc01	pmagpy-2.60	mc01a : mc01b : mc01c : mc01d : mc01e : mc01f : mc01h								4.5	8.1	-67.3	95.2	7
	0.33	0.01	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.1	A	328.6	-80	1079.2	6		5	1	n	5.9958	0	Igneous : Extrusive	Lava Flow					-77.85	Basalt	McMurdo	166.69	DE-FM : DA-DIR-GEO			mc02	pmagpy-2.60	mc02a : mc02b : mc02c : mc02f : mc02g : mc02h												
	0.33	0.01	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc02, Site VGPA comp: (geog. coord)."	2.1	A	328.6	-80	1079.2	6	6				5.9958	0	Igneous : Extrusive	Lava Flow					-77.85	Basalt	McMurdo	166.69	DE-FM : DE-DI	i		mc02	pmagpy-2.60	mc02a : mc02b : mc02c : mc02f : mc02g : mc02h								2.5	4.1	79	101.2	6
	0.348	0.004	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	352	-82.7	864.7	6		6	0	n	5.9942	0	Igneous : Extrusive	Lava Flow					-77.84	Basalt	McMurdo	166.76	DE-FM : DA-DIR-GEO			mc03	pmagpy-2.60	mc03a : mc03b : mc03c : mc03d : mc03f : mc03h												
	0.348	0.004	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc03, Site VGPA comp: (geog. coord)."	2.3	A	352	-82.7	864.7	6	6				5.9942	0	Igneous : Extrusive	Lava Flow					-77.84	Basalt	McMurdo	166.76	DE-FM : DE-DI	i		mc03	pmagpy-2.60	mc03a : mc03b : mc03c : mc03d : mc03f : mc03h								3.8	4.4	87.1	123.1	6
	0.34	0.003	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.6	A	352.1	-86.8	292.3	5		4	1	n	4.988	0	Igneous : Intrusive	Volcanic Dike					-77.84	Basalt	McMurdo	166.7	DE-FM : DA-DIR-GEO			mc04	pmagpy-2.60	mc04a : mc04b : mc04e : mc04f : mc04g												
	0.34	0.003	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc04, Site VGPA comp: (geog. coord)."	4.6	A	352.1	-86.8	292.3	5	5				4.988	0	Igneous : Intrusive	Volcanic Dike					-77.84	Basalt	McMurdo	166.7	DE-FM : DE-DI	i		mc04	pmagpy-2.60	mc04a : mc04b : mc04e : mc04f : mc04g								17.4	8.9	84.1	355.2	5
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.8	A	13.6	-78.8	254.4	5		5	0	n	4.9843	0	Igneous : Extrusive	Lava Flow					-77.83	Basalt	McMurdo	166.67	DE-FM : DA-DIR-GEO			mc06	pmagpy-2.60	mc06a : mc06c : mc06d : mc06g : mc06h												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc06, Site VGPA comp: (geog. coord)."	4.8	A	13.6	-78.8	254.4	5	5				4.9843	0	Igneous : Extrusive	Lava Flow					-77.83	Basalt	McMurdo	166.67	DE-FM : DE-DI	i		mc06	pmagpy-2.60	mc06a : mc06c : mc06d : mc06g : mc06h								5.2	9.3	79.8	196	5
